model,benchmark,problem_idx,n_judged_traces_this_problem,mean_reasoning_score_0_1,source_judge_json
DS-R1-1.5B,AQuA,134,2,0.625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,197,1,0.6875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,62,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,118,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,70,1,0.875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,40,1,0.8125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,195,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,122,1,0.625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,189,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,229,1,0.875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,116,3,0.3333333333333333,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,105,1,0.75,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,203,5,0.7625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,182,2,0.46875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,73,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,233,2,0.90625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,226,2,0.78125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,161,4,0.8125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,44,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,200,1,0.8125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,119,2,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,236,3,0.5416666666666666,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,23,3,0.7708333333333334,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,243,3,0.6458333333333334,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,50,1,0.25,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,249,1,0.9375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,11,3,0.7291666666666666,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,183,2,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,147,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,234,1,0.5625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,155,1,0.5625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,144,1,0.8125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,230,2,0.90625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,214,1,0.3125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,34,2,0.75,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,71,2,0.625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,150,2,0.71875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,114,3,0.3958333333333333,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,52,2,0.5625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,145,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,37,2,0.8125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,58,1,0.6875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,41,2,0.46875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,82,2,0.40625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,248,3,0.6875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,250,2,0.28125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,43,2,0.40625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,252,1,0.625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,88,2,0.53125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,218,1,0.5625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,32,2,0.28125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,213,1,0.875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,216,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,20,1,0.25,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,18,1,0.875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,163,1,0.875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,237,1,0.3125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,69,2,0.3125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,220,2,0.65625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,83,2,0.78125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,38,1,0.6875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,217,2,0.4375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,170,1,0.75,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,3,1,0.5625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,76,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,87,1,0.6875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,65,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,35,1,0.875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,127,2,0.75,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,193,1,0.4375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,223,1,0.875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,253,2,0.46875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,221,1,0.8125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,199,1,0.5625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,64,2,0.5625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,16,1,0.3125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,201,1,0.25,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,22,1,0.25,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,242,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,204,1,0.8125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,227,1,0.8125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,232,1,0.3125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,0,2,0.65625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,60,1,0.5625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,66,1,0.3125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,31,1,0.875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,53,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,208,1,0.625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,210,1,0.3125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,215,1,0.5625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,238,1,0.25,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,117,1,0.25,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,104,1,0.3125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,241,1,0.25,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,190,1,0.375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,CommonsenseQA,736,1,0.25,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,424,2,0.6875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,271,1,0.3125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,629,1,0.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,1081,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,41,2,0.5,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,944,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,996,1,0.3125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,1208,1,0.6875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,261,1,0.0625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,355,1,0.3125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,931,1,0.625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,228,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,596,1,0.8125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,1211,1,0.3125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,195,2,0.90625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,929,1,0.3125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,191,1,0.5625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,748,1,0.3125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,537,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,68,1,0.5625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,613,2,0.59375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,275,2,0.4375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,1214,1,0.8125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,539,1,0.25,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,656,1,0.625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,535,1,0.375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,655,1,0.875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,648,1,0.375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,865,1,0.3125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,637,2,0.15625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,930,1,0.375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,436,1,0.6875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,46,2,0.46875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,401,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,477,1,0.5,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,39,1,0.5625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,659,1,0.9375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,555,1,0.25,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,1129,2,0.59375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,276,1,0.625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,554,1,0.375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,122,1,0.625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,161,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,911,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,591,2,0.1875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,987,1,0.8125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,CommonsenseQA,707,2,0.25,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
