model,benchmark,n_traces_parsed,bad_empty_prob_lists_count,n_judged_with_score,jsonl,judge
DS-R1-7B,MATH500,8000,0,250,source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_7B/math500__test_custom_custom_-1_seed42_t0.7_s0_e-1/math500__test_custom_custom_-1_seed42_t0.7_s0_e-1.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-7B__MATH500.json
DS-R1-7B,SVAMP,16000,0,250,source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_7B/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_6ed5b75a-8fc3-4275-bd40-cd1c17a47eba_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_6ed5b75a-8fc3-4275-bd40-cd1c17a47eba_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-7B__SVAMP.json
Gemma-7B,AQuA,4064,0,250,source_pass16_jsonl_by_model 3/gemma_7b/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_bd56842f-fc4d-452d-9a35-3cf0a3ddfaf9/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_bd56842f-fc4d-452d-9a35-3cf0a3ddfaf9.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Gemma-7B__AQuA.json
Gemma-7B,CommonsenseQA,19536,0,250,source_pass16_jsonl_by_model/gemma_7b/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_9f780cde-c3a4-4b02-8fc0-562f7bb37bec_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_9f780cde-c3a4-4b02-8fc0-562f7bb37bec_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Gemma-7B__CommonsenseQA.json
Gemma-7B,GPQA,7168,0,250,source_pass16_jsonl_by_model 3/gemma_7b/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6209e00b-f801-4245-a20d-6b37d8addc6a_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6209e00b-f801-4245-a20d-6b37d8addc6a_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Gemma-7B__GPQA.json
Gemma-7B,GSM8K,21104,0,250,source_pass16_jsonl_by_model/gemma_7b/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_7e377118-9bc4-4b39-91f3-80a9f16f7d17_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_7e377118-9bc4-4b39-91f3-80a9f16f7d17_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Gemma-7B__GSM8K.json
Gemma-7B,MATH500,8000,0,250,source_pass16_jsonl_by_model/gemma_7b/math500__test_math500_-1_seed42_t0.7_s0_e-1_bd430c2c-e789-45b4-84c5-8a328c0a23ed_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_bd430c2c-e789-45b4-84c5-8a328c0a23ed_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Gemma-7B__MATH500.json
Gemma-7B,SVAMP,16000,0,250,source_pass16_jsonl_by_model/gemma_7b/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_5bde6301-7dbe-4b50-acc1-4e917f1e1b87_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_5bde6301-7dbe-4b50-acc1-4e917f1e1b87_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Gemma-7B__SVAMP.json
LLaMA-3.1-8B,AQuA,4064,0,250,source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_8874434d-5e4f-4f6e-9ead-8800e058ffc9/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_8874434d-5e4f-4f6e-9ead-8800e058ffc9.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_LLaMA-3.1-8B__AQuA.json
LLaMA-3.1-8B,CommonsenseQA,19536,0,250,source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_4a6d4a5d-a682-47ab-9f4d-5e23bbfb767c_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_4a6d4a5d-a682-47ab-9f4d-5e23bbfb767c_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_LLaMA-3.1-8B__CommonsenseQA.json
LLaMA-3.1-8B,GPQA,7168,0,250,source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_f0740bfe-4ab3-483f-8968-0dda699f86a5_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_f0740bfe-4ab3-483f-8968-0dda699f86a5_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_LLaMA-3.1-8B__GPQA.json
LLaMA-3.1-8B,GSM8K,21104,0,250,source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_7dd52404-3d70-4ca0-9ac8-e2d862b86a32_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_7dd52404-3d70-4ca0-9ac8-e2d862b86a32_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_LLaMA-3.1-8B__GSM8K.json
LLaMA-3.1-8B,MATH500,8000,0,250,source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/math500__test_math500_-1_seed42_t0.7_s0_e-1_bc04473f-7046-4520-9fdf-6f7d75bea95c_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_bc04473f-7046-4520-9fdf-6f7d75bea95c_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_LLaMA-3.1-8B__MATH500.json
LLaMA-3.1-8B,SVAMP,16000,0,250,source_pass16_jsonl_by_model/Llama_3.1_8B_Instruct/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_391c908a-0d8a-481d-a180-18c378302070_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_391c908a-0d8a-481d-a180-18c378302070_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_LLaMA-3.1-8B__SVAMP.json
Phi-4,AQuA,4064,0,250,source_pass16_jsonl_by_model 2/phi_4/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_756b5145-0654-462e-aa33-768a98301a8f/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_756b5145-0654-462e-aa33-768a98301a8f.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Phi-4__AQuA.json
Phi-4,CommonsenseQA,19536,0,250,source_pass16_jsonl_by_model 2/phi_4/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_a90b3a6b-e2b2-4095-8b70-1d2e9277dd9f_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_a90b3a6b-e2b2-4095-8b70-1d2e9277dd9f_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Phi-4__CommonsenseQA.json
Phi-4,GPQA,7168,0,250,source_pass16_jsonl_by_model 2/phi_4/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_5bc15176-5547-480c-9564-745432b49c77_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_5bc15176-5547-480c-9564-745432b49c77_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Phi-4__GPQA.json
Phi-4,GSM8K,21104,0,250,source_pass16_jsonl_by_model 2/phi_4/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_d88e9681-c896-4be9-9048-1b1ad641133f/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_d88e9681-c896-4be9-9048-1b1ad641133f.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Phi-4__GSM8K.json
Phi-4,MATH500,8000,0,250,source_pass16_jsonl_by_model 2/phi_4/math500__test_math500_-1_seed42_t0.7_s0_e-1_f926bfb2-8236-4810-8b45-d26b70420256_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_f926bfb2-8236-4810-8b45-d26b70420256_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Phi-4__MATH500.json
Phi-4,SVAMP,16000,0,250,source_pass16_jsonl_by_model 2/phi_4/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_5e3c0aba-f95c-4169-b2be-93598c09d125_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_5e3c0aba-f95c-4169-b2be-93598c09d125_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Phi-4__SVAMP.json
Phi-4-Reas.,AQuA,4064,0,250,source_pass16_jsonl_by_model 2/Phi_4_reasoning/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_dc396ca6-dfc4-414b-bd14-f3238f0fa5fa/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_dc396ca6-dfc4-414b-bd14-f3238f0fa5fa.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Phi-4-Reas.__AQuA.json
Phi-4-Reas.,CommonsenseQA,19536,0,250,source_pass16_jsonl_by_model/Phi_4_reasoning/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_8ff20c7d-8036-43e0-8cb4-7527d5dbfe3e_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_8ff20c7d-8036-43e0-8cb4-7527d5dbfe3e_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Phi-4-Reas.__CommonsenseQA.json
Phi-4-Reas.,GPQA,7168,0,250,source_pass16_jsonl_by_model/Phi_4_reasoning/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6162977f-1de8-4882-aaa9-00e145e15972_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6162977f-1de8-4882-aaa9-00e145e15972_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Phi-4-Reas.__GPQA.json
Phi-4-Reas.,GSM8K,21104,0,250,source_pass16_jsonl_by_model 3/Phi_4_reasoning/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_21f83e35-c179-42f4-a76d-7d90d9098a27_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_21f83e35-c179-42f4-a76d-7d90d9098a27_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Phi-4-Reas.__GSM8K.json
Phi-4-Reas.,MATH500,8000,0,250,source_pass16_jsonl_by_model 3/Phi_4_reasoning/math500__test_math500_-1_seed42_t0.7_s0_e-1_1cdfdbe8-a4a2-435f-98aa-3c0e4b0bdbaa_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_1cdfdbe8-a4a2-435f-98aa-3c0e4b0bdbaa_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Phi-4-Reas.__MATH500.json
Phi-4-Reas.,SVAMP,16000,0,250,source_pass16_jsonl_by_model 3/Phi_4_reasoning/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_e8897f09-a48b-41da-b17e-80ab70f50b90_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_e8897f09-a48b-41da-b17e-80ab70f50b90_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Phi-4-Reas.__SVAMP.json
Qwen2.5-7B,AQuA,4064,0,250,source_pass16_jsonl_by_model 2/Qwen2.5_7B_Instruct/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_99419048-ed0d-48bf-8841-7ced9d2a5bd9/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_99419048-ed0d-48bf-8841-7ced9d2a5bd9.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Qwen2.5-7B__AQuA.json
Qwen2.5-7B,CommonsenseQA,19536,0,250,source_pass16_jsonl_by_model 3/Qwen2.5_7B_Instruct/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_55f65fad-5adf-4101-8d34-558d45cc1ee7_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_55f65fad-5adf-4101-8d34-558d45cc1ee7_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Qwen2.5-7B__CommonsenseQA.json
Qwen2.5-7B,GPQA,7168,0,250,source_pass16_jsonl_by_model 3/Qwen2.5_7B_Instruct/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6edb027b-33f3-4829-953d-d5d172771f99_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6edb027b-33f3-4829-953d-d5d172771f99_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Qwen2.5-7B__GPQA.json
Qwen2.5-7B,GSM8K,21104,0,250,source_pass16_jsonl_by_model/Qwen2.5_7B_Instruct/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_3e29bacf-70a3-4d2b-9320-4b7a5c8f25ac_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_3e29bacf-70a3-4d2b-9320-4b7a5c8f25ac_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Qwen2.5-7B__GSM8K.json
Qwen2.5-7B,MATH500,8000,0,250,source_pass16_jsonl_by_model 3/Qwen2.5_7B_Instruct/math500__test_math500_-1_seed42_t0.7_s0_e-1_912d17ef-947c-4554-a9fb-d2e2de688295_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_912d17ef-947c-4554-a9fb-d2e2de688295_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Qwen2.5-7B__MATH500.json
Qwen2.5-7B,SVAMP,16000,0,250,source_pass16_jsonl_by_model/Qwen2.5_7B_Instruct/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_9e43cdce-7f05-4b23-b911-5a4da43d5941_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_9e43cdce-7f05-4b23-b911-5a4da43d5941_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Qwen2.5-7B__SVAMP.json
Qwen2.5-Math,AQuA,4064,0,250,source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_006cc445-ea42-4bd9-bffa-608c58883403/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_006cc445-ea42-4bd9-bffa-608c58883403.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Qwen2.5-Math__AQuA.json
Qwen2.5-Math,CommonsenseQA,19536,0,250,source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_2d85d3bd-1a27-4783-8b2e-85e02dd2bfce_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_2d85d3bd-1a27-4783-8b2e-85e02dd2bfce_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Qwen2.5-Math__CommonsenseQA.json
Qwen2.5-Math,GPQA,7168,0,250,source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_f468c946-01e4-4069-bcf8-912b58e77bc2_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_f468c946-01e4-4069-bcf8-912b58e77bc2_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Qwen2.5-Math__GPQA.json
Qwen2.5-Math,GSM8K,21104,0,250,source_pass16_jsonl_by_model/Qwen2.5_Math_7B/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_528e5291-b1f0-44c3-aebf-ab32978f6a62_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_528e5291-b1f0-44c3-aebf-ab32978f6a62_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Qwen2.5-Math__GSM8K.json
Qwen2.5-Math,MATH500,8000,0,250,source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/math500__test_custom_custom_-1_seed42_t0.7_s0_e-1/math500__test_custom_custom_-1_seed42_t0.7_s0_e-1.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Qwen2.5-Math__MATH500.json
Qwen2.5-Math,SVAMP,16000,0,250,source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_e973610b-dc1a-4a7c-9737-cd64dad3639c_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_e973610b-dc1a-4a7c-9737-cd64dad3639c_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Qwen2.5-Math__SVAMP.json
Qwen3-4B,AQuA,4064,0,250,source_pass16_jsonl_by_model 2/Qwen3_4B_Thinking_2507/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_07706ba0-2dc8-4c97-bc29-1a5dc653833f/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_07706ba0-2dc8-4c97-bc29-1a5dc653833f.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Qwen3-4B__AQuA.json
Qwen3-4B,CommonsenseQA,19536,0,250,source_pass16_jsonl_by_model 2/Qwen3_4B_Thinking_2507/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_be300247-2862-42c9-a305-36a1052ca7bf/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_be300247-2862-42c9-a305-36a1052ca7bf.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Qwen3-4B__CommonsenseQA.json
Qwen3-4B,GPQA,7168,0,250,source_pass16_jsonl_by_model/Qwen3_4B_Thinking_2507/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_7439075c-3a41-426f-9626-f83d8eded888_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_7439075c-3a41-426f-9626-f83d8eded888_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Qwen3-4B__GPQA.json
Qwen3-4B,GSM8K,21104,0,250,source_pass16_jsonl_by_model 2/Qwen3_4B_Thinking_2507/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_9f297c4b-51a9-4b62-a387-aed44015c1c5_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_9f297c4b-51a9-4b62-a387-aed44015c1c5_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Qwen3-4B__GSM8K.json
Qwen3-4B,MATH500,8000,0,250,source_pass16_jsonl_by_model 3/Qwen3_4B_Thinking_2507/math500__test_math500_-1_seed42_t0.7_s0_e-1_98bb5118-8bf5-465f-aa8e-cfc6664c32d1_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_98bb5118-8bf5-465f-aa8e-cfc6664c32d1_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Qwen3-4B__MATH500.json
Qwen3-4B,SVAMP,16000,0,250,source_pass16_jsonl_by_model/Qwen3_4B_Thinking_2507/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_dfc02f7d-afce-4f33-9a2e-e6939267b7bc_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_dfc02f7d-afce-4f33-9a2e-e6939267b7bc_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_Qwen3-4B__SVAMP.json
