model,benchmark,k,n_total_traces_available,n_total_traces_used,n_judged_traces_available,n_judged_topbin_traces,judged_coverage_fraction,notes
Phi-4-Reas.,AQuA,8,2032,2032,250,16,0.0784313725490196,first8: trace_idx 0-7 only; conf from 8-way vote share
Phi-4-Reas.,CommonsenseQA,8,9768,9768,250,12,0.012282497441146366,first8: trace_idx 0-7 only; conf from 8-way vote share
Phi-4-Reas.,GPQA,8,3584,3584,250,26,0.07242339832869081,first8: trace_idx 0-7 only; conf from 8-way vote share
Phi-4-Reas.,GSM8K,8,10552,10552,250,9,0.008522727272727272,first8: trace_idx 0-7 only; conf from 8-way vote share
Phi-4-Reas.,MATH500,8,4000,4000,250,17,0.0425,first8: trace_idx 0-7 only; conf from 8-way vote share
Phi-4-Reas.,SVAMP,8,8000,8000,250,11,0.01375,first8: trace_idx 0-7 only; conf from 8-way vote share
Qwen2.5-7B,AQuA,8,2032,2032,250,11,0.05392156862745098,first8: trace_idx 0-7 only; conf from 8-way vote share
Qwen2.5-7B,CommonsenseQA,8,9768,9768,250,13,0.01330603889457523,first8: trace_idx 0-7 only; conf from 8-way vote share
Qwen2.5-7B,GPQA,8,3584,3584,250,12,0.033426183844011144,first8: trace_idx 0-7 only; conf from 8-way vote share
Qwen2.5-7B,GSM8K,8,10552,10552,250,16,0.015151515151515152,first8: trace_idx 0-7 only; conf from 8-way vote share
Qwen2.5-7B,MATH500,8,4000,4000,250,14,0.035,first8: trace_idx 0-7 only; conf from 8-way vote share
Qwen2.5-7B,SVAMP,8,8000,8000,250,9,0.01125,first8: trace_idx 0-7 only; conf from 8-way vote share
Qwen2.5-Math,AQuA,8,2032,2032,250,15,0.07352941176470588,first8: trace_idx 0-7 only; conf from 8-way vote share
Qwen2.5-Math,CommonsenseQA,8,9768,9768,250,11,0.011258955987717503,first8: trace_idx 0-7 only; conf from 8-way vote share
Qwen2.5-Math,GPQA,8,3584,3584,250,9,0.025069637883008356,first8: trace_idx 0-7 only; conf from 8-way vote share
Qwen2.5-Math,GSM8K,8,10552,10552,250,12,0.011363636363636364,first8: trace_idx 0-7 only; conf from 8-way vote share
Qwen2.5-Math,MATH500,8,4000,4000,250,6,0.015,first8: trace_idx 0-7 only; conf from 8-way vote share
Qwen2.5-Math,SVAMP,8,8000,8000,250,9,0.01125,first8: trace_idx 0-7 only; conf from 8-way vote share
Qwen3-4B,AQuA,8,2032,2032,250,13,0.06372549019607843,first8: trace_idx 0-7 only; conf from 8-way vote share
Qwen3-4B,CommonsenseQA,8,9768,9768,250,15,0.015353121801432957,first8: trace_idx 0-7 only; conf from 8-way vote share
Qwen3-4B,GPQA,8,3584,3584,250,6,0.016713091922005572,first8: trace_idx 0-7 only; conf from 8-way vote share
Qwen3-4B,GSM8K,8,10552,10552,250,17,0.016098484848484848,first8: trace_idx 0-7 only; conf from 8-way vote share
Qwen3-4B,MATH500,8,4000,4000,250,12,0.03,first8: trace_idx 0-7 only; conf from 8-way vote share
Qwen3-4B,SVAMP,8,8000,8000,250,11,0.01375,first8: trace_idx 0-7 only; conf from 8-way vote share
