model,benchmark,benchmark_frs,ece,n_traces,mean_confidence,accuracy,n_skipped_nan,jsonl_path,frs_pct,pass1_pct,base_reasoning,snr
Gemma-7B,SVAMP,SVAMP,0.35030173621997807,16000,0.12085207611668201,0.409375,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/gemma_7b/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_5bde6301-7dbe-4b50-acc1-4e917f1e1b87_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_5bde6301-7dbe-4b50-acc1-4e917f1e1b87_processed.jsonl,31.1,37.8,52.26,-3.458654
LLaMA-3.1-8B,AQuA,AQuA,0.2266661756238737,4064,0.3065099591889161,0.4434055118110236,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_8874434d-5e4f-4f6e-9ead-8800e058ffc9/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_8874434d-5e4f-4f6e-9ead-8800e058ffc9.jsonl,52.9,48.8,58.12,0.572747
LLaMA-3.1-8B,CommonsenseQA,CSQA,0.2711896164966997,19536,0.39032707037579756,0.6501842751842751,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_4a6d4a5d-a682-47ab-9f4d-5e23bbfb767c_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_4a6d4a5d-a682-47ab-9f4d-5e23bbfb767c_processed.jsonl,55.0,66.3,65.08,0.221359
LLaMA-3.1-8B,GPQA,GPQA,0.14535826283870737,7168,0.23311986311670835,0.3549107142857143,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_f0740bfe-4ab3-483f-8968-0dda699f86a5_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_f0740bfe-4ab3-483f-8968-0dda699f86a5_processed.jsonl,50.5,38.4,61.24,1.248826
LLaMA-3.1-8B,GSM8K,GSM8K,0.4513902343752448,21104,0.30192730412700486,0.753316906747536,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_7dd52404-3d70-4ca0-9ac8-e2d862b86a32_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_7dd52404-3d70-4ca0-9ac8-e2d862b86a32_processed.jsonl,79.9,81.3,78.01,0.552588
LLaMA-3.1-8B,MATH500,MATH500,0.15839420705719226,8000,0.30436810758021954,0.349,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/math500__test_math500_-1_seed42_t0.7_s0_e-1_bc04473f-7046-4520-9fdf-6f7d75bea95c_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_bc04473f-7046-4520-9fdf-6f7d75bea95c_processed.jsonl,60.6,35.6,53.66,0.689456
LLaMA-3.1-8B,SVAMP,SVAMP,0.5346424469600003,16000,0.2736075530399996,0.80825,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Llama_3.1_8B_Instruct/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_391c908a-0d8a-481d-a180-18c378302070_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_391c908a-0d8a-481d-a180-18c378302070_processed.jsonl,80.0,85.2,77.39,0.567369
Phi-4,AQuA,AQuA,0.29879258896879457,4064,0.24414479688658636,0.5396161417322834,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_756b5145-0654-462e-aa33-768a98301a8f/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_756b5145-0654-462e-aa33-768a98301a8f.jsonl,78.5,77.6,78.12,-3.709158
Phi-4,CommonsenseQA,CSQA,0.3315105693244258,19536,0.16330758530431613,0.494522932022932,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_a90b3a6b-e2b2-4095-8b70-1d2e9277dd9f_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_a90b3a6b-e2b2-4095-8b70-1d2e9277dd9f_processed.jsonl,77.2,21.5,50.59,1.28948
Phi-4,GPQA,GPQA,0.18266706968811863,7168,0.23080063717840552,0.26088169642857145,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_5bc15176-5547-480c-9564-745432b49c77_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_5bc15176-5547-480c-9564-745432b49c77_processed.jsonl,48.4,29.7,51.54,-0.051
Phi-4,GSM8K,GSM8K,0.4229670766039921,21104,0.23202723727015503,0.6549943138741471,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_d88e9681-c896-4be9-9048-1b1ad641133f/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_d88e9681-c896-4be9-9048-1b1ad641133f.jsonl,91.5,93.0,81.82,-0.787213
Phi-4,MATH500,MATH500,0.2273298089167994,8000,0.3425384841273644,0.553,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/math500__test_math500_-1_seed42_t0.7_s0_e-1_f926bfb2-8236-4810-8b45-d26b70420256_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_f926bfb2-8236-4810-8b45-d26b70420256_processed.jsonl,74.4,60.8,73.08,-4.464555
Phi-4,SVAMP,SVAMP,0.3501942825802755,16000,0.23423835515438102,0.5704375,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_5e3c0aba-f95c-4169-b2be-93598c09d125_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_5e3c0aba-f95c-4169-b2be-93598c09d125_processed.jsonl,75.5,92.3,79.71,-2.423601
Phi-4-Reas.,AQuA,AQuA,0.4157713734773361,4064,0.16862823282187642,0.5843996062992126,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/Phi_4_reasoning/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_dc396ca6-dfc4-414b-bd14-f3238f0fa5fa/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_dc396ca6-dfc4-414b-bd14-f3238f0fa5fa.jsonl,83.2,68.1,81.12,-0.037384
Phi-4-Reas.,CommonsenseQA,CSQA,0.6493702785789068,19536,0.11971411524892413,0.7417076167076168,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Phi_4_reasoning/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_8ff20c7d-8036-43e0-8cb4-7527d5dbfe3e_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_8ff20c7d-8036-43e0-8cb4-7527d5dbfe3e_processed.jsonl,33.4,36.9,38.7,2.145474
Phi-4-Reas.,GPQA,GPQA,0.37198382914316636,7168,0.11725477309687182,0.4730747767857143,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Phi_4_reasoning/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6162977f-1de8-4882-aaa9-00e145e15972_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6162977f-1de8-4882-aaa9-00e145e15972_processed.jsonl,62.3,44.0,50.97,0.858754
Phi-4-Reas.,GSM8K,GSM8K,0.7666241461775009,21104,0.1820397590288375,0.9486353297952995,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Phi_4_reasoning/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_21f83e35-c179-42f4-a76d-7d90d9098a27_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_21f83e35-c179-42f4-a76d-7d90d9098a27_processed.jsonl,84.5,95.4,90.79,0.740415
Phi-4-Reas.,MATH500,MATH500,0.6424342776727824,8000,0.20633063056664677,0.847125,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Phi_4_reasoning/math500__test_math500_-1_seed42_t0.7_s0_e-1_1cdfdbe8-a4a2-435f-98aa-3c0e4b0bdbaa_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_1cdfdbe8-a4a2-435f-98aa-3c0e4b0bdbaa_processed.jsonl,80.0,74.6,78.43,-0.036428
Phi-4-Reas.,SVAMP,SVAMP,0.7807270216809167,16000,0.16177297831908327,0.9425,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Phi_4_reasoning/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_e8897f09-a48b-41da-b17e-80ab70f50b90_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_e8897f09-a48b-41da-b17e-80ab70f50b90_processed.jsonl,74.8,94.6,87.18,-0.037384
Qwen2.5-7B,AQuA,AQuA,0.1839825386848642,4064,0.5916515575256821,0.625738188976378,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/Qwen2.5_7B_Instruct/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_99419048-ed0d-48bf-8841-7ced9d2a5bd9/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_99419048-ed0d-48bf-8841-7ced9d2a5bd9.jsonl,77.2,78.3,77.85,1.563688
Qwen2.5-7B,CommonsenseQA,CSQA,0.6265092458999456,19536,0.18455750266680293,0.8110667485667485,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_7B_Instruct/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_55f65fad-5adf-4101-8d34-558d45cc1ee7_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_55f65fad-5adf-4101-8d34-558d45cc1ee7_processed.jsonl,70.1,81.8,67.53,0.326144
Qwen2.5-7B,GPQA,GPQA,0.0953606847478288,7168,0.35387752641534315,0.337890625,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_7B_Instruct/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6edb027b-33f3-4829-953d-d5d172771f99_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6edb027b-33f3-4829-953d-d5d172771f99_processed.jsonl,55.1,35.9,58.92,1.121449
Qwen2.5-7B,GSM8K,GSM8K,0.3984177358771078,21104,0.5310149516745287,0.7754927975739196,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Qwen2.5_7B_Instruct/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_3e29bacf-70a3-4d2b-9320-4b7a5c8f25ac_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_3e29bacf-70a3-4d2b-9320-4b7a5c8f25ac_processed.jsonl,65.6,90.9,82.98,0.72455
Qwen2.5-7B,MATH500,MATH500,0.2761789214059023,8000,0.6274529671810762,0.513125,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_7B_Instruct/math500__test_math500_-1_seed42_t0.7_s0_e-1_912d17ef-947c-4554-a9fb-d2e2de688295_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_912d17ef-947c-4554-a9fb-d2e2de688295_processed.jsonl,75.6,60.6,71.43,1.046219
Qwen2.5-7B,SVAMP,SVAMP,0.4425977491475847,16000,0.49959301100118003,0.8038125,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Qwen2.5_7B_Instruct/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_9e43cdce-7f05-4b23-b911-5a4da43d5941_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_9e43cdce-7f05-4b23-b911-5a4da43d5941_processed.jsonl,64.9,93.6,78.16,0.835712
Qwen2.5-Math,AQuA,AQuA,0.2521234741953374,4064,0.3155104337649715,0.5420767716535433,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_006cc445-ea42-4bd9-bffa-608c58883403/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_006cc445-ea42-4bd9-bffa-608c58883403.jsonl,74.9,29.1,79.94,-1.469844
Qwen2.5-Math,CommonsenseQA,CSQA,0.3584998050426322,19536,0.11666582443906658,0.4727682227682228,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_2d85d3bd-1a27-4783-8b2e-85e02dd2bfce_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_2d85d3bd-1a27-4783-8b2e-85e02dd2bfce_processed.jsonl,70.6,45.9,63.24,-0.109159
Qwen2.5-Math,GPQA,GPQA,0.14809488835518517,7168,0.15646027567922927,0.29994419642857145,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_f468c946-01e4-4069-bcf8-912b58e77bc2_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_f468c946-01e4-4069-bcf8-912b58e77bc2_processed.jsonl,54.6,24.3,52.67,-3.792145
Qwen2.5-Math,GSM8K,GSM8K,0.3868176641285896,21104,0.33734664441376444,0.7116660348749052,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Qwen2.5_Math_7B/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_528e5291-b1f0-44c3-aebf-ab32978f6a62_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_528e5291-b1f0-44c3-aebf-ab32978f6a62_processed.jsonl,90.8,84.55,87.47,0.281677
Qwen2.5-Math,MATH500,MATH500,0.20804506850816393,8000,0.41451129343028364,0.61075,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/math500__test_custom_custom_-1_seed42_t0.7_s0_e-1/math500__test_custom_custom_-1_seed42_t0.7_s0_e-1.jsonl,77.5,63.6,80.53,-0.176052
Qwen2.5-Math,SVAMP,SVAMP,0.47927105587481483,16000,0.3103693042673754,0.757875,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_e973610b-dc1a-4a7c-9737-cd64dad3639c_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_e973610b-dc1a-4a7c-9737-cd64dad3639c_processed.jsonl,74.5,90.8,90.88,-0.763843
Qwen3-4B,AQuA,AQuA,0.21874887954298577,4064,0.27579199091639095,0.4940944881889764,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/Qwen3_4B_Thinking_2507/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_07706ba0-2dc8-4c97-bc29-1a5dc653833f/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_07706ba0-2dc8-4c97-bc29-1a5dc653833f.jsonl,78.5,57.5,76.43,0.033516
Qwen3-4B,CommonsenseQA,CSQA,0.46468977495530805,19536,0.21549040522487212,0.6801801801801802,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/Qwen3_4B_Thinking_2507/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_be300247-2862-42c9-a305-36a1052ca7bf/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_be300247-2862-42c9-a305-36a1052ca7bf.jsonl,75.0,69.5,64.27,4.307875
Qwen3-4B,GPQA,GPQA,0.35261859838056103,7168,0.230291937539421,0.5828683035714286,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Qwen3_4B_Thinking_2507/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_7439075c-3a41-426f-9626-f83d8eded888_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_7439075c-3a41-426f-9626-f83d8eded888_processed.jsonl,58.8,60.5,55.86,-0.90558
Qwen3-4B,GSM8K,GSM8K,0.4775177138599257,21104,0.25934145495681543,0.7367797573919637,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/Qwen3_4B_Thinking_2507/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_9f297c4b-51a9-4b62-a387-aed44015c1c5_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_9f297c4b-51a9-4b62-a387-aed44015c1c5_processed.jsonl,90.9,72.2,78.87,3.91101
Qwen3-4B,MATH500,MATH500,0.15545234046666703,8000,0.353945101164684,0.446,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen3_4B_Thinking_2507/math500__test_math500_-1_seed42_t0.7_s0_e-1_98bb5118-8bf5-465f-aa8e-cfc6664c32d1_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_98bb5118-8bf5-465f-aa8e-cfc6664c32d1_processed.jsonl,63.5,49.8,70.09,1.014402
Qwen3-4B,SVAMP,SVAMP,0.512297070368436,16000,0.25001542963156403,0.7623125,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Qwen3_4B_Thinking_2507/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_dfc02f7d-afce-4f33-9a2e-e6939267b7bc_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_dfc02f7d-afce-4f33-9a2e-e6939267b7bc_processed.jsonl,91.0,79.5,75.94,4.144028
