model,dataset,n_total_traces,n_distinct_questions,n_sampled_questions,n_judged_traces,mean_reasoning_score,std_reasoning_score,stderr_reasoning_score,cache_hits,new_judge_calls,seed,jsonl_path,sampled_questions_path,sampled_traces_path,checkpoint_path
DS-R1-7B,MATH500,8000,500,100,100,0.7475,0.26095323509987556,0.026095323509987556,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_7B/math500__test_custom_custom_-1_seed42_t0.7_s0_e-1/math500__test_custom_custom_-1_seed42_t0.7_s0_e-1.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/DS-R1-7B__MATH500_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/DS-R1-7B__MATH500_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-7B__MATH500.json
DS-R1-7B,SVAMP,16000,1000,100,100,0.891875,0.21937680759852715,0.021937680759852717,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_7B/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_6ed5b75a-8fc3-4275-bd40-cd1c17a47eba_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_6ed5b75a-8fc3-4275-bd40-cd1c17a47eba_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/DS-R1-7B__SVAMP_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/DS-R1-7B__SVAMP_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-7B__SVAMP.json
Gemma-7B,AQuA,4064,254,100,100,0.40625,0.2751692546177147,0.02751692546177147,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/gemma_7b/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_bd56842f-fc4d-452d-9a35-3cf0a3ddfaf9/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_bd56842f-fc4d-452d-9a35-3cf0a3ddfaf9.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Gemma-7B__AQuA_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Gemma-7B__AQuA_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Gemma-7B__AQuA.json
Gemma-7B,CommonsenseQA,19536,1221,100,100,0.270625,0.20909991540221176,0.020909991540221176,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/gemma_7b/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_9f780cde-c3a4-4b02-8fc0-562f7bb37bec_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_9f780cde-c3a4-4b02-8fc0-562f7bb37bec_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Gemma-7B__CommonsenseQA_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Gemma-7B__CommonsenseQA_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Gemma-7B__CommonsenseQA.json
Gemma-7B,GPQA,7168,448,100,100,0.390625,0.1859945879385318,0.01859945879385318,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/gemma_7b/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6209e00b-f801-4245-a20d-6b37d8addc6a_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6209e00b-f801-4245-a20d-6b37d8addc6a_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Gemma-7B__GPQA_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Gemma-7B__GPQA_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Gemma-7B__GPQA.json
Gemma-7B,GSM8K,21104,1319,100,100,0.513125,0.3023340130208524,0.03023340130208524,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/gemma_7b/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_7e377118-9bc4-4b39-91f3-80a9f16f7d17_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_7e377118-9bc4-4b39-91f3-80a9f16f7d17_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Gemma-7B__GSM8K_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Gemma-7B__GSM8K_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Gemma-7B__GSM8K.json
Gemma-7B,MATH500,8000,500,100,100,0.3625,0.2128302543618204,0.02128302543618204,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/gemma_7b/math500__test_math500_-1_seed42_t0.7_s0_e-1_bd430c2c-e789-45b4-84c5-8a328c0a23ed_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_bd430c2c-e789-45b4-84c5-8a328c0a23ed_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Gemma-7B__MATH500_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Gemma-7B__MATH500_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Gemma-7B__MATH500.json
Gemma-7B,SVAMP,16000,1000,100,100,0.56,0.3478060747838739,0.03478060747838739,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/gemma_7b/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_5bde6301-7dbe-4b50-acc1-4e917f1e1b87_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_5bde6301-7dbe-4b50-acc1-4e917f1e1b87_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Gemma-7B__SVAMP_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Gemma-7B__SVAMP_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Gemma-7B__SVAMP.json
LLaMA-3.1-8B,AQuA,4064,254,100,100,0.531875,0.2709782537679943,0.027097825376799427,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_8874434d-5e4f-4f6e-9ead-8800e058ffc9/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_8874434d-5e4f-4f6e-9ead-8800e058ffc9.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/LLaMA-3_1-8B__AQuA_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/LLaMA-3_1-8B__AQuA_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_LLaMA-3_1-8B__AQuA.json
LLaMA-3.1-8B,CommonsenseQA,19536,1221,100,100,0.581875,0.20637240016655584,0.020637240016655584,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_4a6d4a5d-a682-47ab-9f4d-5e23bbfb767c_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_4a6d4a5d-a682-47ab-9f4d-5e23bbfb767c_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/LLaMA-3_1-8B__CommonsenseQA_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/LLaMA-3_1-8B__CommonsenseQA_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_LLaMA-3_1-8B__CommonsenseQA.json
LLaMA-3.1-8B,GPQA,7168,448,100,100,0.519375,0.16420891434543086,0.016420891434543086,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_f0740bfe-4ab3-483f-8968-0dda699f86a5_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_f0740bfe-4ab3-483f-8968-0dda699f86a5_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/LLaMA-3_1-8B__GPQA_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/LLaMA-3_1-8B__GPQA_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_LLaMA-3_1-8B__GPQA.json
LLaMA-3.1-8B,GSM8K,21104,1319,100,100,0.825,0.26247294232843404,0.026247294232843405,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_7dd52404-3d70-4ca0-9ac8-e2d862b86a32_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_7dd52404-3d70-4ca0-9ac8-e2d862b86a32_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/LLaMA-3_1-8B__GSM8K_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/LLaMA-3_1-8B__GSM8K_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_LLaMA-3_1-8B__GSM8K.json
LLaMA-3.1-8B,MATH500,8000,500,100,100,0.501875,0.2747322790031463,0.027473227900314628,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/math500__test_math500_-1_seed42_t0.7_s0_e-1_bc04473f-7046-4520-9fdf-6f7d75bea95c_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_bc04473f-7046-4520-9fdf-6f7d75bea95c_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/LLaMA-3_1-8B__MATH500_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/LLaMA-3_1-8B__MATH500_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_LLaMA-3_1-8B__MATH500.json
LLaMA-3.1-8B,SVAMP,16000,1000,100,100,0.806875,0.2703368117606799,0.02703368117606799,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Llama_3.1_8B_Instruct/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_391c908a-0d8a-481d-a180-18c378302070_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_391c908a-0d8a-481d-a180-18c378302070_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/LLaMA-3_1-8B__SVAMP_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/LLaMA-3_1-8B__SVAMP_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_LLaMA-3_1-8B__SVAMP.json
Phi-4,AQuA,4064,254,100,100,0.7925,0.25389640375236483,0.025389640375236482,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_756b5145-0654-462e-aa33-768a98301a8f/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_756b5145-0654-462e-aa33-768a98301a8f.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Phi-4__AQuA_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Phi-4__AQuA_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Phi-4__AQuA.json
Phi-4,CommonsenseQA,19536,1221,100,100,0.626875,0.3408775764053124,0.03408775764053124,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_a90b3a6b-e2b2-4095-8b70-1d2e9277dd9f_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_a90b3a6b-e2b2-4095-8b70-1d2e9277dd9f_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Phi-4__CommonsenseQA_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Phi-4__CommonsenseQA_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Phi-4__CommonsenseQA.json
Phi-4,GPQA,7168,448,100,100,0.526875,0.25129949509971905,0.025129949509971904,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_5bc15176-5547-480c-9564-745432b49c77_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_5bc15176-5547-480c-9564-745432b49c77_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Phi-4__GPQA_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Phi-4__GPQA_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Phi-4__GPQA.json
Phi-4,GSM8K,21104,1319,100,100,0.895,0.19520773705481195,0.019520773705481196,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_d88e9681-c896-4be9-9048-1b1ad641133f/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_d88e9681-c896-4be9-9048-1b1ad641133f.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Phi-4__GSM8K_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Phi-4__GSM8K_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Phi-4__GSM8K.json
Phi-4,MATH500,8000,500,100,100,0.8225,0.26998994556662786,0.026998994556662787,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/math500__test_math500_-1_seed42_t0.7_s0_e-1_f926bfb2-8236-4810-8b45-d26b70420256_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_f926bfb2-8236-4810-8b45-d26b70420256_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Phi-4__MATH500_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Phi-4__MATH500_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Phi-4__MATH500.json
Phi-4,SVAMP,16000,1000,100,100,0.838125,0.24507378166502425,0.024507378166502426,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_5e3c0aba-f95c-4169-b2be-93598c09d125_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_5e3c0aba-f95c-4169-b2be-93598c09d125_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Phi-4__SVAMP_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Phi-4__SVAMP_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Phi-4__SVAMP.json
Phi-4-Reas.,AQuA,4064,254,100,100,0.794375,0.22531105743174282,0.02253110574317428,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/Phi_4_reasoning/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_dc396ca6-dfc4-414b-bd14-f3238f0fa5fa/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_dc396ca6-dfc4-414b-bd14-f3238f0fa5fa.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Phi-4-Reas___AQuA_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Phi-4-Reas___AQuA_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Phi-4-Reas___AQuA.json
Phi-4-Reas.,CommonsenseQA,19536,1221,100,100,0.65625,0.2572343436941451,0.02572343436941451,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Phi_4_reasoning/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_8ff20c7d-8036-43e0-8cb4-7527d5dbfe3e_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_8ff20c7d-8036-43e0-8cb4-7527d5dbfe3e_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Phi-4-Reas___CommonsenseQA_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Phi-4-Reas___CommonsenseQA_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Phi-4-Reas___CommonsenseQA.json
Phi-4-Reas.,GPQA,7168,448,100,100,0.55625,0.2310528438835295,0.02310528438835295,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Phi_4_reasoning/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6162977f-1de8-4882-aaa9-00e145e15972_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6162977f-1de8-4882-aaa9-00e145e15972_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Phi-4-Reas___GPQA_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Phi-4-Reas___GPQA_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Phi-4-Reas___GPQA.json
Phi-4-Reas.,GSM8K,21104,1319,100,100,0.944375,0.14539843160825847,0.014539843160825846,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Phi_4_reasoning/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_21f83e35-c179-42f4-a76d-7d90d9098a27_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_21f83e35-c179-42f4-a76d-7d90d9098a27_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/Phi-4-Reas___GSM8K_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/Phi-4-Reas___GSM8K_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_Phi-4-Reas___GSM8K.json
