Model,Benchmark,K,Accuracy
LLaMA-3.1-8B-Instruct,MATH500,20,44.19
LLaMA-3.1-8B-Instruct,MATH500,30,39.29
LLaMA-3.1-8B-Instruct,MATH500,40,36.59
LLaMA-3.1-8B-Instruct,MATH500,50,35.72
LLaMA-3.1-8B-Instruct,SVAMP,10,86.19
LLaMA-3.1-8B-Instruct,SVAMP,20,78.88
LLaMA-3.1-8B-Instruct,SVAMP,30,79.79
LLaMA-3.1-8B-Instruct,SVAMP,40,80.94
LLaMA-3.1-8B-Instruct,SVAMP,50,81.66
Phi-4,AQuA,10,53.32
Phi-4,AQuA,20,53.26
Phi-4,AQuA,30,52.83
Phi-4,AQuA,40,52.64
Phi-4,AQuA,50,52.85
Phi-4,CommonsenseQA,10,65.76
Phi-4,CommonsenseQA,20,58.01
Phi-4,CommonsenseQA,30,54.72
Phi-4,CommonsenseQA,40,54.06
Phi-4,CommonsenseQA,50,54.95
Phi-4,GPQA,10,17.43
Phi-4,GPQA,20,16.44
Phi-4,GPQA,30,17.29
Phi-4,GPQA,40,18.73
Phi-4,GPQA,50,19.78
Phi-4,GSM8K,10,62.58
Phi-4,GSM8K,20,62.73
Phi-4,GSM8K,30,63.01
Phi-4,GSM8K,40,61.41
Phi-4,GSM8K,50,61.44
Phi-4,MATH500,10,60.75
Phi-4,MATH500,20,58.56
Phi-4,MATH500,30,56.58
Phi-4,MATH500,40,55.94
Phi-4,MATH500,50,55.78
Phi-4,SVAMP,10,47.31
Phi-4,SVAMP,20,52.03
Phi-4,SVAMP,30,54.06
Phi-4,SVAMP,40,54.53
Phi-4,SVAMP,50,54.86
Phi-4-Reasoning,AQuA,10,73.46
Phi-4-Reasoning,AQuA,20,71.83
Phi-4-Reasoning,AQuA,30,71.37
Phi-4-Reasoning,AQuA,40,68.88
Phi-4-Reasoning,AQuA,50,67.37
Phi-4-Reasoning,CommonsenseQA,10,67.2
Phi-4-Reasoning,CommonsenseQA,20,75.33
Phi-4-Reasoning,CommonsenseQA,30,77.34
Phi-4-Reasoning,CommonsenseQA,40,78.44
Phi-4-Reasoning,CommonsenseQA,50,78.71
Phi-4-Reasoning,GPQA,10,56.21
Phi-4-Reasoning,GPQA,20,58.79
Phi-4-Reasoning,GPQA,30,57.51
Phi-4-Reasoning,GPQA,40,56.33
Phi-4-Reasoning,GPQA,50,54.27
Phi-4-Reasoning,GSM8K,10,96.02
Phi-4-Reasoning,GSM8K,20,97.2
Phi-4-Reasoning,GSM8K,30,97.17
Phi-4-Reasoning,GSM8K,40,97.25
Phi-4-Reasoning,GSM8K,50,97.15
Phi-4-Reasoning,MATH500,10,88.5
Phi-4-Reasoning,MATH500,20,90.0
Phi-4-Reasoning,MATH500,30,91.17
Phi-4-Reasoning,MATH500,40,91.38
Phi-4-Reasoning,MATH500,50,90.85
Phi-4-Reasoning,SVAMP,10,94.5
Phi-4-Reasoning,SVAMP,20,95.88
Phi-4-Reasoning,SVAMP,30,96.42
Phi-4-Reasoning,SVAMP,40,96.45
Phi-4-Reasoning,SVAMP,50,96.31
Qwen2.5-7B-Instruct,AQuA,10,86.49
Qwen2.5-7B-Instruct,AQuA,20,80.69
Qwen2.5-7B-Instruct,AQuA,30,77.44
Qwen2.5-7B-Instruct,AQuA,40,72.76
Qwen2.5-7B-Instruct,AQuA,50,66.58
Qwen2.5-7B-Instruct,CommonsenseQA,10,82.29
Qwen2.5-7B-Instruct,CommonsenseQA,20,86.03
Qwen2.5-7B-Instruct,CommonsenseQA,30,86.15
Qwen2.5-7B-Instruct,CommonsenseQA,40,85.9
Qwen2.5-7B-Instruct,CommonsenseQA,50,85.1
Qwen2.5-7B-Instruct,GPQA,10,39.61
Qwen2.5-7B-Instruct,GPQA,20,37.94
Qwen2.5-7B-Instruct,GPQA,30,36.36
Qwen2.5-7B-Instruct,GPQA,40,35.86
Qwen2.5-7B-Instruct,GPQA,50,35.27
Qwen2.5-7B-Instruct,GSM8K,10,62.62
Qwen2.5-7B-Instruct,GSM8K,20,61.48
Qwen2.5-7B-Instruct,GSM8K,30,61.24
Qwen2.5-7B-Instruct,GSM8K,40,60.89
Qwen2.5-7B-Instruct,GSM8K,50,64.6
Qwen2.5-7B-Instruct,MATH500,10,53.5
Qwen2.5-7B-Instruct,MATH500,20,51.0
Qwen2.5-7B-Instruct,MATH500,30,49.54
Qwen2.5-7B-Instruct,MATH500,40,48.03
Qwen2.5-7B-Instruct,MATH500,50,46.18
Qwen2.5-7B-Instruct,SVAMP,10,62.25
Qwen2.5-7B-Instruct,SVAMP,20,61.72
Qwen2.5-7B-Instruct,SVAMP,30,62.29
Qwen2.5-7B-Instruct,SVAMP,40,62.25
Qwen2.5-7B-Instruct,SVAMP,50,66.95
Qwen2.5-Math-7B,AQuA,10,47.91
Qwen2.5-Math-7B,AQuA,20,48.95
Qwen2.5-Math-7B,AQuA,30,50.45
Qwen2.5-Math-7B,AQuA,40,51.41
Qwen2.5-Math-7B,AQuA,50,51.92
Qwen2.5-Math-7B,CommonsenseQA,10,50.72
Qwen2.5-Math-7B,CommonsenseQA,20,50.38
Qwen2.5-Math-7B,CommonsenseQA,30,50.2
Qwen2.5-Math-7B,CommonsenseQA,40,50.53
Qwen2.5-Math-7B,CommonsenseQA,50,50.51
Qwen2.5-Math-7B,GPQA,10,39.19
Qwen2.5-Math-7B,GPQA,20,37.03
Qwen2.5-Math-7B,GPQA,30,35.66
Qwen2.5-Math-7B,GPQA,40,34.67
Qwen2.5-Math-7B,GPQA,50,33.62
Qwen2.5-Math-7B,GSM8K,10,55.42
Qwen2.5-Math-7B,GSM8K,20,61.38
Qwen2.5-Math-7B,GSM8K,30,64.38
Qwen2.5-Math-7B,GSM8K,40,66.32
Qwen2.5-Math-7B,GSM8K,50,67.87
Qwen2.5-Math-7B,MATH500,10,61.0
Qwen2.5-Math-7B,MATH500,20,62.56
Qwen2.5-Math-7B,MATH500,30,63.38
Qwen2.5-Math-7B,MATH500,40,64.53
Qwen2.5-Math-7B,MATH500,50,65.3
Qwen2.5-Math-7B,SVAMP,10,44.75
Qwen2.5-Math-7B,SVAMP,20,57.41
Qwen2.5-Math-7B,SVAMP,30,63.38
Qwen2.5-Math-7B,SVAMP,40,67.72
Qwen2.5-Math-7B,SVAMP,50,70.44
Qwen3-4B,AQuA,10,53.32
Qwen3-4B,AQuA,20,53.38
Qwen3-4B,AQuA,30,51.76
Qwen3-4B,AQuA,40,51.66
Qwen3-4B,AQuA,50,51.57
Qwen3-4B,CommonsenseQA,10,84.49
Qwen3-4B,CommonsenseQA,20,78.33
Qwen3-4B,CommonsenseQA,30,74.95
Qwen3-4B,CommonsenseQA,40,72.83
Qwen3-4B,CommonsenseQA,50,70.77
Qwen3-4B,GPQA,10,62.9
Qwen3-4B,GPQA,20,58.23
Qwen3-4B,GPQA,30,57.74
Qwen3-4B,GPQA,40,57.31
Qwen3-4B,GPQA,50,56.72
Qwen3-4B,GSM8K,10,92.14
Qwen3-4B,GSM8K,20,91.12
Qwen3-4B,GSM8K,30,88.63
Qwen3-4B,GSM8K,40,85.87
Qwen3-4B,GSM8K,50,83.41
Qwen3-4B,MATH500,10,27.0
Qwen3-4B,MATH500,20,31.06
Qwen3-4B,MATH500,30,34.83
Qwen3-4B,MATH500,40,36.62
Qwen3-4B,MATH500,50,39.02
Qwen3-4B,SVAMP,10,88.0
Qwen3-4B,SVAMP,20,87.94
Qwen3-4B,SVAMP,30,86.88
Qwen3-4B,SVAMP,40,85.64
Qwen3-4B,SVAMP,50,83.93
