benchmark,model_a,model_b,frs_a,frs_b,trace0_a,trace0_b,unfiltered_a,unfiltered_b,pass1_a,pass1_b,frs_winner,trace0_winner,unfiltered_winner,pass1_winner,frs_gap_pp,trace0_gap_pp,unfiltered_gap_pp,pass1_gap_pp,frs_reverses_trace0,frs_reverses_unfiltered,pass1_agrees_trace0,pass1_agrees_frs,lobo_frs_diff_pp,lobo_trace0_diff_pp,lobo_frs_agrees_frs_winner,lobo_frs_agrees_trace0_winner
AQuA,Qwen3-4B,Gemma-7B,78.5,22.2,65.375,46.5,69.125,40.625,57.5,3.5,Qwen3-4B,Qwen3-4B,Qwen3-4B,Qwen3-4B,56.3,18.875,28.5,54.0,False,False,True,True,48.74,24.02499999999999,True,True
AQuA,Phi-4,Qwen2.5-Math,78.5,74.9,69.375,74.0,79.25,77.6875,77.6,29.1,Phi-4,Qwen2.5-Math,Phi-4,Phi-4,3.5999999999999943,4.625,1.5625,48.49999999999999,True,False,False,True,-0.19999999999998863,-13.749999999999993,False,True
AQuA,Phi-4,Phi-4-Reas.,78.5,83.2,69.375,67.375,79.25,79.4375,77.6,68.1,Phi-4-Reas.,Phi-4,Phi-4-Reas.,Phi-4,4.700000000000003,2.0,0.1875,9.5,True,False,True,False,6.400000000000006,-11.524999999999999,False,True
AQuA,Phi-4,Qwen2.5-7B,78.5,77.2,69.375,61.875,79.25,69.625,77.6,78.3,Phi-4,Phi-4,Phi-4,Qwen2.5-7B,1.2999999999999972,7.5,9.625,0.7000000000000028,False,False,False,False,7.140000000000015,-5.925000000000004,True,True
AQuA,Phi-4,LLaMA-3.1-8B,78.5,52.9,69.375,60.12499999999999,79.25,53.1875,77.6,48.8,Phi-4,Phi-4,Phi-4,Phi-4,25.6,9.250000000000007,26.0625,28.799999999999997,False,False,True,True,8.200000000000003,-3.6999999999999957,True,True
AQuA,Phi-4,Gemma-7B,78.5,22.2,69.375,46.5,79.25,40.625,77.6,3.5,Phi-4,Phi-4,Phi-4,Phi-4,56.3,22.875,38.625,74.1,False,False,True,True,46.300000000000004,14.274999999999999,True,True
AQuA,Qwen2.5-Math,Phi-4-Reas.,74.9,83.2,74.0,67.375,77.6875,79.4375,29.1,68.1,Phi-4-Reas.,Qwen2.5-Math,Phi-4-Reas.,Phi-4-Reas.,8.299999999999997,6.625,1.75,38.99999999999999,True,False,False,True,6.599999999999994,2.2249999999999943,False,True
AQuA,Qwen2.5-Math,Qwen2.5-7B,74.9,77.2,74.0,61.875,77.6875,69.625,29.1,78.3,Qwen2.5-7B,Qwen2.5-Math,Qwen2.5-Math,Qwen2.5-7B,2.299999999999997,12.125,8.0625,49.199999999999996,True,True,False,True,7.340000000000003,7.824999999999989,False,True
AQuA,Qwen2.5-Math,LLaMA-3.1-8B,74.9,52.9,74.0,60.12499999999999,77.6875,53.1875,29.1,48.8,Qwen2.5-Math,Qwen2.5-Math,Qwen2.5-Math,LLaMA-3.1-8B,22.000000000000007,13.875000000000007,24.5,19.699999999999996,False,False,False,False,8.399999999999991,10.049999999999997,True,True
AQuA,Qwen2.5-Math,Gemma-7B,74.9,22.2,74.0,46.5,77.6875,40.625,29.1,3.5,Qwen2.5-Math,Qwen2.5-Math,Qwen2.5-Math,Qwen2.5-Math,52.7,27.5,37.0625,25.6,False,False,True,True,46.49999999999999,28.02499999999999,True,True
AQuA,Phi-4-Reas.,Qwen2.5-7B,83.2,77.2,67.375,61.875,79.4375,69.625,68.1,78.3,Phi-4-Reas.,Phi-4-Reas.,Phi-4-Reas.,Qwen2.5-7B,6.0,5.5,9.8125,10.200000000000003,False,False,False,False,0.7400000000000091,5.599999999999994,True,True
AQuA,Phi-4-Reas.,LLaMA-3.1-8B,83.2,52.9,67.375,60.12499999999999,79.4375,53.1875,68.1,48.8,Phi-4-Reas.,Phi-4-Reas.,Phi-4-Reas.,Phi-4-Reas.,30.300000000000004,7.250000000000007,26.25,19.299999999999997,False,False,True,True,1.7999999999999972,7.825000000000003,True,True
AQuA,Phi-4-Reas.,Gemma-7B,83.2,22.2,67.375,46.5,79.4375,40.625,68.1,3.5,Phi-4-Reas.,Phi-4-Reas.,Phi-4-Reas.,Phi-4-Reas.,61.0,20.875,38.8125,64.6,False,False,True,True,39.9,25.799999999999997,True,True
AQuA,Qwen2.5-7B,LLaMA-3.1-8B,77.2,52.9,61.875,60.12499999999999,69.625,53.1875,78.3,48.8,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,24.300000000000004,1.750000000000007,16.4375,29.5,False,False,True,True,1.059999999999988,2.2250000000000085,True,True
AQuA,Qwen2.5-7B,Gemma-7B,77.2,22.2,61.875,46.5,69.625,40.625,78.3,3.5,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,55.0,15.375,29.0,74.8,False,False,True,True,39.15999999999999,20.200000000000003,True,True
AQuA,LLaMA-3.1-8B,Gemma-7B,52.9,22.2,60.12499999999999,46.5,53.1875,40.625,48.8,3.5,LLaMA-3.1-8B,LLaMA-3.1-8B,LLaMA-3.1-8B,LLaMA-3.1-8B,30.7,13.624999999999993,12.5625,45.3,False,False,True,True,38.1,17.974999999999994,True,True
CSQA,DS-R1-7B,DS-R1-1.5B,79.2,56.1,60.0,54.87499999999999,69.25,55.75,47.3,39.6,DS-R1-7B,DS-R1-7B,DS-R1-7B,DS-R1-7B,23.1,5.125000000000007,13.5,7.699999999999996,False,False,True,True,5.680000000000007,3.8500000000000085,True,True
CSQA,DS-R1-7B,Qwen3-4B,79.2,75.0,60.0,71.875,69.25,74.375,47.3,69.5,DS-R1-7B,Qwen3-4B,Qwen3-4B,Qwen3-4B,4.200000000000003,11.875,5.125,22.200000000000003,True,True,True,False,13.780000000000015,0.2750000000000057,True,False
CSQA,DS-R1-7B,Phi-4,79.2,77.2,60.0,59.375,69.25,62.68749999999999,47.3,21.5,DS-R1-7B,DS-R1-7B,DS-R1-7B,DS-R1-7B,2.0,0.625,6.562500000000007,25.799999999999997,False,False,True,True,16.66000000000001,6.725000000000001,True,True
CSQA,DS-R1-7B,Qwen2.5-Math,79.2,70.6,60.0,64.125,69.25,65.5,47.3,45.9,DS-R1-7B,Qwen2.5-Math,DS-R1-7B,DS-R1-7B,8.600000000000009,4.125,3.75,1.3999999999999986,True,False,False,True,15.86,-7.0,True,False
CSQA,DS-R1-7B,Phi-4-Reas.,79.2,33.4,60.0,72.25,69.25,65.625,47.3,36.9,DS-R1-7B,Phi-4-Reas.,DS-R1-7B,DS-R1-7B,45.800000000000004,12.25,3.625,10.399999999999999,True,False,False,True,13.36,-1.8250000000000028,True,False
CSQA,DS-R1-7B,Qwen2.5-7B,79.2,70.1,60.0,74.375,69.25,88.0,47.3,81.8,DS-R1-7B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,9.100000000000009,14.375,18.75,34.5,True,True,True,False,22.640000000000015,5.299999999999997,True,False
CSQA,DS-R1-7B,LLaMA-3.1-8B,79.2,55.0,60.0,65.5,69.25,58.1875,47.3,66.3,DS-R1-7B,LLaMA-3.1-8B,DS-R1-7B,LLaMA-3.1-8B,24.200000000000003,5.5,11.0625,19.0,True,False,True,False,25.540000000000006,6.100000000000001,True,False
CSQA,DS-R1-7B,Gemma-7B,79.2,13.4,60.0,39.125,69.25,27.0625,47.3,27.3,DS-R1-7B,DS-R1-7B,DS-R1-7B,DS-R1-7B,65.8,20.875,42.1875,19.999999999999996,False,False,True,True,61.46000000000001,21.525000000000006,True,True
CSQA,DS-R1-1.5B,Qwen3-4B,56.1,75.0,54.87499999999999,71.875,55.75,74.375,39.6,69.5,Qwen3-4B,Qwen3-4B,Qwen3-4B,Qwen3-4B,18.9,17.000000000000007,18.625,29.9,False,False,True,True,8.100000000000009,-3.575000000000003,False,False
CSQA,DS-R1-1.5B,Phi-4,56.1,77.2,54.87499999999999,59.375,55.75,62.68749999999999,39.6,21.5,Phi-4,Phi-4,Phi-4,DS-R1-1.5B,21.1,4.500000000000007,6.937499999999993,18.1,False,False,False,False,10.980000000000004,2.874999999999993,False,False
CSQA,DS-R1-1.5B,Qwen2.5-Math,56.1,70.6,54.87499999999999,64.125,55.75,65.5,39.6,45.9,Qwen2.5-Math,Qwen2.5-Math,Qwen2.5-Math,Qwen2.5-Math,14.499999999999993,9.250000000000007,9.75,6.299999999999997,False,False,True,True,10.179999999999993,-10.850000000000009,False,False
CSQA,DS-R1-1.5B,Phi-4-Reas.,56.1,33.4,54.87499999999999,72.25,55.75,65.625,39.6,36.9,DS-R1-1.5B,Phi-4-Reas.,Phi-4-Reas.,DS-R1-1.5B,22.700000000000003,17.375000000000007,9.875,2.700000000000003,True,True,False,True,7.679999999999993,-5.675000000000011,True,False
CSQA,DS-R1-1.5B,Qwen2.5-7B,56.1,70.1,54.87499999999999,74.375,55.75,88.0,39.6,81.8,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,13.999999999999993,19.500000000000007,32.25,42.199999999999996,False,False,True,True,16.960000000000008,1.4499999999999886,False,False
CSQA,DS-R1-1.5B,LLaMA-3.1-8B,56.1,55.0,54.87499999999999,65.5,55.75,58.1875,39.6,66.3,DS-R1-1.5B,LLaMA-3.1-8B,LLaMA-3.1-8B,LLaMA-3.1-8B,1.1000000000000014,10.625000000000007,2.4375,26.699999999999996,False,False,True,False,19.86,2.249999999999993,True,False
CSQA,DS-R1-1.5B,Gemma-7B,56.1,13.4,54.87499999999999,39.125,55.75,27.0625,39.6,27.3,DS-R1-1.5B,DS-R1-1.5B,DS-R1-1.5B,DS-R1-1.5B,42.7,15.749999999999993,28.6875,12.3,False,False,True,True,55.78,17.674999999999997,True,True
CSQA,Qwen3-4B,Phi-4,75.0,77.2,71.875,59.375,74.375,62.68749999999999,69.5,21.5,Phi-4,Qwen3-4B,Qwen3-4B,Qwen3-4B,2.200000000000003,12.5,11.687500000000007,48.0,True,True,True,False,2.8799999999999955,6.449999999999996,False,True
CSQA,Qwen3-4B,Qwen2.5-Math,75.0,70.6,71.875,64.125,74.375,65.5,69.5,45.9,Qwen3-4B,Qwen3-4B,Qwen3-4B,Qwen3-4B,4.400000000000006,7.75,8.875,23.6,False,False,True,True,2.079999999999984,-7.275000000000006,True,True
CSQA,Qwen3-4B,Phi-4-Reas.,75.0,33.4,71.875,72.25,74.375,65.625,69.5,36.9,Qwen3-4B,Phi-4-Reas.,Qwen3-4B,Qwen3-4B,41.6,0.375,8.75,32.6,False,False,False,True,-0.4200000000000159,-2.1000000000000085,False,True
CSQA,Qwen3-4B,Qwen2.5-7B,75.0,70.1,71.875,74.375,74.375,88.0,69.5,81.8,Qwen3-4B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,4.900000000000006,2.5,13.625,12.299999999999997,True,True,True,False,8.86,5.0249999999999915,True,False
CSQA,Qwen3-4B,LLaMA-3.1-8B,75.0,55.0,71.875,65.5,74.375,58.1875,69.5,66.3,Qwen3-4B,Qwen3-4B,Qwen3-4B,Qwen3-4B,20.0,6.375,16.1875,3.200000000000003,False,False,True,True,11.759999999999991,5.824999999999996,True,True
CSQA,Qwen3-4B,Gemma-7B,75.0,13.4,71.875,39.125,74.375,27.0625,69.5,27.3,Qwen3-4B,Qwen3-4B,Qwen3-4B,Qwen3-4B,61.6,32.75,47.3125,42.2,False,False,True,True,47.67999999999999,21.25,True,True
CSQA,Phi-4,Qwen2.5-Math,77.2,70.6,59.375,64.125,62.68749999999999,65.5,21.5,45.9,Phi-4,Qwen2.5-Math,Qwen2.5-Math,Qwen2.5-Math,6.6000000000000085,4.75,2.812500000000007,24.4,True,True,True,False,-0.8000000000000114,-13.725000000000001,False,True
CSQA,Phi-4,Phi-4-Reas.,77.2,33.4,59.375,72.25,62.68749999999999,65.625,21.5,36.9,Phi-4,Phi-4-Reas.,Phi-4-Reas.,Phi-4-Reas.,43.800000000000004,12.875,2.937500000000007,15.399999999999999,True,True,True,False,-3.3000000000000114,-8.550000000000004,False,True
CSQA,Phi-4,Qwen2.5-7B,77.2,70.1,59.375,74.375,62.68749999999999,88.0,21.5,81.8,Phi-4,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,7.1000000000000085,15.0,25.312500000000007,60.3,True,True,True,False,5.980000000000004,-1.4250000000000043,True,False
CSQA,Phi-4,LLaMA-3.1-8B,77.2,55.0,59.375,65.5,62.68749999999999,58.1875,21.5,66.3,Phi-4,LLaMA-3.1-8B,Phi-4,LLaMA-3.1-8B,22.200000000000003,6.125,4.499999999999993,44.8,True,False,True,False,8.879999999999995,-0.625,True,False
CSQA,Phi-4,Gemma-7B,77.2,13.4,59.375,39.125,62.68749999999999,27.0625,21.5,27.3,Phi-4,Phi-4,Phi-4,Gemma-7B,63.800000000000004,20.25,35.62499999999999,5.800000000000001,False,False,False,False,44.8,14.800000000000004,True,True
CSQA,Qwen2.5-Math,Phi-4-Reas.,70.6,33.4,64.125,72.25,65.5,65.625,45.9,36.9,Qwen2.5-Math,Phi-4-Reas.,Phi-4-Reas.,Qwen2.5-Math,37.199999999999996,8.125,0.125,9.0,True,False,False,True,-2.5,5.174999999999997,False,True
CSQA,Qwen2.5-Math,Qwen2.5-7B,70.6,70.1,64.125,74.375,65.5,88.0,45.9,81.8,Qwen2.5-Math,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,0.5,10.25,22.5,35.9,False,False,True,False,6.780000000000015,12.299999999999997,True,False
CSQA,Qwen2.5-Math,LLaMA-3.1-8B,70.6,55.0,64.125,65.5,65.5,58.1875,45.9,66.3,Qwen2.5-Math,LLaMA-3.1-8B,Qwen2.5-Math,LLaMA-3.1-8B,15.599999999999994,1.375,7.3125,20.4,False,False,True,False,9.680000000000007,13.100000000000001,True,False
CSQA,Qwen2.5-Math,Gemma-7B,70.6,13.4,64.125,39.125,65.5,27.0625,45.9,27.3,Qwen2.5-Math,Qwen2.5-Math,Qwen2.5-Math,Qwen2.5-Math,57.199999999999996,25.0,38.4375,18.599999999999998,False,False,True,True,45.60000000000001,28.525000000000006,True,True
CSQA,Phi-4-Reas.,Qwen2.5-7B,33.4,70.1,72.25,74.375,65.625,88.0,36.9,81.8,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,36.699999999999996,2.125,22.375,44.9,False,False,True,True,9.280000000000015,7.125,False,False
CSQA,Phi-4-Reas.,LLaMA-3.1-8B,33.4,55.0,72.25,65.5,65.625,58.1875,36.9,66.3,LLaMA-3.1-8B,Phi-4-Reas.,Phi-4-Reas.,LLaMA-3.1-8B,21.6,6.75,7.4375,29.4,True,True,False,True,12.180000000000007,7.925000000000004,False,True
CSQA,Phi-4-Reas.,Gemma-7B,33.4,13.4,72.25,39.125,65.625,27.0625,36.9,27.3,Phi-4-Reas.,Phi-4-Reas.,Phi-4-Reas.,Phi-4-Reas.,20.0,33.125,38.5625,9.599999999999998,False,False,True,True,48.10000000000001,23.35000000000001,True,True
CSQA,Qwen2.5-7B,LLaMA-3.1-8B,70.1,55.0,74.375,65.5,88.0,58.1875,81.8,66.3,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,15.099999999999994,8.875,29.8125,15.5,False,False,True,True,2.8999999999999915,0.8000000000000043,True,True
CSQA,Qwen2.5-7B,Gemma-7B,70.1,13.4,74.375,39.125,88.0,27.0625,81.8,27.3,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,56.699999999999996,35.25,60.9375,54.5,False,False,True,True,38.81999999999999,16.22500000000001,True,True
CSQA,LLaMA-3.1-8B,Gemma-7B,55.0,13.4,65.5,39.125,58.1875,27.0625,66.3,27.3,LLaMA-3.1-8B,LLaMA-3.1-8B,LLaMA-3.1-8B,LLaMA-3.1-8B,41.6,26.375,31.125,39.0,False,False,True,True,35.92,15.425000000000004,True,True
GPQA,DS-R1-7B,DS-R1-1.5B,62.9,56.6,42.5,47.0,58.4375,50.74999999999999,46.2,37.9,DS-R1-7B,DS-R1-1.5B,DS-R1-7B,DS-R1-7B,6.299999999999997,4.5,7.687500000000007,8.300000000000004,True,False,False,True,9.040000000000006,5.775000000000006,True,False
GPQA,DS-R1-7B,Qwen3-4B,62.9,58.8,42.5,50.0,58.4375,52.1875,46.2,60.5,DS-R1-7B,Qwen3-4B,DS-R1-7B,Qwen3-4B,4.100000000000001,7.5,6.25,14.299999999999997,True,False,True,False,13.799999999999997,-0.5999999999999943,True,False
GPQA,DS-R1-7B,Phi-4,62.9,48.4,42.5,39.875,58.4375,52.6875,46.2,29.7,DS-R1-7B,DS-R1-7B,DS-R1-7B,DS-R1-7B,14.5,2.625,5.75,16.500000000000004,False,False,True,True,14.159999999999997,6.325000000000003,True,True
GPQA,DS-R1-7B,Qwen2.5-Math,62.9,54.6,42.5,53.37499999999999,58.4375,47.875,46.2,24.3,DS-R1-7B,Qwen2.5-Math,DS-R1-7B,DS-R1-7B,8.299999999999997,10.874999999999993,10.5625,21.900000000000002,True,False,False,True,15.920000000000002,-5.6499999999999915,True,False
GPQA,DS-R1-7B,Phi-4-Reas.,62.9,62.3,42.5,42.125,58.4375,55.625,46.2,44.0,DS-R1-7B,DS-R1-7B,DS-R1-7B,DS-R1-7B,0.6000000000000014,0.375,2.8125,2.200000000000003,False,False,True,True,22.400000000000006,-4.349999999999994,True,True
GPQA,DS-R1-7B,Qwen2.5-7B,62.9,55.1,42.5,35.5,58.4375,57.25,46.2,35.9,DS-R1-7B,DS-R1-7B,DS-R1-7B,DS-R1-7B,7.799999999999997,7.0,1.1875,10.300000000000004,False,False,True,True,22.900000000000006,1.0250000000000057,True,True
GPQA,DS-R1-7B,LLaMA-3.1-8B,62.9,50.5,42.5,42.125,58.4375,51.9375,46.2,38.4,DS-R1-7B,DS-R1-7B,DS-R1-7B,DS-R1-7B,12.399999999999999,0.375,6.5,7.800000000000004,False,False,True,True,27.900000000000006,4.924999999999997,True,True
GPQA,DS-R1-7B,Gemma-7B,62.9,30.9,42.5,35.5,58.4375,39.0625,46.2,24.8,DS-R1-7B,DS-R1-7B,DS-R1-7B,DS-R1-7B,32.0,7.0,19.375,21.400000000000002,False,False,True,True,68.22,24.300000000000004,True,True
GPQA,DS-R1-1.5B,Qwen3-4B,56.6,58.8,47.0,50.0,50.74999999999999,52.1875,37.9,60.5,Qwen3-4B,Qwen3-4B,Qwen3-4B,Qwen3-4B,2.1999999999999957,3.0,1.437500000000007,22.6,False,False,True,True,4.759999999999991,-6.375,False,False
GPQA,DS-R1-1.5B,Phi-4,56.6,48.4,47.0,39.875,50.74999999999999,52.6875,37.9,29.7,DS-R1-1.5B,DS-R1-1.5B,Phi-4,DS-R1-1.5B,8.200000000000003,7.125,1.937500000000007,8.2,False,False,True,True,5.11999999999999,0.5499999999999972,True,True
GPQA,DS-R1-1.5B,Qwen2.5-Math,56.6,54.6,47.0,53.37499999999999,50.74999999999999,47.875,37.9,24.3,DS-R1-1.5B,Qwen2.5-Math,DS-R1-1.5B,DS-R1-1.5B,2.0,6.374999999999993,2.874999999999993,13.599999999999998,True,False,False,True,6.8799999999999955,-11.424999999999997,True,False
GPQA,DS-R1-1.5B,Phi-4-Reas.,56.6,62.3,47.0,42.125,50.74999999999999,55.625,37.9,44.0,Phi-4-Reas.,DS-R1-1.5B,Phi-4-Reas.,Phi-4-Reas.,5.699999999999996,4.875,4.875000000000007,6.100000000000001,True,False,False,True,13.36,-10.125,False,True
GPQA,DS-R1-1.5B,Qwen2.5-7B,56.6,55.1,47.0,35.5,50.74999999999999,57.25,37.9,35.9,DS-R1-1.5B,DS-R1-1.5B,Qwen2.5-7B,DS-R1-1.5B,1.5,11.5,6.500000000000007,2.0,False,False,True,True,13.86,-4.75,True,True
GPQA,DS-R1-1.5B,LLaMA-3.1-8B,56.6,50.5,47.0,42.125,50.74999999999999,51.9375,37.9,38.4,DS-R1-1.5B,DS-R1-1.5B,LLaMA-3.1-8B,LLaMA-3.1-8B,6.100000000000001,4.875,1.187500000000007,0.5,False,False,False,False,18.86,-0.8500000000000085,True,True
GPQA,DS-R1-1.5B,Gemma-7B,56.6,30.9,47.0,35.5,50.74999999999999,39.0625,37.9,24.8,DS-R1-1.5B,DS-R1-1.5B,DS-R1-1.5B,DS-R1-1.5B,25.700000000000003,11.5,11.687499999999993,13.099999999999998,False,False,True,True,59.17999999999999,18.525,True,True
GPQA,Qwen3-4B,Phi-4,58.8,48.4,50.0,39.875,52.1875,52.6875,60.5,29.7,Qwen3-4B,Qwen3-4B,Phi-4,Qwen3-4B,10.399999999999999,10.125,0.5,30.8,False,False,True,True,0.35999999999999943,6.924999999999997,True,True
GPQA,Qwen3-4B,Qwen2.5-Math,58.8,54.6,50.0,53.37499999999999,52.1875,47.875,60.5,24.3,Qwen3-4B,Qwen2.5-Math,Qwen3-4B,Qwen3-4B,4.199999999999996,3.374999999999993,4.3125,36.2,True,False,False,True,2.1200000000000045,-5.049999999999997,True,False
GPQA,Qwen3-4B,Phi-4-Reas.,58.8,62.3,50.0,42.125,52.1875,55.625,60.5,44.0,Phi-4-Reas.,Qwen3-4B,Phi-4-Reas.,Qwen3-4B,3.5,7.875,3.4375,16.5,True,False,True,False,8.600000000000009,-3.75,False,True
GPQA,Qwen3-4B,Qwen2.5-7B,58.8,55.1,50.0,35.5,52.1875,57.25,60.5,35.9,Qwen3-4B,Qwen3-4B,Qwen2.5-7B,Qwen3-4B,3.6999999999999957,14.5,5.0625,24.6,False,True,True,True,9.100000000000009,1.625,True,True
