model,benchmark,n_total_traces,n_judged_traces_available,n_topbin_traces_under_sc,n_judged_topbin_traces_under_sc,judged_coverage_fraction,has_empty_preds,notes
Phi-4,GPQA,7168,250,717,40,0.05578800557880056,True,empty preds: traces agree only with other empty-normalized preds
Phi-4,GSM8K,21104,250,2111,21,0.00994789199431549,True,empty preds: traces agree only with other empty-normalized preds
Phi-4,MATH500,8000,250,800,29,0.03625,True,empty preds: traces agree only with other empty-normalized preds
Phi-4,SVAMP,16000,250,1600,21,0.013125,True,empty preds: traces agree only with other empty-normalized preds
Phi-4-Reas.,AQuA,4064,250,407,32,0.07862407862407862,True,empty preds: traces agree only with other empty-normalized preds
Phi-4-Reas.,CommonsenseQA,19536,250,1954,26,0.01330603889457523,True,empty preds: traces agree only with other empty-normalized preds
Phi-4-Reas.,GPQA,7168,250,717,47,0.06555090655509066,True,empty preds: traces agree only with other empty-normalized preds
Phi-4-Reas.,GSM8K,21104,250,2111,23,0.010895310279488394,True,empty preds: traces agree only with other empty-normalized preds
Phi-4-Reas.,MATH500,8000,250,800,28,0.035,True,empty preds: traces agree only with other empty-normalized preds
Phi-4-Reas.,SVAMP,16000,250,1600,29,0.018125,True,empty preds: traces agree only with other empty-normalized preds
Qwen2.5-7B,AQuA,4064,250,407,26,0.06388206388206388,False,
Qwen2.5-7B,CommonsenseQA,19536,250,1954,26,0.01330603889457523,False,
Qwen2.5-7B,GPQA,7168,250,717,29,0.040446304044630406,True,empty preds: traces agree only with other empty-normalized preds
Qwen2.5-7B,GSM8K,21104,250,2111,23,0.010895310279488394,True,empty preds: traces agree only with other empty-normalized preds
Qwen2.5-7B,MATH500,8000,250,800,28,0.035,True,empty preds: traces agree only with other empty-normalized preds
Qwen2.5-7B,SVAMP,16000,250,1600,15,0.009375,True,empty preds: traces agree only with other empty-normalized preds
Qwen2.5-Math,AQuA,4064,250,407,24,0.05896805896805897,True,empty preds: traces agree only with other empty-normalized preds
Qwen2.5-Math,CommonsenseQA,19536,250,1954,34,0.017400204708290685,True,empty preds: traces agree only with other empty-normalized preds
Qwen2.5-Math,GPQA,7168,250,717,27,0.03765690376569038,True,empty preds: traces agree only with other empty-normalized preds
Qwen2.5-Math,GSM8K,21104,250,2111,20,0.009474182851729039,True,empty preds: traces agree only with other empty-normalized preds
Qwen2.5-Math,MATH500,8000,250,800,35,0.04375,False,
Qwen2.5-Math,SVAMP,16000,250,1600,24,0.015,True,empty preds: traces agree only with other empty-normalized preds
Qwen3-4B,AQuA,4064,250,407,23,0.056511056511056514,True,empty preds: traces agree only with other empty-normalized preds
Qwen3-4B,CommonsenseQA,19536,250,1954,28,0.014329580348004094,False,
Qwen3-4B,GPQA,7168,250,717,22,0.030683403068340307,True,empty preds: traces agree only with other empty-normalized preds
Qwen3-4B,GSM8K,21104,250,2111,27,0.012790146849834202,True,empty preds: traces agree only with other empty-normalized preds
Qwen3-4B,MATH500,8000,250,800,23,0.02875,True,empty preds: traces agree only with other empty-normalized preds
Qwen3-4B,SVAMP,16000,250,1600,25,0.015625,True,empty preds: traces agree only with other empty-normalized preds
