model,benchmark,frs_pct,pass1_pct,base_reasoning,snr,unfiltered_reasoning_mean,jsonl_path,high_conf_accuracy_pct,cum_top10_mean_reasoning_0_1,pass16_pct,n_problems,n_lines_with_trace_count_neq_16
Phi-4,MATH500,74.4,60.8,73.08,-4.464555,0.8225,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/math500__test_math500_-1_seed42_t0.7_s0_e-1_f926bfb2-8236-4810-8b45-d26b70420256_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_f926bfb2-8236-4810-8b45-d26b70420256_processed.jsonl,60.75,0.74375,92.2,500,0
Phi-4,SVAMP,75.5,92.3,79.71,-2.423601,0.838125,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_5e3c0aba-f95c-4169-b2be-93598c09d125_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_5e3c0aba-f95c-4169-b2be-93598c09d125_processed.jsonl,47.31,0.755,97.9,1000,0
Phi-4,AQuA,78.5,77.6,78.12,-3.709158,0.7925,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_756b5145-0654-462e-aa33-768a98301a8f/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_756b5145-0654-462e-aa33-768a98301a8f.jsonl,53.32,0.785,96.45669291338582,254,0
Phi-4,GPQA,48.4,29.7,51.54,-0.051,0.526875,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_5bc15176-5547-480c-9564-745432b49c77_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_5bc15176-5547-480c-9564-745432b49c77_processed.jsonl,17.43,0.48375,93.52678571428572,448,0
Phi-4,CSQA,77.2,21.5,50.59,1.28948,0.626875,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_a90b3a6b-e2b2-4095-8b70-1d2e9277dd9f_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_a90b3a6b-e2b2-4095-8b70-1d2e9277dd9f_processed.jsonl,65.76,0.7725,93.03849303849304,1221,0
Qwen2.5-Math,GSM8K,90.8,84.55,87.47,0.281677,0.901875,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Qwen2.5_Math_7B/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_528e5291-b1f0-44c3-aebf-ab32978f6a62_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_528e5291-b1f0-44c3-aebf-ab32978f6a62_processed.jsonl,55.42,0.9075,98.25625473843822,1319,0
Qwen2.5-Math,MATH500,77.5,63.6,80.53,-0.176052,0.795,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/math500__test_custom_custom_-1_seed42_t0.7_s0_e-1/math500__test_custom_custom_-1_seed42_t0.7_s0_e-1.jsonl,61.0,0.775,78.4,500,0
Qwen2.5-Math,SVAMP,74.5,90.8,90.88,-0.763843,0.856875,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_e973610b-dc1a-4a7c-9737-cd64dad3639c_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_e973610b-dc1a-4a7c-9737-cd64dad3639c_processed.jsonl,44.75,0.745,98.2,1000,0
Qwen2.5-Math,AQuA,74.9,29.1,79.94,-1.469844,0.776875,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_006cc445-ea42-4bd9-bffa-608c58883403/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_006cc445-ea42-4bd9-bffa-608c58883403.jsonl,47.91,0.74875,97.24409448818898,254,0
Qwen2.5-Math,GPQA,54.6,24.3,52.67,-3.792145,0.47875,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_f468c946-01e4-4069-bcf8-912b58e77bc2_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_f468c946-01e4-4069-bcf8-912b58e77bc2_processed.jsonl,39.19,0.54625,96.42857142857144,448,0
Qwen2.5-Math,CSQA,70.6,45.9,63.24,-0.109159,0.655,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_2d85d3bd-1a27-4783-8b2e-85e02dd2bfce_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_2d85d3bd-1a27-4783-8b2e-85e02dd2bfce_processed.jsonl,50.72,0.70625,95.004095004095,1221,0
Phi-4-Reas.,GSM8K,84.5,95.4,90.79,0.740415,0.944375,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Phi_4_reasoning/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_21f83e35-c179-42f4-a76d-7d90d9098a27_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_21f83e35-c179-42f4-a76d-7d90d9098a27_processed.jsonl,96.02,0.845,98.18043972706596,1319,0
Phi-4-Reas.,MATH500,80.0,74.6,78.43,-0.036428,0.811875,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Phi_4_reasoning/math500__test_math500_-1_seed42_t0.7_s0_e-1_1cdfdbe8-a4a2-435f-98aa-3c0e4b0bdbaa_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_1cdfdbe8-a4a2-435f-98aa-3c0e4b0bdbaa_processed.jsonl,88.5,0.8,95.6,500,0
Phi-4-Reas.,SVAMP,74.8,94.6,87.18,-0.037384,0.880625,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Phi_4_reasoning/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_e8897f09-a48b-41da-b17e-80ab70f50b90_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_e8897f09-a48b-41da-b17e-80ab70f50b90_processed.jsonl,94.5,0.7475,97.4,1000,0
Phi-4-Reas.,AQuA,83.2,68.1,81.12,-0.037384,0.794375,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/Phi_4_reasoning/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_dc396ca6-dfc4-414b-bd14-f3238f0fa5fa/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_dc396ca6-dfc4-414b-bd14-f3238f0fa5fa.jsonl,73.46,0.8325,93.30708661417324,254,0
Phi-4-Reas.,GPQA,62.3,44.0,50.97,0.858754,0.55625,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Phi_4_reasoning/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6162977f-1de8-4882-aaa9-00e145e15972_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6162977f-1de8-4882-aaa9-00e145e15972_processed.jsonl,56.21,0.6225,97.09821428571428,448,0
Phi-4-Reas.,CSQA,33.4,36.9,38.7,2.145474,0.65625,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Phi_4_reasoning/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_8ff20c7d-8036-43e0-8cb4-7527d5dbfe3e_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_8ff20c7d-8036-43e0-8cb4-7527d5dbfe3e_processed.jsonl,67.2,0.33375,94.67649467649468,1221,0
Qwen2.5-7B,GSM8K,65.6,90.9,82.98,0.72455,0.785625,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Qwen2.5_7B_Instruct/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_3e29bacf-70a3-4d2b-9320-4b7a5c8f25ac_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_3e29bacf-70a3-4d2b-9320-4b7a5c8f25ac_processed.jsonl,62.62,0.65625,97.4981046247157,1319,0
Qwen2.5-7B,MATH500,75.6,60.6,71.43,1.046219,0.68125,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_7B_Instruct/math500__test_math500_-1_seed42_t0.7_s0_e-1_912d17ef-947c-4554-a9fb-d2e2de688295_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_912d17ef-947c-4554-a9fb-d2e2de688295_processed.jsonl,53.5,0.75625,91.2,500,0
Qwen2.5-7B,SVAMP,64.9,93.6,78.16,0.835712,0.77875,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Qwen2.5_7B_Instruct/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_9e43cdce-7f05-4b23-b911-5a4da43d5941_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_9e43cdce-7f05-4b23-b911-5a4da43d5941_processed.jsonl,62.25,0.64875,97.6,1000,0
Qwen2.5-7B,AQuA,77.2,78.3,77.85,1.563688,0.69625,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/Qwen2.5_7B_Instruct/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_99419048-ed0d-48bf-8841-7ced9d2a5bd9/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_99419048-ed0d-48bf-8841-7ced9d2a5bd9.jsonl,86.49,0.7725,94.88188976377953,254,0
Qwen2.5-7B,GPQA,55.1,35.9,58.92,1.121449,0.5725,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_7B_Instruct/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6edb027b-33f3-4829-953d-d5d172771f99_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6edb027b-33f3-4829-953d-d5d172771f99_processed.jsonl,39.61,0.55125,87.5,448,0
Qwen2.5-7B,CSQA,70.1,81.8,67.53,0.326144,0.88,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_7B_Instruct/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_55f65fad-5adf-4101-8d34-558d45cc1ee7_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_55f65fad-5adf-4101-8d34-558d45cc1ee7_processed.jsonl,82.29,0.70125,95.16789516789515,1221,0
LLaMA-3.1-8B,GSM8K,79.9,81.3,78.01,0.552588,0.825,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_7dd52404-3d70-4ca0-9ac8-e2d862b86a32_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_7dd52404-3d70-4ca0-9ac8-e2d862b86a32_processed.jsonl,82.85,0.79875,97.72554965883243,1319,0
LLaMA-3.1-8B,MATH500,60.6,35.6,53.66,0.689456,0.501875,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/math500__test_math500_-1_seed42_t0.7_s0_e-1_bc04473f-7046-4520-9fdf-6f7d75bea95c_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_bc04473f-7046-4520-9fdf-6f7d75bea95c_processed.jsonl,54.5,0.60625,80.2,500,0
LLaMA-3.1-8B,SVAMP,80.0,85.2,77.39,0.567369,0.806875,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Llama_3.1_8B_Instruct/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_391c908a-0d8a-481d-a180-18c378302070_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_391c908a-0d8a-481d-a180-18c378302070_processed.jsonl,86.19,0.8,97.9,1000,0
LLaMA-3.1-8B,AQuA,52.9,48.8,58.12,0.572747,0.531875,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_8874434d-5e4f-4f6e-9ead-8800e058ffc9/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_8874434d-5e4f-4f6e-9ead-8800e058ffc9.jsonl,56.76,0.52875,98.03149606299212,254,0
LLaMA-3.1-8B,GPQA,50.5,38.4,61.24,1.248826,0.519375,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_f0740bfe-4ab3-483f-8968-0dda699f86a5_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_f0740bfe-4ab3-483f-8968-0dda699f86a5_processed.jsonl,38.91,0.505,95.53571428571428,448,0
LLaMA-3.1-8B,CSQA,55.0,66.3,65.08,0.221359,0.581875,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_4a6d4a5d-a682-47ab-9f4d-5e23bbfb767c_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_4a6d4a5d-a682-47ab-9f4d-5e23bbfb767c_processed.jsonl,68.27,0.55,97.54299754299754,1221,0
Gemma-7B,GSM8K,41.2,36.9,53.39,-4.838499,0.513125,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/gemma_7b/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_7e377118-9bc4-4b39-91f3-80a9f16f7d17_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_7e377118-9bc4-4b39-91f3-80a9f16f7d17_processed.jsonl,24.44,0.4125,91.96360879454132,1319,0
Gemma-7B,MATH500,18.9,18.2,41.45,-1.601544,0.3625,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/gemma_7b/math500__test_math500_-1_seed42_t0.7_s0_e-1_bd430c2c-e789-45b4-84c5-8a328c0a23ed_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_bd430c2c-e789-45b4-84c5-8a328c0a23ed_processed.jsonl,4.0,0.18875,54.8,500,0
Gemma-7B,SVAMP,31.1,37.8,52.26,-3.458654,0.56,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/gemma_7b/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_5bde6301-7dbe-4b50-acc1-4e917f1e1b87_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_5bde6301-7dbe-4b50-acc1-4e917f1e1b87_processed.jsonl,21.94,0.31125,94.4,1000,0
Gemma-7B,AQuA,22.2,3.5,41.87,-4.016469,0.40625,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/gemma_7b/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_bd56842f-fc4d-452d-9a35-3cf0a3ddfaf9/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_bd56842f-fc4d-452d-9a35-3cf0a3ddfaf9.jsonl,13.51,0.2225,94.88188976377953,254,0
Gemma-7B,GPQA,30.9,24.8,55.11,-0.134219,0.390625,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/gemma_7b/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6209e00b-f801-4245-a20d-6b37d8addc6a_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6209e00b-f801-4245-a20d-6b37d8addc6a_processed.jsonl,11.4,0.30875,96.875,448,0
Gemma-7B,CSQA,13.4,27.3,30.78,-0.173487,0.270625,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/gemma_7b/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_9f780cde-c3a4-4b02-8fc0-562f7bb37bec_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_9f780cde-c3a4-4b02-8fc0-562f7bb37bec_processed.jsonl,15.51,0.13375,90.41769041769042,1221,0
