model,dataset,benchmark,seed,n_questions,y_train_mean_reasoning,y_test_mean_reasoning,checkpoint_path,frs_pct,pass1_pct,base_reasoning,snr,unfiltered_reasoning_mean,jsonl_path,high_conf_accuracy_pct,cum_top10_mean_reasoning_0_1,pass16_pct,n_problems,n_lines_with_trace_count_neq_16
DS-R1-1.5B,CommonsenseQA,CSQA,99,100,0.62375,0.49125,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__CommonsenseQA.json,56.1,39.6,52.65,-1.23333,0.5575,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_477c6874-1ced-47d3-ad02-d7fafbfc7615_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_477c6874-1ced-47d3-ad02-d7fafbfc7615_processed.jsonl,44.37,0.56125,90.9090909090909,1221,0
DS-R1-1.5B,CommonsenseQA,CSQA,123,100,0.53125,0.58375,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__CommonsenseQA.json,56.1,39.6,52.65,-1.23333,0.5575,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_477c6874-1ced-47d3-ad02-d7fafbfc7615_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_477c6874-1ced-47d3-ad02-d7fafbfc7615_processed.jsonl,44.37,0.56125,90.9090909090909,1221,0
DS-R1-1.5B,CommonsenseQA,CSQA,456,100,0.53,0.585,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__CommonsenseQA.json,56.1,39.6,52.65,-1.23333,0.5575,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_477c6874-1ced-47d3-ad02-d7fafbfc7615_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_477c6874-1ced-47d3-ad02-d7fafbfc7615_processed.jsonl,44.37,0.56125,90.9090909090909,1221,0
DS-R1-1.5B,CommonsenseQA,CSQA,789,100,0.575,0.54,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__CommonsenseQA.json,56.1,39.6,52.65,-1.23333,0.5575,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_477c6874-1ced-47d3-ad02-d7fafbfc7615_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_477c6874-1ced-47d3-ad02-d7fafbfc7615_processed.jsonl,44.37,0.56125,90.9090909090909,1221,0
DS-R1-1.5B,CommonsenseQA,CSQA,2024,100,0.5425,0.5725,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__CommonsenseQA.json,56.1,39.6,52.65,-1.23333,0.5575,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_477c6874-1ced-47d3-ad02-d7fafbfc7615_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_477c6874-1ced-47d3-ad02-d7fafbfc7615_processed.jsonl,44.37,0.56125,90.9090909090909,1221,0
DS-R1-1.5B,CommonsenseQA,CSQA,3141,100,0.57625,0.53875,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__CommonsenseQA.json,56.1,39.6,52.65,-1.23333,0.5575,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_477c6874-1ced-47d3-ad02-d7fafbfc7615_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_477c6874-1ced-47d3-ad02-d7fafbfc7615_processed.jsonl,44.37,0.56125,90.9090909090909,1221,0
DS-R1-1.5B,GPQA,GPQA,17,100,0.515,0.5,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__GPQA.json,56.6,37.9,53.29,-3.651697,0.5075,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_91a3fa77-4a27-4e3f-ad81-3b611817a67a_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_91a3fa77-4a27-4e3f-ad81-3b611817a67a_processed.jsonl,36.26,0.56625,96.20535714285714,448,0
DS-R1-1.5B,GPQA,GPQA,42,100,0.5025,0.5125,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__GPQA.json,56.6,37.9,53.29,-3.651697,0.5075,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_91a3fa77-4a27-4e3f-ad81-3b611817a67a_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_91a3fa77-4a27-4e3f-ad81-3b611817a67a_processed.jsonl,36.26,0.56625,96.20535714285714,448,0
DS-R1-1.5B,GPQA,GPQA,99,100,0.49625,0.51875,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__GPQA.json,56.6,37.9,53.29,-3.651697,0.5075,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_91a3fa77-4a27-4e3f-ad81-3b611817a67a_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_91a3fa77-4a27-4e3f-ad81-3b611817a67a_processed.jsonl,36.26,0.56625,96.20535714285714,448,0
DS-R1-1.5B,GPQA,GPQA,123,100,0.50125,0.51375,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__GPQA.json,56.6,37.9,53.29,-3.651697,0.5075,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_91a3fa77-4a27-4e3f-ad81-3b611817a67a_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_91a3fa77-4a27-4e3f-ad81-3b611817a67a_processed.jsonl,36.26,0.56625,96.20535714285714,448,0
DS-R1-1.5B,GPQA,GPQA,456,100,0.51875,0.49625,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__GPQA.json,56.6,37.9,53.29,-3.651697,0.5075,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_91a3fa77-4a27-4e3f-ad81-3b611817a67a_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_91a3fa77-4a27-4e3f-ad81-3b611817a67a_processed.jsonl,36.26,0.56625,96.20535714285714,448,0
DS-R1-1.5B,GPQA,GPQA,789,100,0.525,0.49,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__GPQA.json,56.6,37.9,53.29,-3.651697,0.5075,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_91a3fa77-4a27-4e3f-ad81-3b611817a67a_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_91a3fa77-4a27-4e3f-ad81-3b611817a67a_processed.jsonl,36.26,0.56625,96.20535714285714,448,0
DS-R1-1.5B,GPQA,GPQA,2024,100,0.5,0.515,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__GPQA.json,56.6,37.9,53.29,-3.651697,0.5075,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_91a3fa77-4a27-4e3f-ad81-3b611817a67a_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_91a3fa77-4a27-4e3f-ad81-3b611817a67a_processed.jsonl,36.26,0.56625,96.20535714285714,448,0
DS-R1-1.5B,GPQA,GPQA,3141,100,0.5225,0.4925,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__GPQA.json,56.6,37.9,53.29,-3.651697,0.5075,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_91a3fa77-4a27-4e3f-ad81-3b611817a67a_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_91a3fa77-4a27-4e3f-ad81-3b611817a67a_processed.jsonl,36.26,0.56625,96.20535714285714,448,0
DS-R1-1.5B,GSM8K,GSM8K,17,100,0.6875,0.75875,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__GSM8K.json,95.1,60.1,66.79,-1.699841,0.723125,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_1.5B/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_82e41558-dec2-49ce-bdf1-068a4ab112c3_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_82e41558-dec2-49ce-bdf1-068a4ab112c3_processed.jsonl,92.28,0.95125,95.67854435178164,1319,0
DS-R1-1.5B,GSM8K,GSM8K,42,100,0.70125,0.745,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__GSM8K.json,95.1,60.1,66.79,-1.699841,0.723125,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_1.5B/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_82e41558-dec2-49ce-bdf1-068a4ab112c3_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_82e41558-dec2-49ce-bdf1-068a4ab112c3_processed.jsonl,92.28,0.95125,95.67854435178164,1319,0
DS-R1-1.5B,GSM8K,GSM8K,99,100,0.70125,0.745,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__GSM8K.json,95.1,60.1,66.79,-1.699841,0.723125,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_1.5B/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_82e41558-dec2-49ce-bdf1-068a4ab112c3_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_82e41558-dec2-49ce-bdf1-068a4ab112c3_processed.jsonl,92.28,0.95125,95.67854435178164,1319,0
DS-R1-1.5B,GSM8K,GSM8K,123,100,0.70625,0.74,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__GSM8K.json,95.1,60.1,66.79,-1.699841,0.723125,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_1.5B/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_82e41558-dec2-49ce-bdf1-068a4ab112c3_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_82e41558-dec2-49ce-bdf1-068a4ab112c3_processed.jsonl,92.28,0.95125,95.67854435178164,1319,0
DS-R1-1.5B,GSM8K,GSM8K,456,100,0.7,0.74625,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__GSM8K.json,95.1,60.1,66.79,-1.699841,0.723125,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_1.5B/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_82e41558-dec2-49ce-bdf1-068a4ab112c3_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_82e41558-dec2-49ce-bdf1-068a4ab112c3_processed.jsonl,92.28,0.95125,95.67854435178164,1319,0
DS-R1-1.5B,GSM8K,GSM8K,789,100,0.72375,0.7225,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__GSM8K.json,95.1,60.1,66.79,-1.699841,0.723125,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_1.5B/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_82e41558-dec2-49ce-bdf1-068a4ab112c3_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_82e41558-dec2-49ce-bdf1-068a4ab112c3_processed.jsonl,92.28,0.95125,95.67854435178164,1319,0
DS-R1-1.5B,GSM8K,GSM8K,2024,100,0.69875,0.7475,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__GSM8K.json,95.1,60.1,66.79,-1.699841,0.723125,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_1.5B/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_82e41558-dec2-49ce-bdf1-068a4ab112c3_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_82e41558-dec2-49ce-bdf1-068a4ab112c3_processed.jsonl,92.28,0.95125,95.67854435178164,1319,0
DS-R1-1.5B,GSM8K,GSM8K,3141,100,0.68,0.76625,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__GSM8K.json,95.1,60.1,66.79,-1.699841,0.723125,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_1.5B/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_82e41558-dec2-49ce-bdf1-068a4ab112c3_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_82e41558-dec2-49ce-bdf1-068a4ab112c3_processed.jsonl,92.28,0.95125,95.67854435178164,1319,0
DS-R1-1.5B,MATH500,MATH500,17,100,0.60875,0.67875,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__MATH500.json,84.5,43.2,61.72,0.584968,0.64375,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/math500__test_math500_-1_seed42_t0.7_s0_e-1_4853343f-853e-4a60-a799-e844e17ff353_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_4853343f-853e-4a60-a799-e844e17ff353_processed.jsonl,76.38,0.845,84.0,500,0
DS-R1-1.5B,MATH500,MATH500,42,100,0.59875,0.68875,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__MATH500.json,84.5,43.2,61.72,0.584968,0.64375,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/math500__test_math500_-1_seed42_t0.7_s0_e-1_4853343f-853e-4a60-a799-e844e17ff353_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_4853343f-853e-4a60-a799-e844e17ff353_processed.jsonl,76.38,0.845,84.0,500,0
DS-R1-1.5B,MATH500,MATH500,99,100,0.66375,0.62375,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__MATH500.json,84.5,43.2,61.72,0.584968,0.64375,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/math500__test_math500_-1_seed42_t0.7_s0_e-1_4853343f-853e-4a60-a799-e844e17ff353_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_4853343f-853e-4a60-a799-e844e17ff353_processed.jsonl,76.38,0.845,84.0,500,0
DS-R1-1.5B,MATH500,MATH500,123,100,0.62875,0.65875,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__MATH500.json,84.5,43.2,61.72,0.584968,0.64375,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/math500__test_math500_-1_seed42_t0.7_s0_e-1_4853343f-853e-4a60-a799-e844e17ff353_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_4853343f-853e-4a60-a799-e844e17ff353_processed.jsonl,76.38,0.845,84.0,500,0
DS-R1-1.5B,MATH500,MATH500,456,100,0.665,0.6225,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__MATH500.json,84.5,43.2,61.72,0.584968,0.64375,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/math500__test_math500_-1_seed42_t0.7_s0_e-1_4853343f-853e-4a60-a799-e844e17ff353_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_4853343f-853e-4a60-a799-e844e17ff353_processed.jsonl,76.38,0.845,84.0,500,0
DS-R1-1.5B,MATH500,MATH500,789,100,0.63625,0.65125,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__MATH500.json,84.5,43.2,61.72,0.584968,0.64375,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/math500__test_math500_-1_seed42_t0.7_s0_e-1_4853343f-853e-4a60-a799-e844e17ff353_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_4853343f-853e-4a60-a799-e844e17ff353_processed.jsonl,76.38,0.845,84.0,500,0
DS-R1-1.5B,MATH500,MATH500,2024,100,0.6075,0.68,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__MATH500.json,84.5,43.2,61.72,0.584968,0.64375,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/math500__test_math500_-1_seed42_t0.7_s0_e-1_4853343f-853e-4a60-a799-e844e17ff353_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_4853343f-853e-4a60-a799-e844e17ff353_processed.jsonl,76.38,0.845,84.0,500,0
DS-R1-1.5B,MATH500,MATH500,3141,100,0.67,0.6175,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__MATH500.json,84.5,43.2,61.72,0.584968,0.64375,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/math500__test_math500_-1_seed42_t0.7_s0_e-1_4853343f-853e-4a60-a799-e844e17ff353_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_4853343f-853e-4a60-a799-e844e17ff353_processed.jsonl,76.38,0.845,84.0,500,0
DS-R1-1.5B,SVAMP,SVAMP,17,100,0.755,0.72375,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__SVAMP.json,96.9,65.8,59.74,-1.896066,0.739375,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_0e525c90-6dad-4d11-a8f1-6c63c51fefbb_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_0e525c90-6dad-4d11-a8f1-6c63c51fefbb_processed.jsonl,91.62,0.96875,97.3,1000,0
