model,dataset,benchmark,jsonl_path,question_id,trace_id,selection_type,confidence,correct,random_draw_index,exclude_top_from_random,seed,policy_version,reasoning_score,judge_ok,raw_json,error,from_cache
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,229,2,random,0.1540476078337387,False,0.0,True,42,selection_gain_v1,0.6875,True,"{""faithfulness"": 3, ""utility"": 4, ""coherence"": 3, ""factuality"": 5}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,183,10,random,0.1553708249226326,True,0.0,True,42,selection_gain_v1,1.0,True,"{""faithfulness"": 5, ""utility"": 5, ""coherence"": 5, ""factuality"": 5}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,49,8,random,0.2472809728499916,True,0.0,True,42,selection_gain_v1,1.0,True,"{""faithfulness"": 5, ""utility"": 5, ""coherence"": 5, ""factuality"": 5}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,145,13,random,0.0998582166968873,False,0.0,True,42,selection_gain_v1,0.3125,True,"{""faithfulness"": 2, ""utility"": 2, ""coherence"": 2, ""factuality"": 3}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,133,3,random,0.165415916330619,False,0.0,True,42,selection_gain_v1,0.6875,True,"{""faithfulness"": 3, ""utility"": 4, ""coherence"": 3, ""factuality"": 5}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,191,0,top_conf,0.2386159088599866,True,,True,42,selection_gain_v1,0.875,True,"{""faithfulness"": 4, ""utility"": 5, ""coherence"": 4, ""factuality"": 5}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,191,2,random,0.1185444584519532,False,0.0,True,42,selection_gain_v1,0.5,True,"{""faithfulness"": 3, ""utility"": 3, ""coherence"": 3, ""factuality"": 3}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,197,5,random,0.1230783534130083,False,0.0,True,42,selection_gain_v1,0.375,True,"{""faithfulness"": 2, ""utility"": 3, ""coherence"": 3, ""factuality"": 2}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,129,9,random,0.3462568710217653,False,0.0,True,42,selection_gain_v1,0.5625,True,"{""faithfulness"": 3, ""utility"": 3, ""coherence"": 3, ""factuality"": 4}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,243,2,random,0.1844438997035467,False,0.0,True,42,selection_gain_v1,0.625,True,"{""faithfulness"": 3, ""utility"": 4, ""coherence"": 3, ""factuality"": 4}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,65,1,top_conf,0.3857973564480355,True,,True,42,selection_gain_v1,1.0,True,"{""faithfulness"": 5, ""utility"": 5, ""coherence"": 5, ""factuality"": 5}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,2,4,random,0.1493344907979281,True,0.0,True,42,selection_gain_v1,0.3125,True,"{""faithfulness"": 2, ""utility"": 2, ""coherence"": 2, ""factuality"": 3}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,184,2,top_conf,0.1674905511273043,False,,True,42,selection_gain_v1,0.3125,True,"{""faithfulness"": 2, ""utility"": 2, ""coherence"": 2, ""factuality"": 3}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,217,10,random,0.1480045192480044,True,0.0,True,42,selection_gain_v1,0.625,True,"{""faithfulness"": 3, ""utility"": 4, ""coherence"": 3, ""factuality"": 4}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,184,4,random,0.1428102807675592,False,0.0,True,42,selection_gain_v1,0.375,True,"{""faithfulness"": 2, ""utility"": 2, ""coherence"": 3, ""factuality"": 3}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,77,8,random,0.1255521427192135,False,0.0,True,42,selection_gain_v1,0.3125,True,"{""faithfulness"": 2, ""utility"": 2, ""coherence"": 2, ""factuality"": 3}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,45,2,random,0.1924124344205375,True,0.0,True,42,selection_gain_v1,0.875,True,"{""faithfulness"": 4, ""utility"": 5, ""coherence"": 4, ""factuality"": 5}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,45,14,top_conf,0.3269431079945595,False,,True,42,selection_gain_v1,0.8125,True,"{""faithfulness"": 4, ""utility"": 4, ""coherence"": 4, ""factuality"": 5}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,177,13,top_conf,0.3248623712200525,False,,True,42,selection_gain_v1,0.75,True,"{""faithfulness"": 4, ""utility"": 4, ""coherence"": 4, ""factuality"": 4}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,62,15,top_conf,0.3186088752852083,True,,True,42,selection_gain_v1,1.0,True,"{""faithfulness"": 5, ""utility"": 5, ""coherence"": 5, ""factuality"": 5}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,93,15,top_conf,0.2850492986993478,True,,True,42,selection_gain_v1,1.0,True,"{""faithfulness"": 5, ""utility"": 5, ""coherence"": 5, ""factuality"": 5}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,53,1,top_conf,0.2718033440116084,True,,True,42,selection_gain_v1,1.0,True,"{""faithfulness"": 5, ""utility"": 5, ""coherence"": 5, ""factuality"": 5}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,230,6,random,0.199741232576651,True,0.0,True,42,selection_gain_v1,0.875,True,"{""faithfulness"": 4, ""utility"": 5, ""coherence"": 4, ""factuality"": 5}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,156,3,top_conf,0.2582306015059507,True,,True,42,selection_gain_v1,1.0,True,"{""faithfulness"": 5, ""utility"": 5, ""coherence"": 5, ""factuality"": 5}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,217,12,top_conf,0.2469734520031892,True,,True,42,selection_gain_v1,0.875,True,"{""faithfulness"": 4, ""utility"": 5, ""coherence"": 4, ""factuality"": 5}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,128,4,top_conf,0.4424121413541553,True,,True,42,selection_gain_v1,1.0,True,"{""faithfulness"": 5, ""utility"": 5, ""coherence"": 5, ""factuality"": 5}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,202,9,random,0.1153878292109233,False,0.0,True,42,selection_gain_v1,0.3125,True,"{""faithfulness"": 2, ""utility"": 2, ""coherence"": 2, ""factuality"": 3}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,207,11,top_conf,0.1426670887271908,False,,True,42,selection_gain_v1,0.3125,True,"{""faithfulness"": 2, ""utility"": 2, ""coherence"": 2, ""factuality"": 3}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,133,11,top_conf,0.3204224261177986,True,,True,42,selection_gain_v1,1.0,True,"{""faithfulness"": 5, ""utility"": 5, ""coherence"": 5, ""factuality"": 5}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,219,11,top_conf,0.3714072896248788,True,,True,42,selection_gain_v1,1.0,True,"{""faithfulness"": 5, ""utility"": 5, ""coherence"": 5, ""factuality"": 5}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,72,7,top_conf,0.3489245882985222,True,,True,42,selection_gain_v1,1.0,True,"{""faithfulness"": 5, ""utility"": 5, ""coherence"": 5, ""factuality"": 5}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,129,2,top_conf,0.3877702700484079,True,,True,42,selection_gain_v1,0.5625,True,"{""faithfulness"": 3, ""utility"": 3, ""coherence"": 3, ""factuality"": 4}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,2,3,top_conf,0.2845067885576151,True,,True,42,selection_gain_v1,1.0,True,"{""faithfulness"": 5, ""utility"": 5, ""coherence"": 5, ""factuality"": 5}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,109,13,top_conf,0.1595363747979996,True,,True,42,selection_gain_v1,0.875,True,"{""faithfulness"": 4, ""utility"": 5, ""coherence"": 4, ""factuality"": 5}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,158,9,top_conf,0.1111635182676871,False,,True,42,selection_gain_v1,0.375,True,"{""faithfulness"": 2, ""utility"": 3, ""coherence"": 3, ""factuality"": 2}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,236,10,random,0.1569923716854431,False,0.0,True,42,selection_gain_v1,0.3125,True,"{""faithfulness"": 2, ""utility"": 2, ""coherence"": 2, ""factuality"": 3}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,220,13,top_conf,0.3654040779186364,True,,True,42,selection_gain_v1,1.0,True,"{""faithfulness"": 5, ""utility"": 5, ""coherence"": 5, ""factuality"": 5}",,False
