model,dataset,benchmark,question_id,reasoning_score_top_conf,mean_reasoning_score_random,selection_gain_question,n_random_valid,n_top_valid
DS-R1-1.5B,AQuA,AQuA,219,1.0,0.5625,0.4375,1,1
DS-R1-1.5B,AQuA,AQuA,220,1.0,0.6875,0.3125,1,1
DS-R1-1.5B,AQuA,AQuA,229,1.0,0.6875,0.3125,1,1
DS-R1-1.5B,AQuA,AQuA,230,1.0,0.875,0.125,1,1
DS-R1-1.5B,AQuA,AQuA,236,0.625,0.3125,0.3125,1,1
DS-R1-1.5B,AQuA,AQuA,243,0.625,0.625,0.0,1,1
DS-R1-1.5B,AQuA,AQuA,253,0.3125,0.6875,-0.375,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,33,0.8125,1.0,-0.1875,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,71,0.5625,0.8125,-0.25,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,72,1.0,0.3125,0.6875,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,107,0.4375,0.6875,-0.25,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,157,0.5625,0.375,0.1875,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,158,0.5625,0.3125,0.25,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,165,1.0,0.625,0.375,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,186,0.625,0.6875,-0.0625,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,193,0.4375,0.4375,0.0,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,202,0.3125,0.3125,0.0,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,210,1.0,1.0,0.0,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,216,0.0,0.375,-0.375,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,253,1.0,0.6875,0.3125,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,268,0.3125,1.0,-0.6875,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,273,0.3125,0.3125,0.0,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,303,1.0,0.8125,0.1875,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,310,0.8125,0.5,0.3125,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,339,0.3125,0.3125,0.0,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,348,0.8125,0.8125,0.0,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,349,0.3125,0.3125,0.0,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,362,0.3125,0.3125,0.0,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,363,1.0,0.375,0.625,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,401,1.0,0.3125,0.6875,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,436,0.3125,0.6875,-0.375,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,450,0.3125,0.625,-0.3125,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,483,1.0,0.8125,0.1875,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,489,0.8125,0.8125,0.0,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,493,0.625,0.625,0.0,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,500,0.875,0.625,0.25,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,513,0.0625,0.3125,-0.25,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,566,1.0,0.8125,0.1875,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,614,1.0,0.5625,0.4375,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,649,0.75,1.0,-0.25,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,660,1.0,1.0,0.0,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,706,1.0,0.3125,0.6875,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,748,0.3125,0.5625,-0.25,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,755,0.4375,0.5,-0.0625,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,871,0.3125,0.8125,-0.5,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,927,0.3125,0.75,-0.4375,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,953,0.3125,0.3125,0.0,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,957,0.3125,1.0,-0.6875,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,975,0.0,0.8125,-0.8125,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,978,0.3125,0.4375,-0.125,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,995,0.75,0.8125,-0.0625,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,1006,0.0,0.375,-0.375,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,1018,1.0,0.375,0.625,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,1072,0.3125,0.8125,-0.5,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,1119,0.375,1.0,-0.625,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,1195,0.625,1.0,-0.375,1,1
DS-R1-1.5B,CommonsenseQA,CSQA,1207,1.0,0.8125,0.1875,1,1
DS-R1-1.5B,GPQA,GPQA,0,0.4375,0.5,-0.0625,1,1
DS-R1-1.5B,GPQA,GPQA,3,0.5625,0.3125,0.25,1,1
DS-R1-1.5B,GPQA,GPQA,5,0.875,0.5625,0.3125,1,1
DS-R1-1.5B,GPQA,GPQA,7,0.75,0.375,0.375,1,1
DS-R1-1.5B,GPQA,GPQA,12,0.3125,0.625,-0.3125,1,1
DS-R1-1.5B,GPQA,GPQA,45,0.5,0.5625,-0.0625,1,1
DS-R1-1.5B,GPQA,GPQA,53,0.5,0.5,0.0,1,1
DS-R1-1.5B,GPQA,GPQA,77,0.6875,0.5625,0.125,1,1
DS-R1-1.5B,GPQA,GPQA,84,0.75,0.625,0.125,1,1
DS-R1-1.5B,GPQA,GPQA,86,0.8125,0.5625,0.25,1,1
DS-R1-1.5B,GPQA,GPQA,92,0.4375,0.375,0.0625,1,1
DS-R1-1.5B,GPQA,GPQA,95,0.3125,0.4375,-0.125,1,1
DS-R1-1.5B,GPQA,GPQA,98,0.375,0.5625,-0.1875,1,1
DS-R1-1.5B,GPQA,GPQA,102,0.3125,0.5,-0.1875,1,1
DS-R1-1.5B,GPQA,GPQA,113,0.4375,0.4375,0.0,1,1
DS-R1-1.5B,GPQA,GPQA,122,0.3125,0.5,-0.1875,1,1
DS-R1-1.5B,GPQA,GPQA,139,0.4375,0.375,0.0625,1,1
DS-R1-1.5B,GPQA,GPQA,140,0.5625,0.5,0.0625,1,1
DS-R1-1.5B,GPQA,GPQA,141,0.8125,0.5625,0.25,1,1
DS-R1-1.5B,GPQA,GPQA,145,0.5625,0.5,0.0625,1,1
DS-R1-1.5B,GPQA,GPQA,154,0.5,0.25,0.25,1,1
DS-R1-1.5B,GPQA,GPQA,163,0.25,0.5,-0.25,1,1
DS-R1-1.5B,GPQA,GPQA,178,0.8125,0.375,0.4375,1,1
DS-R1-1.5B,GPQA,GPQA,186,0.0,0.4375,-0.4375,1,1
DS-R1-1.5B,GPQA,GPQA,192,0.375,0.3125,0.0625,1,1
DS-R1-1.5B,GPQA,GPQA,197,1.0,0.3125,0.6875,1,1
DS-R1-1.5B,GPQA,GPQA,224,0.375,0.5625,-0.1875,1,1
DS-R1-1.5B,GPQA,GPQA,226,0.5,0.3125,0.1875,1,1
DS-R1-1.5B,GPQA,GPQA,227,0.125,0.3125,-0.1875,1,1
DS-R1-1.5B,GPQA,GPQA,239,0.3125,0.375,-0.0625,1,1
DS-R1-1.5B,GPQA,GPQA,248,0.5625,0.375,0.1875,1,1
DS-R1-1.5B,GPQA,GPQA,254,0.5625,0.375,0.1875,1,1
DS-R1-1.5B,GPQA,GPQA,258,0.5,0.3125,0.1875,1,1
DS-R1-1.5B,GPQA,GPQA,265,0.0,0.5625,-0.5625,1,1
DS-R1-1.5B,GPQA,GPQA,277,0.5625,0.25,0.3125,1,1
DS-R1-1.5B,GPQA,GPQA,290,0.6875,1.0,-0.3125,1,1
DS-R1-1.5B,GPQA,GPQA,297,1.0,1.0,0.0,1,1
DS-R1-1.5B,GPQA,GPQA,299,0.375,0.8125,-0.4375,1,1
DS-R1-1.5B,GPQA,GPQA,307,0.25,0.5625,-0.3125,1,1
DS-R1-1.5B,GPQA,GPQA,311,0.5625,0.4375,0.125,1,1
DS-R1-1.5B,GPQA,GPQA,351,0.375,0.375,0.0,1,1
DS-R1-1.5B,GPQA,GPQA,352,0.6875,0.5625,0.125,1,1
DS-R1-1.5B,GPQA,GPQA,356,0.25,0.25,0.0,1,1
DS-R1-1.5B,GPQA,GPQA,360,1.0,1.0,0.0,1,1
DS-R1-1.5B,GPQA,GPQA,371,0.5,0.5,0.0,1,1
DS-R1-1.5B,GPQA,GPQA,400,0.375,0.5,-0.125,1,1
DS-R1-1.5B,GPQA,GPQA,404,0.3125,0.375,-0.0625,1,1
DS-R1-1.5B,GPQA,GPQA,422,0.3125,0.5625,-0.25,1,1
DS-R1-1.5B,GPQA,GPQA,425,1.0,0.3125,0.6875,1,1
DS-R1-1.5B,GPQA,GPQA,439,0.3125,0.5625,-0.25,1,1
DS-R1-1.5B,GSM8K,GSM8K,45,1.0,1.0,0.0,1,1
DS-R1-1.5B,GSM8K,GSM8K,52,1.0,0.875,0.125,1,1
DS-R1-1.5B,GSM8K,GSM8K,59,1.0,0.875,0.125,1,1
DS-R1-1.5B,GSM8K,GSM8K,65,1.0,0.6875,0.3125,1,1
DS-R1-1.5B,GSM8K,GSM8K,70,1.0,0.3125,0.6875,1,1
DS-R1-1.5B,GSM8K,GSM8K,87,0.5625,0.4375,0.125,1,1
DS-R1-1.5B,GSM8K,GSM8K,100,0.3125,0.375,-0.0625,1,1
DS-R1-1.5B,GSM8K,GSM8K,134,1.0,1.0,0.0,1,1
DS-R1-1.5B,GSM8K,GSM8K,147,0.375,0.25,0.125,1,1
DS-R1-1.5B,GSM8K,GSM8K,165,1.0,1.0,0.0,1,1
DS-R1-1.5B,GSM8K,GSM8K,188,1.0,0.875,0.125,1,1
DS-R1-1.5B,GSM8K,GSM8K,252,0.875,0.75,0.125,1,1
DS-R1-1.5B,GSM8K,GSM8K,304,0.625,0.25,0.375,1,1
DS-R1-1.5B,GSM8K,GSM8K,363,1.0,0.875,0.125,1,1
DS-R1-1.5B,GSM8K,GSM8K,395,0.8125,0.625,0.1875,1,1
DS-R1-1.5B,GSM8K,GSM8K,456,1.0,1.0,0.0,1,1
DS-R1-1.5B,GSM8K,GSM8K,491,1.0,1.0,0.0,1,1
DS-R1-1.5B,GSM8K,GSM8K,542,1.0,1.0,0.0,1,1
DS-R1-1.5B,GSM8K,GSM8K,564,1.0,0.25,0.75,1,1
DS-R1-1.5B,GSM8K,GSM8K,618,1.0,0.6875,0.3125,1,1
DS-R1-1.5B,GSM8K,GSM8K,631,1.0,1.0,0.0,1,1
DS-R1-1.5B,GSM8K,GSM8K,640,0.75,0.3125,0.4375,1,1
DS-R1-1.5B,GSM8K,GSM8K,646,1.0,1.0,0.0,1,1
DS-R1-1.5B,GSM8K,GSM8K,656,1.0,0.625,0.375,1,1
DS-R1-1.5B,GSM8K,GSM8K,667,0.3125,1.0,-0.6875,1,1
DS-R1-1.5B,GSM8K,GSM8K,672,0.3125,0.3125,0.0,1,1
DS-R1-1.5B,GSM8K,GSM8K,747,1.0,0.875,0.125,1,1
DS-R1-1.5B,GSM8K,GSM8K,766,1.0,0.8125,0.1875,1,1
DS-R1-1.5B,GSM8K,GSM8K,772,1.0,0.875,0.125,1,1
DS-R1-1.5B,GSM8K,GSM8K,850,1.0,0.875,0.125,1,1
DS-R1-1.5B,GSM8K,GSM8K,855,1.0,0.75,0.25,1,1
DS-R1-1.5B,GSM8K,GSM8K,858,1.0,0.25,0.75,1,1
DS-R1-1.5B,GSM8K,GSM8K,860,1.0,0.6875,0.3125,1,1
DS-R1-1.5B,GSM8K,GSM8K,864,1.0,0.75,0.25,1,1
DS-R1-1.5B,GSM8K,GSM8K,921,1.0,1.0,0.0,1,1
DS-R1-1.5B,GSM8K,GSM8K,932,1.0,0.375,0.625,1,1
DS-R1-1.5B,GSM8K,GSM8K,944,1.0,0.875,0.125,1,1
DS-R1-1.5B,GSM8K,GSM8K,952,0.4375,0.4375,0.0,1,1
DS-R1-1.5B,GSM8K,GSM8K,955,1.0,0.3125,0.6875,1,1
DS-R1-1.5B,GSM8K,GSM8K,974,1.0,1.0,0.0,1,1
DS-R1-1.5B,GSM8K,GSM8K,998,1.0,1.0,0.0,1,1
DS-R1-1.5B,GSM8K,GSM8K,1010,1.0,1.0,0.0,1,1
DS-R1-1.5B,GSM8K,GSM8K,1024,1.0,1.0,0.0,1,1
DS-R1-1.5B,GSM8K,GSM8K,1038,0.375,0.3125,0.0625,1,1
DS-R1-1.5B,GSM8K,GSM8K,1055,1.0,0.875,0.125,1,1
DS-R1-1.5B,GSM8K,GSM8K,1077,0.375,0.375,0.0,1,1
DS-R1-1.5B,GSM8K,GSM8K,1115,1.0,0.875,0.125,1,1
DS-R1-1.5B,GSM8K,GSM8K,1149,1.0,0.75,0.25,1,1
DS-R1-1.5B,GSM8K,GSM8K,1241,1.0,1.0,0.0,1,1
DS-R1-1.5B,GSM8K,GSM8K,1251,0.625,0.3125,0.3125,1,1
DS-R1-1.5B,MATH500,MATH500,5,1.0,0.875,0.125,1,1
DS-R1-1.5B,MATH500,MATH500,17,1.0,0.3125,0.6875,1,1
DS-R1-1.5B,MATH500,MATH500,21,0.3125,0.375,-0.0625,1,1
DS-R1-1.5B,MATH500,MATH500,34,1.0,1.0,0.0,1,1
DS-R1-1.5B,MATH500,MATH500,36,0.5,0.5625,-0.0625,1,1
DS-R1-1.5B,MATH500,MATH500,62,1.0,1.0,0.0,1,1
DS-R1-1.5B,MATH500,MATH500,66,1.0,0.8125,0.1875,1,1
DS-R1-1.5B,MATH500,MATH500,72,1.0,0.8125,0.1875,1,1
DS-R1-1.5B,MATH500,MATH500,85,1.0,1.0,0.0,1,1
DS-R1-1.5B,MATH500,MATH500,95,1.0,0.8125,0.1875,1,1
DS-R1-1.5B,MATH500,MATH500,114,1.0,1.0,0.0,1,1
DS-R1-1.5B,MATH500,MATH500,138,0.3125,0.3125,0.0,1,1
DS-R1-1.5B,MATH500,MATH500,158,0.8125,0.75,0.0625,1,1
DS-R1-1.5B,MATH500,MATH500,160,1.0,0.75,0.25,1,1
DS-R1-1.5B,MATH500,MATH500,163,0.375,0.4375,-0.0625,1,1
DS-R1-1.5B,MATH500,MATH500,175,0.8125,1.0,-0.1875,1,1
DS-R1-1.5B,MATH500,MATH500,177,0.75,0.4375,0.3125,1,1
DS-R1-1.5B,MATH500,MATH500,201,1.0,1.0,0.0,1,1
DS-R1-1.5B,MATH500,MATH500,211,0.6875,0.8125,-0.125,1,1
DS-R1-1.5B,MATH500,MATH500,219,0.3125,0.3125,0.0,1,1
DS-R1-1.5B,MATH500,MATH500,222,0.375,0.3125,0.0625,1,1
DS-R1-1.5B,MATH500,MATH500,235,1.0,1.0,0.0,1,1
DS-R1-1.5B,MATH500,MATH500,255,1.0,0.875,0.125,1,1
DS-R1-1.5B,MATH500,MATH500,260,1.0,1.0,0.0,1,1
DS-R1-1.5B,MATH500,MATH500,269,1.0,0.6875,0.3125,1,1
DS-R1-1.5B,MATH500,MATH500,270,1.0,1.0,0.0,1,1
DS-R1-1.5B,MATH500,MATH500,279,0.625,0.875,-0.25,1,1
DS-R1-1.5B,MATH500,MATH500,280,0.875,0.3125,0.5625,1,1
DS-R1-1.5B,MATH500,MATH500,290,1.0,0.8125,0.1875,1,1
DS-R1-1.5B,MATH500,MATH500,334,1.0,1.0,0.0,1,1
DS-R1-1.5B,MATH500,MATH500,339,1.0,0.875,0.125,1,1
DS-R1-1.5B,MATH500,MATH500,359,1.0,1.0,0.0,1,1
DS-R1-1.5B,MATH500,MATH500,371,0.25,0.3125,-0.0625,1,1
DS-R1-1.5B,MATH500,MATH500,373,1.0,0.75,0.25,1,1
DS-R1-1.5B,MATH500,MATH500,376,1.0,0.8125,0.1875,1,1
DS-R1-1.5B,MATH500,MATH500,379,1.0,0.5625,0.4375,1,1
DS-R1-1.5B,MATH500,MATH500,380,0.4375,0.625,-0.1875,1,1
DS-R1-1.5B,MATH500,MATH500,393,1.0,0.6875,0.3125,1,1
DS-R1-1.5B,MATH500,MATH500,397,1.0,0.875,0.125,1,1
DS-R1-1.5B,MATH500,MATH500,419,0.5625,0.75,-0.1875,1,1
DS-R1-1.5B,MATH500,MATH500,421,0.5,0.5,0.0,1,1
DS-R1-1.5B,MATH500,MATH500,423,0.375,0.5625,-0.1875,1,1
DS-R1-1.5B,MATH500,MATH500,425,0.25,0.25,0.0,1,1
DS-R1-1.5B,MATH500,MATH500,428,1.0,0.5,0.5,1,1
DS-R1-1.5B,MATH500,MATH500,431,1.0,0.4375,0.5625,1,1
DS-R1-1.5B,MATH500,MATH500,460,0.3125,0.625,-0.3125,1,1
DS-R1-1.5B,MATH500,MATH500,461,1.0,0.75,0.25,1,1
DS-R1-1.5B,MATH500,MATH500,487,1.0,1.0,0.0,1,1
DS-R1-1.5B,MATH500,MATH500,494,0.3125,0.3125,0.0,1,1
DS-R1-1.5B,MATH500,MATH500,498,0.0,0.5,-0.5,1,1
DS-R1-1.5B,SVAMP,SVAMP,33,0.4375,0.375,0.0625,1,1
DS-R1-1.5B,SVAMP,SVAMP,34,1.0,0.625,0.375,1,1
DS-R1-1.5B,SVAMP,SVAMP,51,1.0,0.6875,0.3125,1,1
DS-R1-1.5B,SVAMP,SVAMP,54,0.3125,0.25,0.0625,1,1
DS-R1-1.5B,SVAMP,SVAMP,63,1.0,0.6875,0.3125,1,1
DS-R1-1.5B,SVAMP,SVAMP,98,1.0,1.0,0.0,1,1
DS-R1-1.5B,SVAMP,SVAMP,129,1.0,1.0,0.0,1,1
DS-R1-1.5B,SVAMP,SVAMP,163,0.3125,0.25,0.0625,1,1
DS-R1-1.5B,SVAMP,SVAMP,176,0.3125,0.3125,0.0,1,1
DS-R1-1.5B,SVAMP,SVAMP,191,0.25,0.0625,0.1875,1,1
DS-R1-1.5B,SVAMP,SVAMP,243,1.0,0.6875,0.3125,1,1
DS-R1-1.5B,SVAMP,SVAMP,251,1.0,1.0,0.0,1,1
DS-R1-1.5B,SVAMP,SVAMP,303,1.0,0.6875,0.3125,1,1
DS-R1-1.5B,SVAMP,SVAMP,372,0.6875,0.5625,0.125,1,1
DS-R1-1.5B,SVAMP,SVAMP,381,1.0,1.0,0.0,1,1
DS-R1-1.5B,SVAMP,SVAMP,385,1.0,0.875,0.125,1,1
DS-R1-1.5B,SVAMP,SVAMP,387,0.875,1.0,-0.125,1,1
DS-R1-1.5B,SVAMP,SVAMP,396,1.0,0.8125,0.1875,1,1
DS-R1-1.5B,SVAMP,SVAMP,408,0.3125,1.0,-0.6875,1,1
DS-R1-1.5B,SVAMP,SVAMP,441,1.0,0.75,0.25,1,1
DS-R1-1.5B,SVAMP,SVAMP,450,1.0,0.875,0.125,1,1
DS-R1-1.5B,SVAMP,SVAMP,478,1.0,0.625,0.375,1,1
DS-R1-1.5B,SVAMP,SVAMP,496,1.0,1.0,0.0,1,1
DS-R1-1.5B,SVAMP,SVAMP,503,1.0,1.0,0.0,1,1
DS-R1-1.5B,SVAMP,SVAMP,511,1.0,1.0,0.0,1,1
DS-R1-1.5B,SVAMP,SVAMP,513,0.3125,0.3125,0.0,1,1
DS-R1-1.5B,SVAMP,SVAMP,519,1.0,0.75,0.25,1,1
DS-R1-1.5B,SVAMP,SVAMP,520,1.0,0.875,0.125,1,1
DS-R1-1.5B,SVAMP,SVAMP,552,0.625,0.625,0.0,1,1
DS-R1-1.5B,SVAMP,SVAMP,630,1.0,1.0,0.0,1,1
DS-R1-1.5B,SVAMP,SVAMP,639,1.0,1.0,0.0,1,1
DS-R1-1.5B,SVAMP,SVAMP,642,0.1875,0.5625,-0.375,1,1
DS-R1-1.5B,SVAMP,SVAMP,644,1.0,0.875,0.125,1,1
DS-R1-1.5B,SVAMP,SVAMP,665,0.375,0.875,-0.5,1,1
DS-R1-1.5B,SVAMP,SVAMP,690,0.6875,0.5625,0.125,1,1
DS-R1-1.5B,SVAMP,SVAMP,700,1.0,0.6875,0.3125,1,1
DS-R1-1.5B,SVAMP,SVAMP,711,0.6875,1.0,-0.3125,1,1
DS-R1-1.5B,SVAMP,SVAMP,717,0.75,0.75,0.0,1,1
DS-R1-1.5B,SVAMP,SVAMP,732,1.0,0.25,0.75,1,1
DS-R1-1.5B,SVAMP,SVAMP,759,1.0,1.0,0.0,1,1
DS-R1-1.5B,SVAMP,SVAMP,770,0.875,0.25,0.625,1,1
DS-R1-1.5B,SVAMP,SVAMP,856,1.0,0.75,0.25,1,1
DS-R1-1.5B,SVAMP,SVAMP,883,1.0,0.875,0.125,1,1
DS-R1-1.5B,SVAMP,SVAMP,896,0.5,0.5,0.0,1,1
DS-R1-1.5B,SVAMP,SVAMP,902,0.25,0.5625,-0.3125,1,1
DS-R1-1.5B,SVAMP,SVAMP,908,0.8125,0.6875,0.125,1,1
DS-R1-1.5B,SVAMP,SVAMP,912,1.0,0.75,0.25,1,1
DS-R1-1.5B,SVAMP,SVAMP,940,1.0,1.0,0.0,1,1
DS-R1-1.5B,SVAMP,SVAMP,955,0.25,0.875,-0.625,1,1
DS-R1-1.5B,SVAMP,SVAMP,994,1.0,1.0,0.0,1,1
DS-R1-7B,AQuA,AQuA,2,1.0,0.875,0.125,1,1
DS-R1-7B,AQuA,AQuA,6,1.0,0.375,0.625,1,1
DS-R1-7B,AQuA,AQuA,8,0.8125,0.6875,0.125,1,1
DS-R1-7B,AQuA,AQuA,16,1.0,1.0,0.0,1,1
DS-R1-7B,AQuA,AQuA,17,1.0,1.0,0.0,1,1
DS-R1-7B,AQuA,AQuA,18,1.0,1.0,0.0,1,1
DS-R1-7B,AQuA,AQuA,20,0.3125,0.3125,0.0,1,1
DS-R1-7B,AQuA,AQuA,24,1.0,1.0,0.0,1,1
DS-R1-7B,AQuA,AQuA,26,1.0,0.8125,0.1875,1,1
DS-R1-7B,AQuA,AQuA,37,1.0,1.0,0.0,1,1
DS-R1-7B,AQuA,AQuA,44,1.0,1.0,0.0,1,1
DS-R1-7B,AQuA,AQuA,47,1.0,1.0,0.0,1,1
DS-R1-7B,AQuA,AQuA,49,1.0,1.0,0.0,1,1
DS-R1-7B,AQuA,AQuA,56,0.75,0.75,0.0,1,1
DS-R1-7B,AQuA,AQuA,60,1.0,1.0,0.0,1,1
DS-R1-7B,AQuA,AQuA,65,1.0,1.0,0.0,1,1
DS-R1-7B,AQuA,AQuA,68,0.625,0.75,-0.125,1,1
DS-R1-7B,AQuA,AQuA,71,1.0,1.0,0.0,1,1
DS-R1-7B,AQuA,AQuA,72,1.0,1.0,0.0,1,1
DS-R1-7B,AQuA,AQuA,78,1.0,0.875,0.125,1,1
DS-R1-7B,AQuA,AQuA,87,1.0,0.875,0.125,1,1
DS-R1-7B,AQuA,AQuA,95,1.0,1.0,0.0,1,1
DS-R1-7B,AQuA,AQuA,96,1.0,1.0,0.0,1,1
DS-R1-7B,AQuA,AQuA,100,1.0,1.0,0.0,1,1
DS-R1-7B,AQuA,AQuA,104,0.5625,0.5625,0.0,1,1
DS-R1-7B,AQuA,AQuA,110,0.875,1.0,-0.125,1,1
DS-R1-7B,AQuA,AQuA,111,0.8125,0.375,0.4375,1,1
DS-R1-7B,AQuA,AQuA,114,0.5625,0.75,-0.1875,1,1
DS-R1-7B,AQuA,AQuA,116,0.8125,0.5625,0.25,1,1
DS-R1-7B,AQuA,AQuA,120,1.0,1.0,0.0,1,1
DS-R1-7B,AQuA,AQuA,125,1.0,0.75,0.25,1,1
DS-R1-7B,AQuA,AQuA,130,1.0,1.0,0.0,1,1
DS-R1-7B,AQuA,AQuA,132,0.6875,0.5625,0.125,1,1
DS-R1-7B,AQuA,AQuA,142,1.0,1.0,0.0,1,1
DS-R1-7B,AQuA,AQuA,146,0.5625,0.5625,0.0,1,1
DS-R1-7B,AQuA,AQuA,155,1.0,0.625,0.375,1,1
