model,benchmark,resample_id,num_k4_top10,num_k8_top10,num_intersection,recall_k4_in_k8,jaccard
DS-R1-7B,MATH500,0,200,400,101,0.505,0.20240480961923848
DS-R1-7B,MATH500,1,200,400,89,0.445,0.17416829745596868
DS-R1-7B,MATH500,2,200,400,96,0.48,0.19047619047619047
DS-R1-7B,MATH500,3,200,400,95,0.475,0.18811881188118812
DS-R1-7B,MATH500,4,200,400,92,0.46,0.18110236220472442
DS-R1-7B,MATH500,5,200,400,91,0.455,0.1787819253438114
DS-R1-7B,MATH500,6,200,400,111,0.555,0.22699386503067484
DS-R1-7B,MATH500,7,200,400,94,0.47,0.1857707509881423
DS-R1-7B,MATH500,8,200,400,99,0.495,0.19760479041916168
DS-R1-7B,MATH500,9,200,400,101,0.505,0.20240480961923848
DS-R1-7B,SVAMP,0,400,800,198,0.495,0.19760479041916168
DS-R1-7B,SVAMP,1,400,800,205,0.5125,0.20603015075376885
DS-R1-7B,SVAMP,2,400,800,195,0.4875,0.19402985074626866
DS-R1-7B,SVAMP,3,400,800,196,0.49,0.1952191235059761
DS-R1-7B,SVAMP,4,400,800,197,0.4925,0.19641076769690927
DS-R1-7B,SVAMP,5,400,800,214,0.535,0.21703853955375255
DS-R1-7B,SVAMP,6,400,800,197,0.4925,0.19641076769690927
DS-R1-7B,SVAMP,7,400,800,186,0.465,0.1834319526627219
DS-R1-7B,SVAMP,8,400,800,189,0.4725,0.18694362017804153
DS-R1-7B,SVAMP,9,400,800,206,0.515,0.20724346076458752
Gemma-7B,AQuA,0,102,204,49,0.4803921568627451,0.19066147859922178
Gemma-7B,AQuA,1,102,204,46,0.45098039215686275,0.17692307692307693
Gemma-7B,AQuA,2,102,204,49,0.4803921568627451,0.19066147859922178
Gemma-7B,AQuA,3,102,204,49,0.4803921568627451,0.19066147859922178
Gemma-7B,AQuA,4,102,204,56,0.5490196078431373,0.224
Gemma-7B,AQuA,5,102,204,52,0.5098039215686274,0.2047244094488189
Gemma-7B,AQuA,6,102,204,51,0.5,0.2
Gemma-7B,AQuA,7,102,204,51,0.5,0.2
Gemma-7B,AQuA,8,102,204,49,0.4803921568627451,0.19066147859922178
Gemma-7B,AQuA,9,102,204,48,0.47058823529411764,0.18604651162790697
Gemma-7B,CommonsenseQA,0,489,977,251,0.5132924335378323,0.20658436213991768
Gemma-7B,CommonsenseQA,1,489,977,254,0.5194274028629857,0.20957095709570958
Gemma-7B,CommonsenseQA,2,489,977,253,0.5173824130879345,0.2085737840065952
Gemma-7B,CommonsenseQA,3,489,977,240,0.49079754601226994,0.19575856443719414
Gemma-7B,CommonsenseQA,4,489,977,237,0.48466257668711654,0.19283970707892595
Gemma-7B,CommonsenseQA,5,489,977,243,0.49693251533742333,0.19869174161896974
Gemma-7B,CommonsenseQA,6,489,977,242,0.4948875255623722,0.1977124183006536
Gemma-7B,CommonsenseQA,7,489,977,228,0.4662576687116564,0.1841680129240711
Gemma-7B,CommonsenseQA,8,489,977,248,0.5071574642126789,0.20361247947454844
Gemma-7B,CommonsenseQA,9,489,977,228,0.4662576687116564,0.1841680129240711
Gemma-7B,GPQA,0,180,359,83,0.46111111111111114,0.18201754385964913
Gemma-7B,GPQA,1,180,359,81,0.45,0.17685589519650655
Gemma-7B,GPQA,2,180,359,80,0.4444444444444444,0.17429193899782136
Gemma-7B,GPQA,3,180,359,81,0.45,0.17685589519650655
Gemma-7B,GPQA,4,180,359,91,0.5055555555555555,0.203125
Gemma-7B,GPQA,5,180,359,89,0.49444444444444446,0.19777777777777777
Gemma-7B,GPQA,6,180,359,85,0.4722222222222222,0.18722466960352424
Gemma-7B,GPQA,7,180,359,73,0.40555555555555556,0.15665236051502146
Gemma-7B,GPQA,8,180,359,87,0.48333333333333334,0.19247787610619468
Gemma-7B,GPQA,9,180,359,80,0.4444444444444444,0.17429193899782136
Gemma-7B,GSM8K,0,528,1056,267,0.5056818181818182,0.20273348519362186
Gemma-7B,GSM8K,1,528,1056,271,0.5132575757575758,0.2063975628332064
Gemma-7B,GSM8K,2,528,1056,268,0.5075757575757576,0.20364741641337386
Gemma-7B,GSM8K,3,528,1056,273,0.5170454545454546,0.20823798627002288
Gemma-7B,GSM8K,4,528,1056,254,0.4810606060606061,0.19097744360902255
Gemma-7B,GSM8K,5,528,1056,263,0.4981060606060606,0.19909159727479184
Gemma-7B,GSM8K,6,528,1056,259,0.49053030303030304,0.19547169811320755
Gemma-7B,GSM8K,7,528,1056,263,0.4981060606060606,0.19909159727479184
Gemma-7B,GSM8K,8,528,1056,250,0.4734848484848485,0.1874062968515742
Gemma-7B,GSM8K,9,528,1056,255,0.48295454545454547,0.19187358916478556
Gemma-7B,MATH500,0,200,400,88,0.44,0.171875
Gemma-7B,MATH500,1,200,400,103,0.515,0.20724346076458752
Gemma-7B,MATH500,2,200,400,92,0.46,0.18110236220472442
Gemma-7B,MATH500,3,200,400,97,0.485,0.19284294234592445
Gemma-7B,MATH500,4,200,400,96,0.48,0.19047619047619047
Gemma-7B,MATH500,5,200,400,98,0.49,0.1952191235059761
Gemma-7B,MATH500,6,200,400,94,0.47,0.1857707509881423
Gemma-7B,MATH500,7,200,400,103,0.515,0.20724346076458752
Gemma-7B,MATH500,8,200,400,97,0.485,0.19284294234592445
Gemma-7B,MATH500,9,200,400,90,0.45,0.17647058823529413
Gemma-7B,SVAMP,0,400,800,208,0.52,0.20967741935483872
Gemma-7B,SVAMP,1,400,800,183,0.4575,0.17994100294985252
Gemma-7B,SVAMP,2,400,800,204,0.51,0.20481927710843373
Gemma-7B,SVAMP,3,400,800,196,0.49,0.1952191235059761
Gemma-7B,SVAMP,4,400,800,200,0.5,0.2
Gemma-7B,SVAMP,5,400,800,189,0.4725,0.18694362017804153
Gemma-7B,SVAMP,6,400,800,204,0.51,0.20481927710843373
Gemma-7B,SVAMP,7,400,800,184,0.46,0.18110236220472442
Gemma-7B,SVAMP,8,400,800,191,0.4775,0.18929633300297324
Gemma-7B,SVAMP,9,400,800,183,0.4575,0.17994100294985252
LLaMA-3.1-8B,AQuA,0,102,204,50,0.49019607843137253,0.1953125
LLaMA-3.1-8B,AQuA,1,102,204,54,0.5294117647058824,0.21428571428571427
LLaMA-3.1-8B,AQuA,2,102,204,56,0.5490196078431373,0.224
LLaMA-3.1-8B,AQuA,3,102,204,48,0.47058823529411764,0.18604651162790697
LLaMA-3.1-8B,AQuA,4,102,204,57,0.5588235294117647,0.2289156626506024
LLaMA-3.1-8B,AQuA,5,102,204,46,0.45098039215686275,0.17692307692307693
LLaMA-3.1-8B,AQuA,6,102,204,49,0.4803921568627451,0.19066147859922178
LLaMA-3.1-8B,AQuA,7,102,204,48,0.47058823529411764,0.18604651162790697
LLaMA-3.1-8B,AQuA,8,102,204,51,0.5,0.2
LLaMA-3.1-8B,AQuA,9,102,204,45,0.4411764705882353,0.1724137931034483
LLaMA-3.1-8B,CommonsenseQA,0,489,977,228,0.4662576687116564,0.1841680129240711
LLaMA-3.1-8B,CommonsenseQA,1,489,977,234,0.4785276073619632,0.18993506493506493
LLaMA-3.1-8B,CommonsenseQA,2,489,977,250,0.5112474437627812,0.20559210526315788
LLaMA-3.1-8B,CommonsenseQA,3,489,977,230,0.4703476482617587,0.18608414239482202
LLaMA-3.1-8B,CommonsenseQA,4,489,977,230,0.4703476482617587,0.18608414239482202
LLaMA-3.1-8B,CommonsenseQA,5,489,977,245,0.5010224948875256,0.20065520065520065
LLaMA-3.1-8B,CommonsenseQA,6,489,977,240,0.49079754601226994,0.19575856443719414
LLaMA-3.1-8B,CommonsenseQA,7,489,977,262,0.5357873210633947,0.21760797342192692
LLaMA-3.1-8B,CommonsenseQA,8,489,977,232,0.47443762781186094,0.1880064829821718
LLaMA-3.1-8B,CommonsenseQA,9,489,977,228,0.4662576687116564,0.1841680129240711
LLaMA-3.1-8B,GPQA,0,180,359,87,0.48333333333333334,0.19247787610619468
LLaMA-3.1-8B,GPQA,1,180,359,93,0.5166666666666667,0.2085201793721973
LLaMA-3.1-8B,GPQA,2,180,359,77,0.42777777777777776,0.16666666666666666
LLaMA-3.1-8B,GPQA,3,180,359,83,0.46111111111111114,0.18201754385964913
LLaMA-3.1-8B,GPQA,4,180,359,82,0.45555555555555555,0.17943107221006566
LLaMA-3.1-8B,GPQA,5,180,359,89,0.49444444444444446,0.19777777777777777
LLaMA-3.1-8B,GPQA,6,180,359,76,0.4222222222222222,0.16414686825053995
LLaMA-3.1-8B,GPQA,7,180,359,91,0.5055555555555555,0.203125
LLaMA-3.1-8B,GPQA,8,180,359,78,0.43333333333333335,0.16919739696312364
LLaMA-3.1-8B,GPQA,9,180,359,89,0.49444444444444446,0.19777777777777777
LLaMA-3.1-8B,GSM8K,0,528,1056,260,0.49242424242424243,0.19637462235649547
LLaMA-3.1-8B,GSM8K,1,528,1056,258,0.48863636363636365,0.19457013574660634
LLaMA-3.1-8B,GSM8K,2,528,1056,274,0.5189393939393939,0.20916030534351146
LLaMA-3.1-8B,GSM8K,3,528,1056,233,0.4412878787878788,0.17246484085862324
LLaMA-3.1-8B,GSM8K,4,528,1056,240,0.45454545454545453,0.17857142857142858
LLaMA-3.1-8B,GSM8K,5,528,1056,241,0.4564393939393939,0.17944899478778853
LLaMA-3.1-8B,GSM8K,6,528,1056,263,0.4981060606060606,0.19909159727479184
LLaMA-3.1-8B,GSM8K,7,528,1056,260,0.49242424242424243,0.19637462235649547
LLaMA-3.1-8B,GSM8K,8,528,1056,269,0.509469696969697,0.20456273764258556
LLaMA-3.1-8B,GSM8K,9,528,1056,243,0.4602272727272727,0.18120805369127516
LLaMA-3.1-8B,MATH500,0,200,400,91,0.455,0.1787819253438114
LLaMA-3.1-8B,MATH500,1,200,400,94,0.47,0.1857707509881423
LLaMA-3.1-8B,MATH500,2,200,400,102,0.51,0.20481927710843373
LLaMA-3.1-8B,MATH500,3,200,400,96,0.48,0.19047619047619047
LLaMA-3.1-8B,MATH500,4,200,400,87,0.435,0.1695906432748538
LLaMA-3.1-8B,MATH500,5,200,400,90,0.45,0.17647058823529413
LLaMA-3.1-8B,MATH500,6,200,400,98,0.49,0.1952191235059761
LLaMA-3.1-8B,MATH500,7,200,400,92,0.46,0.18110236220472442
LLaMA-3.1-8B,MATH500,8,200,400,90,0.45,0.17647058823529413
LLaMA-3.1-8B,MATH500,9,200,400,95,0.475,0.18811881188118812
LLaMA-3.1-8B,SVAMP,0,400,800,200,0.5,0.2
LLaMA-3.1-8B,SVAMP,1,400,800,203,0.5075,0.20361083249749248
LLaMA-3.1-8B,SVAMP,2,400,800,187,0.4675,0.18460019743336623
LLaMA-3.1-8B,SVAMP,3,400,800,189,0.4725,0.18694362017804153
LLaMA-3.1-8B,SVAMP,4,400,800,183,0.4575,0.17994100294985252
LLaMA-3.1-8B,SVAMP,5,400,800,182,0.455,0.1787819253438114
LLaMA-3.1-8B,SVAMP,6,400,800,190,0.475,0.18811881188118812
LLaMA-3.1-8B,SVAMP,7,400,800,205,0.5125,0.20603015075376885
LLaMA-3.1-8B,SVAMP,8,400,800,203,0.5075,0.20361083249749248
LLaMA-3.1-8B,SVAMP,9,400,800,202,0.505,0.20240480961923848
Phi-4,AQuA,0,102,204,55,0.5392156862745098,0.21912350597609562
Phi-4,AQuA,1,102,204,43,0.4215686274509804,0.1634980988593156
Phi-4,AQuA,2,102,204,46,0.45098039215686275,0.17692307692307693
Phi-4,AQuA,3,102,204,47,0.46078431372549017,0.18146718146718147
Phi-4,AQuA,4,102,204,48,0.47058823529411764,0.18604651162790697
Phi-4,AQuA,5,102,204,45,0.4411764705882353,0.1724137931034483
Phi-4,AQuA,6,102,204,57,0.5588235294117647,0.2289156626506024
Phi-4,AQuA,7,102,204,50,0.49019607843137253,0.1953125
Phi-4,AQuA,8,102,204,49,0.4803921568627451,0.19066147859922178
Phi-4,AQuA,9,102,204,53,0.5196078431372549,0.20948616600790515
Phi-4,CommonsenseQA,0,489,977,244,0.49897750511247446,0.19967266775777415
Phi-4,CommonsenseQA,1,489,977,247,0.5051124744376279,0.2026251025430681
Phi-4,CommonsenseQA,2,489,977,221,0.45194274028629855,0.17751004016064256
Phi-4,CommonsenseQA,3,489,977,226,0.4621676891615542,0.18225806451612903
Phi-4,CommonsenseQA,4,489,977,234,0.4785276073619632,0.18993506493506493
Phi-4,CommonsenseQA,5,489,977,254,0.5194274028629857,0.20957095709570958
Phi-4,CommonsenseQA,6,489,977,247,0.5051124744376279,0.2026251025430681
Phi-4,CommonsenseQA,7,489,977,246,0.5030674846625767,0.20163934426229507
Phi-4,CommonsenseQA,8,489,977,238,0.4867075664621677,0.19381107491856678
Phi-4,CommonsenseQA,9,489,977,238,0.4867075664621677,0.19381107491856678
Phi-4,GPQA,0,180,359,104,0.5777777777777777,0.23908045977011494
Phi-4,GPQA,1,180,359,98,0.5444444444444444,0.2222222222222222
Phi-4,GPQA,2,180,359,88,0.4888888888888889,0.1951219512195122
Phi-4,GPQA,3,180,359,87,0.48333333333333334,0.19247787610619468
Phi-4,GPQA,4,180,359,89,0.49444444444444446,0.19777777777777777
Phi-4,GPQA,5,180,359,90,0.5,0.20044543429844097
Phi-4,GPQA,6,180,359,109,0.6055555555555555,0.2534883720930233
Phi-4,GPQA,7,180,359,93,0.5166666666666667,0.2085201793721973
Phi-4,GPQA,8,180,359,93,0.5166666666666667,0.2085201793721973
Phi-4,GPQA,9,180,359,85,0.4722222222222222,0.18722466960352424
Phi-4,GSM8K,0,528,1056,263,0.4981060606060606,0.19909159727479184
Phi-4,GSM8K,1,528,1056,260,0.49242424242424243,0.19637462235649547
Phi-4,GSM8K,2,528,1056,268,0.5075757575757576,0.20364741641337386
Phi-4,GSM8K,3,528,1056,240,0.45454545454545453,0.17857142857142858
Phi-4,GSM8K,4,528,1056,261,0.4943181818181818,0.19727891156462585
Phi-4,GSM8K,5,528,1056,269,0.509469696969697,0.20456273764258556
Phi-4,GSM8K,6,528,1056,276,0.5227272727272727,0.21100917431192662
Phi-4,GSM8K,7,528,1056,268,0.5075757575757576,0.20364741641337386
Phi-4,GSM8K,8,528,1056,257,0.48674242424242425,0.19366993217784476
Phi-4,GSM8K,9,528,1056,261,0.4943181818181818,0.19727891156462585
Phi-4,MATH500,0,200,400,101,0.505,0.20240480961923848
Phi-4,MATH500,1,200,400,90,0.45,0.17647058823529413
Phi-4,MATH500,2,200,400,97,0.485,0.19284294234592445
Phi-4,MATH500,3,200,400,116,0.58,0.2396694214876033
Phi-4,MATH500,4,200,400,90,0.45,0.17647058823529413
Phi-4,MATH500,5,200,400,100,0.5,0.2
Phi-4,MATH500,6,200,400,110,0.55,0.22448979591836735
Phi-4,MATH500,7,200,400,97,0.485,0.19284294234592445
Phi-4,MATH500,8,200,400,97,0.485,0.19284294234592445
Phi-4,MATH500,9,200,400,91,0.455,0.1787819253438114
Phi-4,SVAMP,0,400,800,169,0.4225,0.16391852570320078
Phi-4,SVAMP,1,400,800,191,0.4775,0.18929633300297324
Phi-4,SVAMP,2,400,800,199,0.4975,0.19880119880119881
Phi-4,SVAMP,3,400,800,202,0.505,0.20240480961923848
Phi-4,SVAMP,4,400,800,180,0.45,0.17647058823529413
Phi-4,SVAMP,5,400,800,210,0.525,0.21212121212121213
Phi-4,SVAMP,6,400,800,207,0.5175,0.2084592145015106
Phi-4,SVAMP,7,400,800,203,0.5075,0.20361083249749248
Phi-4,SVAMP,8,400,800,200,0.5,0.2
Phi-4,SVAMP,9,400,800,184,0.46,0.18110236220472442
Phi-4-Reas.,AQuA,0,102,204,53,0.5196078431372549,0.20948616600790515
Phi-4-Reas.,AQuA,1,102,204,46,0.45098039215686275,0.17692307692307693
Phi-4-Reas.,AQuA,2,102,204,46,0.45098039215686275,0.17692307692307693
Phi-4-Reas.,AQuA,3,102,204,51,0.5,0.2
Phi-4-Reas.,AQuA,4,102,204,47,0.46078431372549017,0.18146718146718147
Phi-4-Reas.,AQuA,5,102,204,48,0.47058823529411764,0.18604651162790697
Phi-4-Reas.,AQuA,6,102,204,55,0.5392156862745098,0.21912350597609562
Phi-4-Reas.,AQuA,7,102,204,36,0.35294117647058826,0.13333333333333333
Phi-4-Reas.,AQuA,8,102,204,50,0.49019607843137253,0.1953125
Phi-4-Reas.,AQuA,9,102,204,56,0.5490196078431373,0.224
Phi-4-Reas.,CommonsenseQA,0,489,977,257,0.5255623721881391,0.21257237386269645
Phi-4-Reas.,CommonsenseQA,1,489,977,217,0.4437627811860941,0.17373899119295436
Phi-4-Reas.,CommonsenseQA,2,489,977,232,0.47443762781186094,0.1880064829821718
Phi-4-Reas.,CommonsenseQA,3,489,977,247,0.5051124744376279,0.2026251025430681
Phi-4-Reas.,CommonsenseQA,4,489,977,241,0.49284253578732107,0.19673469387755102
Phi-4-Reas.,CommonsenseQA,5,489,977,238,0.4867075664621677,0.19381107491856678
Phi-4-Reas.,CommonsenseQA,6,489,977,252,0.5153374233128835,0.20757825370675453
Phi-4-Reas.,CommonsenseQA,7,489,977,247,0.5051124744376279,0.2026251025430681
Phi-4-Reas.,CommonsenseQA,8,489,977,240,0.49079754601226994,0.19575856443719414
Phi-4-Reas.,CommonsenseQA,9,489,977,233,0.47648261758691207,0.18896999188969993
Phi-4-Reas.,GPQA,0,180,359,95,0.5277777777777778,0.21396396396396397
Phi-4-Reas.,GPQA,1,180,359,85,0.4722222222222222,0.18722466960352424
Phi-4-Reas.,GPQA,2,180,359,75,0.4166666666666667,0.16163793103448276
Phi-4-Reas.,GPQA,3,180,359,95,0.5277777777777778,0.21396396396396397
Phi-4-Reas.,GPQA,4,180,359,74,0.4111111111111111,0.15913978494623657
Phi-4-Reas.,GPQA,5,180,359,90,0.5,0.20044543429844097
Phi-4-Reas.,GPQA,6,180,359,74,0.4111111111111111,0.15913978494623657
Phi-4-Reas.,GPQA,7,180,359,80,0.4444444444444444,0.17429193899782136
Phi-4-Reas.,GPQA,8,180,359,88,0.4888888888888889,0.1951219512195122
Phi-4-Reas.,GPQA,9,180,359,82,0.45555555555555555,0.17943107221006566
Phi-4-Reas.,GSM8K,0,528,1056,272,0.5151515151515151,0.2073170731707317
Phi-4-Reas.,GSM8K,1,528,1056,254,0.4810606060606061,0.19097744360902255
Phi-4-Reas.,GSM8K,2,528,1056,246,0.4659090909090909,0.18385650224215247
Phi-4-Reas.,GSM8K,3,528,1056,249,0.4715909090909091,0.18651685393258427
Phi-4-Reas.,GSM8K,4,528,1056,275,0.5208333333333334,0.21008403361344538
Phi-4-Reas.,GSM8K,5,528,1056,249,0.4715909090909091,0.18651685393258427
Phi-4-Reas.,GSM8K,6,528,1056,252,0.4772727272727273,0.1891891891891892
Phi-4-Reas.,GSM8K,7,528,1056,268,0.5075757575757576,0.20364741641337386
Phi-4-Reas.,GSM8K,8,528,1056,272,0.5151515151515151,0.2073170731707317
Phi-4-Reas.,GSM8K,9,528,1056,262,0.4962121212121212,0.19818456883509833
Phi-4-Reas.,MATH500,0,200,400,100,0.5,0.2
Phi-4-Reas.,MATH500,1,200,400,118,0.59,0.24481327800829875
Phi-4-Reas.,MATH500,2,200,400,91,0.455,0.1787819253438114
Phi-4-Reas.,MATH500,3,200,400,109,0.545,0.2219959266802444
Phi-4-Reas.,MATH500,4,200,400,93,0.465,0.1834319526627219
Phi-4-Reas.,MATH500,5,200,400,103,0.515,0.20724346076458752
Phi-4-Reas.,MATH500,6,200,400,107,0.535,0.21703853955375255
Phi-4-Reas.,MATH500,7,200,400,106,0.53,0.2145748987854251
Phi-4-Reas.,MATH500,8,200,400,103,0.515,0.20724346076458752
