benchmark,model_a,model_b,trace0_a,trace0_b,frs_a,frs_b,pass1_a,pass1_b,trace0_winner,frs_winner,pass1_winner,trace0_gap_pp,frs_gap_pp,pass1_gap_pp,reversal_strength,pass1_agrees_trace0,narrative,lobo_frs_diff_pp,lobo_trace0_diff_pp,lobo_frs_agrees_heldout_frs,lobo_trace0_agrees_heldout_trace0,lobo_frs_agrees_heldout_frs_winner,lobo_trace0_agrees_heldout_trace0_winner
CSQA,Phi-4,Qwen2.5-Math,59.375,64.125,77.2,70.6,21.5,45.9,Qwen2.5-Math,Phi-4,Qwen2.5-Math,4.75,6.6000000000000085,24.4,4.75,True,"On CSQA: trace-0 ranks Qwen2.5-Math > Phi-4 (59.4 vs 64.1), but FRS ranks Phi-4 > Qwen2.5-Math (77.2 vs 70.6)",-0.8000000000000114,-13.725000000000001,False,True,False,True
GPQA,LLaMA-3.1-8B,Qwen2.5-7B,42.125,35.5,50.5,55.1,38.4,35.9,LLaMA-3.1-8B,Qwen2.5-7B,LLaMA-3.1-8B,6.625,4.600000000000001,2.5,4.600000000000001,True,"On GPQA: trace-0 ranks LLaMA-3.1-8B > Qwen2.5-7B (42.1 vs 35.5), but FRS ranks Qwen2.5-7B > LLaMA-3.1-8B (50.5 vs 55.1)",-5.0,-3.8999999999999915,True,False,True,False
GPQA,DS-R1-1.5B,DS-R1-7B,47.0,42.5,56.6,62.9,37.9,46.2,DS-R1-1.5B,DS-R1-7B,DS-R1-7B,4.5,6.299999999999997,8.300000000000004,4.5,False,"On GPQA: trace-0 ranks DS-R1-1.5B > DS-R1-7B (47.0 vs 42.5), but FRS ranks DS-R1-7B > DS-R1-1.5B (56.6 vs 62.9)",-9.040000000000006,-5.775000000000006,True,False,True,False
MATH500,DS-R1-1.5B,Phi-4-Reas.,68.75,75.125,84.5,80.0,43.2,74.6,Phi-4-Reas.,DS-R1-1.5B,Phi-4-Reas.,6.375,4.5,31.39999999999999,4.5,True,"On MATH500: trace-0 ranks Phi-4-Reas. > DS-R1-1.5B (68.8 vs 75.1), but FRS ranks DS-R1-1.5B > Phi-4-Reas. (84.5 vs 80.0)",11.320000000000007,-7.875,True,True,True,True
AQuA,DS-R1-7B,Phi-4,64.875,69.375,96.8,78.5,69.3,77.6,Phi-4,DS-R1-7B,Phi-4,4.5,18.299999999999997,8.299999999999997,4.5,True,"On AQuA: trace-0 ranks Phi-4 > DS-R1-7B (64.9 vs 69.4), but FRS ranks DS-R1-7B > Phi-4 (96.8 vs 78.5)",13.399999999999991,7.749999999999993,True,False,True,False
GPQA,Phi-4,Qwen2.5-7B,39.875,35.5,48.4,55.1,29.7,35.9,Phi-4,Qwen2.5-7B,Qwen2.5-7B,4.375,6.700000000000003,6.199999999999999,4.375,False,"On GPQA: trace-0 ranks Phi-4 > Qwen2.5-7B (39.9 vs 35.5), but FRS ranks Qwen2.5-7B > Phi-4 (48.4 vs 55.1)",8.740000000000009,-5.299999999999997,False,False,False,False
GSM8K,DS-R1-1.5B,Qwen2.5-Math,80.5,88.125,95.1,90.8,60.1,84.55,Qwen2.5-Math,DS-R1-1.5B,Qwen2.5-Math,7.625,4.299999999999997,24.449999999999996,4.299999999999997,True,"On GSM8K: trace-0 ranks Qwen2.5-Math > DS-R1-1.5B (80.5 vs 88.1), but FRS ranks DS-R1-1.5B > Qwen2.5-Math (95.1 vs 90.8)",6.420000000000002,-11.175000000000004,True,True,True,True
CSQA,DS-R1-7B,Qwen3-4B,60.0,71.875,79.2,75.0,47.3,69.5,Qwen3-4B,DS-R1-7B,Qwen3-4B,11.875,4.200000000000003,22.200000000000003,4.200000000000003,True,"On CSQA: trace-0 ranks Qwen3-4B > DS-R1-7B (60.0 vs 71.9), but FRS ranks DS-R1-7B > Qwen3-4B (79.2 vs 75.0)",13.780000000000015,0.2750000000000057,True,False,True,False
CSQA,DS-R1-7B,Qwen2.5-Math,60.0,64.125,79.2,70.6,47.3,45.9,Qwen2.5-Math,DS-R1-7B,DS-R1-7B,4.125,8.600000000000009,1.3999999999999986,4.125,False,"On CSQA: trace-0 ranks Qwen2.5-Math > DS-R1-7B (60.0 vs 64.1), but FRS ranks DS-R1-7B > Qwen2.5-Math (79.2 vs 70.6)",15.86,-7.0,True,True,True,True
GPQA,DS-R1-7B,Qwen3-4B,42.5,50.0,62.9,58.8,46.2,60.5,Qwen3-4B,DS-R1-7B,Qwen3-4B,7.5,4.100000000000001,14.299999999999997,4.100000000000001,True,"On GPQA: trace-0 ranks Qwen3-4B > DS-R1-7B (42.5 vs 50.0), but FRS ranks DS-R1-7B > Qwen3-4B (62.9 vs 58.8)",13.799999999999997,-0.5999999999999943,True,True,True,True
AQuA,Phi-4,Qwen2.5-Math,69.375,74.0,78.5,74.9,77.6,29.1,Qwen2.5-Math,Phi-4,Phi-4,4.625,3.5999999999999943,48.49999999999999,3.5999999999999943,False,"On AQuA: trace-0 ranks Qwen2.5-Math > Phi-4 (69.4 vs 74.0), but FRS ranks Phi-4 > Qwen2.5-Math (78.5 vs 74.9)",-0.19999999999998863,-13.749999999999993,False,True,False,True
AQuA,Qwen2.5-Math,Qwen3-4B,74.0,65.375,74.9,78.5,29.1,57.5,Qwen2.5-Math,Qwen3-4B,Qwen3-4B,8.625,3.5999999999999943,28.4,3.5999999999999943,False,"On AQuA: trace-0 ranks Qwen2.5-Math > Qwen3-4B (74.0 vs 65.4), but FRS ranks Qwen3-4B > Qwen2.5-Math (74.9 vs 78.5)",-2.240000000000009,4.0,True,True,True,True
GPQA,Phi-4-Reas.,Qwen3-4B,42.125,50.0,62.3,58.8,44.0,60.5,Qwen3-4B,Phi-4-Reas.,Qwen3-4B,7.875,3.5,16.5,3.5,True,"On GPQA: trace-0 ranks Qwen3-4B > Phi-4-Reas. (42.1 vs 50.0), but FRS ranks Phi-4-Reas. > Qwen3-4B (62.3 vs 58.8)",-8.600000000000009,3.75,False,False,False,False
GSM8K,DS-R1-7B,Phi-4-Reas.,80.125,83.5,98.9,84.5,91.5,95.4,Phi-4-Reas.,DS-R1-7B,Phi-4-Reas.,3.375,14.400000000000006,3.9000000000000057,3.375,True,"On GSM8K: trace-0 ranks Phi-4-Reas. > DS-R1-7B (80.1 vs 83.5), but FRS ranks DS-R1-7B > Phi-4-Reas. (98.9 vs 84.5)",19.64,-3.6000000000000085,True,True,True,True
GPQA,Qwen2.5-Math,Qwen3-4B,53.37499999999999,50.0,54.6,58.8,24.3,60.5,Qwen2.5-Math,Qwen3-4B,Qwen3-4B,3.374999999999993,4.199999999999996,36.2,3.374999999999993,False,"On GPQA: trace-0 ranks Qwen2.5-Math > Qwen3-4B (53.4 vs 50.0), but FRS ranks Qwen3-4B > Qwen2.5-Math (54.6 vs 58.8)",-2.1200000000000045,5.049999999999997,True,True,True,True
GSM8K,DS-R1-1.5B,Phi-4-Reas.,80.5,83.5,95.1,84.5,60.1,95.4,Phi-4-Reas.,DS-R1-1.5B,Phi-4-Reas.,3.0,10.599999999999994,35.300000000000004,3.0,True,"On GSM8K: trace-0 ranks Phi-4-Reas. > DS-R1-1.5B (80.5 vs 83.5), but FRS ranks DS-R1-1.5B > Phi-4-Reas. (95.1 vs 84.5)",10.100000000000009,-8.550000000000004,True,True,True,True
CSQA,Qwen2.5-7B,Qwen3-4B,74.375,71.875,70.1,75.0,81.8,69.5,Qwen2.5-7B,Qwen3-4B,Qwen2.5-7B,2.5,4.900000000000006,12.299999999999997,2.5,True,"On CSQA: trace-0 ranks Qwen2.5-7B > Qwen3-4B (74.4 vs 71.9), but FRS ranks Qwen3-4B > Qwen2.5-7B (70.1 vs 75.0)",-8.86,-5.0249999999999915,True,False,True,False
MATH500,Phi-4-Reas.,Qwen2.5-Math,75.125,78.5,80.0,77.5,74.6,63.6,Qwen2.5-Math,Phi-4-Reas.,Phi-4-Reas.,3.375,2.5,10.999999999999993,2.5,False,"On MATH500: trace-0 ranks Qwen2.5-Math > Phi-4-Reas. (75.1 vs 78.5), but FRS ranks Phi-4-Reas. > Qwen2.5-Math (80.0 vs 77.5)",-5.439999999999998,-2.875,False,True,False,True
AQuA,DS-R1-7B,Phi-4-Reas.,64.875,67.375,96.8,83.2,69.3,68.1,Phi-4-Reas.,DS-R1-7B,DS-R1-7B,2.5,13.599999999999994,1.2000000000000028,2.5,False,"On AQuA: trace-0 ranks Phi-4-Reas. > DS-R1-7B (64.9 vs 67.4), but FRS ranks DS-R1-7B > Phi-4-Reas. (96.8 vs 83.2)",19.799999999999997,-3.7750000000000057,True,True,True,True
GSM8K,DS-R1-7B,Qwen3-4B,80.125,82.5,98.9,90.9,91.5,72.2,Qwen3-4B,DS-R1-7B,DS-R1-7B,2.375,8.0,19.299999999999997,2.375,False,"On GSM8K: trace-0 ranks Qwen3-4B > DS-R1-7B (80.1 vs 82.5), but FRS ranks DS-R1-7B > Qwen3-4B (98.9 vs 90.9)",13.019999999999996,-1.625,True,True,True,True
AQuA,Qwen2.5-7B,Qwen2.5-Math,61.875,74.0,77.2,74.9,78.3,29.1,Qwen2.5-Math,Qwen2.5-7B,Qwen2.5-7B,12.125,2.299999999999997,49.199999999999996,2.299999999999997,False,"On AQuA: trace-0 ranks Qwen2.5-Math > Qwen2.5-7B (61.9 vs 74.0), but FRS ranks Qwen2.5-7B > Qwen2.5-Math (77.2 vs 74.9)",-7.340000000000003,-7.824999999999989,False,True,False,True
CSQA,Phi-4,Qwen3-4B,59.375,71.875,77.2,75.0,21.5,69.5,Qwen3-4B,Phi-4,Qwen3-4B,12.5,2.200000000000003,48.0,2.200000000000003,True,"On CSQA: trace-0 ranks Qwen3-4B > Phi-4 (59.4 vs 71.9), but FRS ranks Phi-4 > Qwen3-4B (77.2 vs 75.0)",-2.8799999999999955,-6.449999999999996,False,True,False,True
GPQA,DS-R1-1.5B,Qwen2.5-Math,47.0,53.37499999999999,56.6,54.6,37.9,24.3,Qwen2.5-Math,DS-R1-1.5B,DS-R1-1.5B,6.374999999999993,2.0,13.599999999999998,2.0,False,"On GPQA: trace-0 ranks Qwen2.5-Math > DS-R1-1.5B (47.0 vs 53.4), but FRS ranks DS-R1-1.5B > Qwen2.5-Math (56.6 vs 54.6)",6.8799999999999955,-11.424999999999997,True,True,True,True
GSM8K,DS-R1-1.5B,Qwen3-4B,80.5,82.5,95.1,90.9,60.1,72.2,Qwen3-4B,DS-R1-1.5B,Qwen3-4B,2.0,4.199999999999989,12.100000000000001,2.0,True,"On GSM8K: trace-0 ranks Qwen3-4B > DS-R1-1.5B (80.5 vs 82.5), but FRS ranks DS-R1-1.5B > Qwen3-4B (95.1 vs 90.9)",3.480000000000004,-6.574999999999996,True,True,True,True
MATH500,DS-R1-7B,Qwen3-4B,68.5,70.5,94.0,63.5,63.6,49.8,Qwen3-4B,DS-R1-7B,DS-R1-7B,2.0,30.5,13.800000000000004,2.0,False,"On MATH500: trace-0 ranks Qwen3-4B > DS-R1-7B (68.5 vs 70.5), but FRS ranks DS-R1-7B > Qwen3-4B (94.0 vs 63.5)",8.519999999999996,-1.7000000000000028,True,True,True,True
AQuA,Phi-4,Phi-4-Reas.,69.375,67.375,78.5,83.2,77.6,68.1,Phi-4,Phi-4-Reas.,Phi-4,2.0,4.700000000000003,9.5,2.0,True,"On AQuA: trace-0 ranks Phi-4 > Phi-4-Reas. (69.4 vs 67.4), but FRS ranks Phi-4-Reas. > Phi-4 (78.5 vs 83.2)",6.400000000000006,-11.524999999999999,False,False,False,False
