model,benchmark,question_idx,trace_idx,bin_label,confidence,correct,faithfulness,utility,coherence,factuality,reasoning_score,judge_ok,source_file
DS-R1-1.5B,AQuA,178,6,0-10,0.2623106251233592,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,138,7,0-10,0.2623141270130286,True,4,4,4,5,0.8125,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,212,15,0-10,0.2671196629541461,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,42,11,0-10,0.26720745050701145,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,4,4,0-10,0.2600736151230799,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,129,10,0-10,0.26038543037429457,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,7,15,0-10,0.25571902391138734,False,2,2,3,3,0.375,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,91,10,0-10,0.25844108066613924,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,206,9,0-10,0.2595785737125158,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,156,3,0-10,0.2582306015059507,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,179,14,0-10,0.2520182748328166,False,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,126,11,0-10,0.25707641426798034,True,4,4,4,4,0.75,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,125,6,0-10,0.2558906642235637,False,3,3,3,3,0.5,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,175,2,0-10,0.2511560923184402,True,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,12,0,10-20,0.24288980674290397,False,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,186,14,0-10,0.24971786472600782,True,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,148,9,10-20,0.24387533248324686,True,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,48,10,0-10,0.24952779817367945,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,130,5,10-20,0.24296485756638167,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,100,11,10-20,0.24639842065378603,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,121,13,10-20,0.24712149771249833,True,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,239,0,10-20,0.2443390715639542,False,4,4,4,5,0.8125,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,174,4,10-20,0.24171417006896276,True,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,164,11,10-20,0.24003584852887774,False,3,4,4,4,0.6875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,4,9,10-20,0.2383022428452514,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,124,7,10-20,0.23934888562068735,False,3,4,4,4,0.6875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,149,8,10-20,0.23517013432145076,False,2,2,2,2,0.25,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,194,5,10-20,0.23436641325009655,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,27,14,10-20,0.23573931040491763,True,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,96,0,10-20,0.2330848980224065,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,126,3,10-20,0.2320837725185614,True,4,4,4,5,0.8125,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,245,6,10-20,0.23215764334839392,False,3,4,4,4,0.6875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,240,12,10-20,0.22766510769972637,True,4,4,3,5,0.75,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,92,2,10-20,0.23064374568336912,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,9,3,10-20,0.22783555637424738,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,134,1,10-20,0.22576175245464875,False,3,4,4,3,0.625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,1,12,10-20,0.22670197587580926,True,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,27,0,10-20,0.22693117607666113,False,3,4,3,5,0.6875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,141,3,10-20,0.22502090923846751,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,149,11,10-20,0.2236302330959082,True,3,3,3,4,0.5625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,197,12,10-20,0.22445160253988172,False,3,4,4,4,0.6875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,125,14,10-20,0.21933566510634556,True,3,3,3,4,0.5625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,62,6,10-20,0.22333877166062294,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,239,7,10-20,0.21810043840854412,False,4,4,4,5,0.8125,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,118,12,10-20,0.2206429798596409,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,70,12,10-20,0.2200049744677836,False,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,40,15,10-20,0.2158908522871816,False,4,4,4,5,0.8125,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,4,8,10-20,0.21607596047650077,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,195,1,10-20,0.21575625523888542,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,122,1,10-20,0.21052788911918147,True,3,4,3,4,0.625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,189,14,10-20,0.21490689689624654,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,229,3,10-20,0.2105148396498364,False,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,116,6,10-20,0.20928805860460842,False,2,2,2,3,0.3125,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,105,15,10-20,0.21214874980188272,True,4,4,3,5,0.75,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,203,3,10-20,0.2089837341323567,True,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,133,1,10-20,0.2092049249174145,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,182,8,10-20,0.2089324710625579,False,2,2,3,3,0.375,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,73,4,10-20,0.20494654771308854,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,233,14,10-20,0.20462553904525219,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,30,15,10-20,0.20403073413039183,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,226,4,10-20,0.20385395898247127,True,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,100,15,10-20,0.20458554222121633,True,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,129,0,10-20,0.2015966683494861,True,4,4,3,5,0.75,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,116,14,10-20,0.20382705384030175,False,2,2,3,3,0.375,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,240,2,10-20,0.20307216860761165,False,3,3,3,4,0.5625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,203,15,10-20,0.20305760035365633,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,161,5,20-30,0.20108208427154103,True,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,44,14,20-30,0.19986644114406296,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,200,7,20-30,0.19976996402981426,True,4,4,4,5,0.8125,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,233,1,20-30,0.1981170344882983,True,4,4,4,5,0.8125,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,161,14,20-30,0.1982669651421264,True,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,119,10,20-30,0.19715919022115883,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,121,12,20-30,0.19962762145101892,False,3,4,4,5,0.75,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,236,8,20-30,0.19935271830818194,True,3,4,3,4,0.625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,23,14,20-30,0.19765369052206092,True,3,4,3,4,0.625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,42,10,20-30,0.19529052051530174,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,130,3,20-30,0.19589902773196743,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,243,1,20-30,0.19465401841183044,False,3,3,3,4,0.5625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,50,0,20-30,0.19449226893219837,False,2,2,2,2,0.25,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,243,13,20-30,0.19580442139669768,True,4,4,4,5,0.8125,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,63,12,20-30,0.19447219308277916,False,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,206,4,20-30,0.19383955504387154,False,3,4,3,5,0.6875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,249,9,20-30,0.1935622865012128,True,5,5,4,5,0.9375,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,4,12,20-30,0.19257926018893695,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,119,11,20-30,0.19138553986655377,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,11,9,20-30,0.19215868128505867,True,5,5,4,5,0.9375,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,149,1,20-30,0.18925192140899158,True,3,3,3,4,0.5625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,126,0,20-30,0.19138593405397775,True,4,4,3,5,0.75,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,183,4,20-30,0.19071334186550695,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,147,13,20-30,0.18900448207763698,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,234,0,20-30,0.1894874286443394,True,3,3,3,4,0.5625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,219,6,20-30,0.1881411740801777,False,3,4,3,4,0.625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,116,1,20-30,0.18793962643390177,False,2,2,2,3,0.3125,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,23,4,20-30,0.1884121562453197,True,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,155,11,20-30,0.18737581661097463,False,3,3,3,4,0.5625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,144,10,20-30,0.18635637499807775,False,4,4,4,5,0.8125,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,230,1,20-30,0.1863467728399879,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,4,6,20-30,0.18552804285114707,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,183,15,20-30,0.1860018167207276,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,214,2,20-30,0.184966283848073,False,2,2,2,3,0.3125,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,34,14,20-30,0.1846706820216519,False,3,4,3,5,0.6875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,236,0,20-30,0.18494350038798466,True,3,3,3,4,0.5625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,34,8,20-30,0.18333141787438723,True,4,4,4,5,0.8125,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,71,0,20-30,0.18320021382352303,False,3,4,3,5,0.6875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,150,0,20-30,0.18313587937356612,False,3,3,3,4,0.5625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,114,10,20-30,0.18113926607331676,False,2,2,2,3,0.3125,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,52,12,20-30,0.1820668972879549,False,4,4,3,5,0.75,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,145,12,20-30,0.17976012641131964,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,37,5,20-30,0.17930322764722237,False,3,4,3,4,0.625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,58,13,20-30,0.18148920600804924,True,3,4,3,5,0.6875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,30,7,20-30,0.17929606647950924,False,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,41,14,20-30,0.1790875780375234,False,3,3,3,4,0.5625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,206,6,20-30,0.1790589100277386,False,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,82,13,20-30,0.1785596307903148,False,2,3,2,2,0.3125,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,37,9,20-30,0.17816911581802433,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,203,7,20-30,0.1781675668422367,True,4,4,3,5,0.75,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,248,13,30-40,0.17751429241175248,True,4,4,4,5,0.8125,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,121,15,30-40,0.17665637872584622,False,3,4,4,5,0.75,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,250,9,30-40,0.17619398812894396,False,2,2,2,2,0.25,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,43,3,30-40,0.17733948441267322,True,3,3,3,4,0.5625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,80,11,30-40,0.17531099030614916,False,3,3,3,4,0.5625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,252,12,30-40,0.17541172930848134,False,3,4,3,4,0.625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,88,3,30-40,0.17489692793196943,False,3,3,3,4,0.5625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,203,9,30-40,0.17488539181880255,True,3,3,3,5,0.625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,82,0,30-40,0.17481502854515676,True,3,3,3,3,0.5,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,43,9,30-40,0.17448154565743415,False,2,2,2,2,0.25,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,114,12,30-40,0.17433920392962676,True,3,3,3,4,0.5625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,218,2,30-40,0.17328410880949094,False,3,3,3,4,0.5625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,32,10,30-40,0.17410127234485934,False,2,2,2,2,0.25,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,11,8,30-40,0.17136758703555008,False,3,4,3,5,0.6875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,213,0,30-40,0.17299831039948985,True,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,216,5,30-40,0.17226528391722654,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,20,4,30-40,0.17186267275886843,False,2,2,2,2,0.25,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,18,5,30-40,0.17159463528252272,False,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,91,6,30-40,0.17021132156804694,True,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,240,8,30-40,0.17063725901425147,False,3,3,3,4,0.5625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,163,9,30-40,0.16972764757157874,True,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,237,7,30-40,0.1706838249184901,False,2,2,2,3,0.3125,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,69,13,30-40,0.1698120421070168,False,2,2,3,3,0.375,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,114,11,30-40,0.16915692333771667,False,2,2,2,3,0.3125,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,220,11,30-40,0.1706207715987144,False,4,4,3,5,0.75,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,83,10,30-40,0.16928144361366496,True,4,4,3,5,0.75,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,250,6,30-40,0.16664254392617844,False,2,2,2,3,0.3125,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,38,0,30-40,0.16763225601054393,False,3,4,3,5,0.6875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,182,9,30-40,0.168671994536249,True,3,3,3,4,0.5625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,217,11,30-40,0.1679318917326776,False,3,3,3,4,0.5625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,248,12,30-40,0.16719151128126347,True,3,3,3,4,0.5625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,170,12,30-40,0.16708447528964826,True,4,4,3,5,0.75,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,126,7,30-40,0.16674041334992523,False,3,3,2,4,0.5,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,3,11,30-40,0.16651809259691228,False,3,3,3,4,0.5625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,149,6,30-40,0.1658722793700028,False,2,2,2,3,0.3125,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,203,5,30-40,0.16636014897313212,False,3,3,3,4,0.5625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,76,3,30-40,0.1655775348530537,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,150,1,30-40,0.16577108607123545,True,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,236,2,30-40,0.1645874443469435,False,2,3,3,3,0.4375,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,87,3,30-40,0.16558184391471897,False,3,4,3,5,0.6875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,134,14,30-40,0.16519017675340658,True,3,4,3,4,0.625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,23,13,30-40,0.1639020602811197,True,4,4,4,5,0.8125,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,65,5,30-40,0.16380461985313102,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,161,2,30-40,0.16428368676570765,True,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,35,7,30-40,0.1636923380147538,True,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,127,6,30-40,0.16388339625629464,True,4,4,3,5,0.75,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,83,6,30-40,0.16301298576801695,True,4,4,4,5,0.8125,True,judged_DS-R1-1.5B__AQuA.json
