model,benchmark,dataset,n_sampled,n_judged_ok,n_judge_fail,cache_hits,new_judge_calls,mean_reasoning_score_0_1,mean_reasoning_score_pct,std_reasoning_score_0_1,jsonl_path,checkpoint_path
DS-R1-7B,MATH500,MATH500,50,50,0,0,50,0.685,68.5,0.3233967519683422,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_7B/math500__test_custom_custom_-1_seed42_t0.7_s0_e-1/math500__test_custom_custom_-1_seed42_t0.7_s0_e-1.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_DS-R1-7B__MATH500.json
DS-R1-7B,SVAMP,SVAMP,50,50,0,0,50,0.9125,91.25,0.20516295166207243,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_7B/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_6ed5b75a-8fc3-4275-bd40-cd1c17a47eba_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_6ed5b75a-8fc3-4275-bd40-cd1c17a47eba_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_DS-R1-7B__SVAMP.json
Gemma-7B,AQuA,AQuA,50,50,0,0,50,0.465,46.5,0.2687959737611486,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/gemma_7b/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_bd56842f-fc4d-452d-9a35-3cf0a3ddfaf9/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_bd56842f-fc4d-452d-9a35-3cf0a3ddfaf9.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Gemma-7B__AQuA.json
Gemma-7B,CSQA,CommonsenseQA,50,50,0,0,50,0.39125,39.125,0.25499162151101423,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/gemma_7b/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_9f780cde-c3a4-4b02-8fc0-562f7bb37bec_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_9f780cde-c3a4-4b02-8fc0-562f7bb37bec_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Gemma-7B__CommonsenseQA.json
Gemma-7B,GPQA,GPQA,50,50,0,0,50,0.355,35.5,0.16339041762425535,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/gemma_7b/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6209e00b-f801-4245-a20d-6b37d8addc6a_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6209e00b-f801-4245-a20d-6b37d8addc6a_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Gemma-7B__GPQA.json
Gemma-7B,GSM8K,GSM8K,50,50,0,0,50,0.495,49.5,0.2684042032579419,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/gemma_7b/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_7e377118-9bc4-4b39-91f3-80a9f16f7d17_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_7e377118-9bc4-4b39-91f3-80a9f16f7d17_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Gemma-7B__GSM8K.json
Gemma-7B,MATH500,MATH500,50,50,0,0,50,0.4175,41.75,0.22247735495862891,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/gemma_7b/math500__test_math500_-1_seed42_t0.7_s0_e-1_bd430c2c-e789-45b4-84c5-8a328c0a23ed_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_bd430c2c-e789-45b4-84c5-8a328c0a23ed_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Gemma-7B__MATH500.json
Gemma-7B,SVAMP,SVAMP,50,50,0,0,50,0.66375,66.375,0.2780472403336218,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/gemma_7b/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_5bde6301-7dbe-4b50-acc1-4e917f1e1b87_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_5bde6301-7dbe-4b50-acc1-4e917f1e1b87_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Gemma-7B__SVAMP.json
LLaMA-3.1-8B,AQuA,AQuA,50,50,0,0,50,0.60125,60.12499999999999,0.31259947396380716,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_8874434d-5e4f-4f6e-9ead-8800e058ffc9/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_8874434d-5e4f-4f6e-9ead-8800e058ffc9.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_LLaMA-3_1-8B__AQuA.json
LLaMA-3.1-8B,CSQA,CommonsenseQA,50,50,0,0,50,0.655,65.5,0.3009974913448921,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_4a6d4a5d-a682-47ab-9f4d-5e23bbfb767c_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_4a6d4a5d-a682-47ab-9f4d-5e23bbfb767c_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_LLaMA-3_1-8B__CommonsenseQA.json
LLaMA-3.1-8B,GPQA,GPQA,50,50,0,0,50,0.42125,42.125,0.20855812702203377,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_f0740bfe-4ab3-483f-8968-0dda699f86a5_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_f0740bfe-4ab3-483f-8968-0dda699f86a5_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_LLaMA-3_1-8B__GPQA.json
LLaMA-3.1-8B,GSM8K,GSM8K,50,50,0,0,50,0.73375,73.375,0.29607605976043605,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_7dd52404-3d70-4ca0-9ac8-e2d862b86a32_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_7dd52404-3d70-4ca0-9ac8-e2d862b86a32_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_LLaMA-3_1-8B__GSM8K.json
LLaMA-3.1-8B,MATH500,MATH500,50,50,0,0,50,0.54625,54.625,0.31537200660651604,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/math500__test_math500_-1_seed42_t0.7_s0_e-1_bc04473f-7046-4520-9fdf-6f7d75bea95c_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_bc04473f-7046-4520-9fdf-6f7d75bea95c_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_LLaMA-3_1-8B__MATH500.json
LLaMA-3.1-8B,SVAMP,SVAMP,50,50,0,0,50,0.865,86.5,0.25201990122259177,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Llama_3.1_8B_Instruct/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_391c908a-0d8a-481d-a180-18c378302070_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_391c908a-0d8a-481d-a180-18c378302070_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_LLaMA-3_1-8B__SVAMP.json
Phi-4,AQuA,AQuA,50,50,0,0,50,0.69375,69.375,0.29700084604428384,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_756b5145-0654-462e-aa33-768a98301a8f/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_756b5145-0654-462e-aa33-768a98301a8f.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Phi-4__AQuA.json
Phi-4,CSQA,CommonsenseQA,50,50,0,0,50,0.59375,59.375,0.3012648717643391,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_a90b3a6b-e2b2-4095-8b70-1d2e9277dd9f_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_a90b3a6b-e2b2-4095-8b70-1d2e9277dd9f_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Phi-4__CommonsenseQA.json
Phi-4,GPQA,GPQA,50,50,0,0,50,0.39875,39.875,0.183368599731107,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_5bc15176-5547-480c-9564-745432b49c77_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_5bc15176-5547-480c-9564-745432b49c77_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Phi-4__GPQA.json
Phi-4,GSM8K,GSM8K,50,50,0,0,50,0.73875,73.875,0.24113425107358005,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_d88e9681-c896-4be9-9048-1b1ad641133f/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_d88e9681-c896-4be9-9048-1b1ad641133f.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Phi-4__GSM8K.json
Phi-4,MATH500,MATH500,50,50,0,0,50,0.64125,64.125,0.3253260726892767,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/math500__test_math500_-1_seed42_t0.7_s0_e-1_f926bfb2-8236-4810-8b45-d26b70420256_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_f926bfb2-8236-4810-8b45-d26b70420256_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Phi-4__MATH500.json
Phi-4,SVAMP,SVAMP,50,50,0,0,50,0.66375,66.375,0.32972671507272966,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_5e3c0aba-f95c-4169-b2be-93598c09d125_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_5e3c0aba-f95c-4169-b2be-93598c09d125_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Phi-4__SVAMP.json
Phi-4-Reas.,AQuA,AQuA,50,50,0,0,50,0.67375,67.375,0.3049574451744816,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/Phi_4_reasoning/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_dc396ca6-dfc4-414b-bd14-f3238f0fa5fa/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_dc396ca6-dfc4-414b-bd14-f3238f0fa5fa.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Phi-4-Reas___AQuA.json
Phi-4-Reas.,CSQA,CommonsenseQA,50,50,0,0,50,0.7225,72.25,0.2977809083667976,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Phi_4_reasoning/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_8ff20c7d-8036-43e0-8cb4-7527d5dbfe3e_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_8ff20c7d-8036-43e0-8cb4-7527d5dbfe3e_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Phi-4-Reas___CommonsenseQA.json
Phi-4-Reas.,GPQA,GPQA,50,50,0,0,50,0.42125,42.125,0.19635144589771283,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Phi_4_reasoning/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6162977f-1de8-4882-aaa9-00e145e15972_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6162977f-1de8-4882-aaa9-00e145e15972_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Phi-4-Reas___GPQA.json
Phi-4-Reas.,GSM8K,GSM8K,50,50,0,0,50,0.835,83.5,0.20853901411525674,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Phi_4_reasoning/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_21f83e35-c179-42f4-a76d-7d90d9098a27_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_21f83e35-c179-42f4-a76d-7d90d9098a27_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Phi-4-Reas___GSM8K.json
Phi-4-Reas.,MATH500,MATH500,50,50,0,0,50,0.75125,75.125,0.2730128809475211,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Phi_4_reasoning/math500__test_math500_-1_seed42_t0.7_s0_e-1_1cdfdbe8-a4a2-435f-98aa-3c0e4b0bdbaa_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_1cdfdbe8-a4a2-435f-98aa-3c0e4b0bdbaa_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Phi-4-Reas___MATH500.json
Phi-4-Reas.,SVAMP,SVAMP,50,50,0,0,50,0.8825,88.25,0.2007003045461017,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Phi_4_reasoning/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_e8897f09-a48b-41da-b17e-80ab70f50b90_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_e8897f09-a48b-41da-b17e-80ab70f50b90_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Phi-4-Reas___SVAMP.json
Qwen2.5-7B,AQuA,AQuA,50,50,0,0,50,0.61875,61.875,0.302057675429237,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/Qwen2.5_7B_Instruct/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_99419048-ed0d-48bf-8841-7ced9d2a5bd9/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_99419048-ed0d-48bf-8841-7ced9d2a5bd9.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Qwen2_5-7B__AQuA.json
Qwen2.5-7B,CSQA,CommonsenseQA,50,50,0,0,50,0.74375,74.375,0.286341387693296,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_7B_Instruct/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_55f65fad-5adf-4101-8d34-558d45cc1ee7_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_55f65fad-5adf-4101-8d34-558d45cc1ee7_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Qwen2_5-7B__CommonsenseQA.json
Qwen2.5-7B,GPQA,GPQA,50,50,0,0,50,0.355,35.5,0.1629017795971498,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_7B_Instruct/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6edb027b-33f3-4829-953d-d5d172771f99_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6edb027b-33f3-4829-953d-d5d172771f99_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Qwen2_5-7B__GPQA.json
Qwen2.5-7B,GSM8K,GSM8K,50,50,0,0,50,0.72875,72.875,0.2644455356524867,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Qwen2.5_7B_Instruct/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_3e29bacf-70a3-4d2b-9320-4b7a5c8f25ac_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_3e29bacf-70a3-4d2b-9320-4b7a5c8f25ac_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Qwen2_5-7B__GSM8K.json
Qwen2.5-7B,MATH500,MATH500,50,50,0,0,50,0.6525,65.25,0.2676070260814601,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_7B_Instruct/math500__test_math500_-1_seed42_t0.7_s0_e-1_912d17ef-947c-4554-a9fb-d2e2de688295_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_912d17ef-947c-4554-a9fb-d2e2de688295_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Qwen2_5-7B__MATH500.json
Qwen2.5-7B,SVAMP,SVAMP,50,50,0,0,50,0.8525,85.25,0.21567998781263212,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Qwen2.5_7B_Instruct/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_9e43cdce-7f05-4b23-b911-5a4da43d5941_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_9e43cdce-7f05-4b23-b911-5a4da43d5941_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Qwen2_5-7B__SVAMP.json
Qwen2.5-Math,AQuA,AQuA,50,50,0,0,50,0.74,74.0,0.26587360814906785,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_006cc445-ea42-4bd9-bffa-608c58883403/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_006cc445-ea42-4bd9-bffa-608c58883403.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Qwen2_5-Math__AQuA.json
Qwen2.5-Math,CSQA,CommonsenseQA,50,50,0,0,50,0.64125,64.125,0.23173384297420138,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_2d85d3bd-1a27-4783-8b2e-85e02dd2bfce_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_2d85d3bd-1a27-4783-8b2e-85e02dd2bfce_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_Qwen2_5-Math__CommonsenseQA.json
