variant,held_out_benchmark,n_models,models_used,agg_method,train_metric,test_target,corr_kind,r,p_value
original_all_9,GPQA,9,"DS-R1-1.5B,DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.4167,0.2646
original_all_9,GSM8K,9,"DS-R1-1.5B,DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.9333,0.0002
original_all_9,GSM8K,9,"DS-R1-1.5B,DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.1333,0.7324
original_all_9,GSM8K,9,"DS-R1-1.5B,DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.05,0.8984
original_all_9,GSM8K,9,"DS-R1-1.5B,DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.7333,0.0246
original_all_9,MATH500,9,"DS-R1-1.5B,DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.7167,0.0298
original_all_9,MATH500,9,"DS-R1-1.5B,DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.4017,0.2839
original_all_9,MATH500,9,"DS-R1-1.5B,DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.2667,0.4879
original_all_9,MATH500,9,"DS-R1-1.5B,DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.4268,0.252
original_all_9,SVAMP,9,"DS-R1-1.5B,DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.6833,0.0424
original_all_9,SVAMP,9,"DS-R1-1.5B,DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.1167,0.765
original_all_9,SVAMP,9,"DS-R1-1.5B,DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.0833,0.8312
original_all_9,SVAMP,9,"DS-R1-1.5B,DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.8333,0.0053
exclude_DS-R1-7B,AQuA,8,"DS-R1-1.5B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.7425,0.0349
exclude_DS-R1-7B,AQuA,8,"DS-R1-1.5B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,-0.0238,0.9554
exclude_DS-R1-7B,AQuA,8,"DS-R1-1.5B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.2036,0.6287
exclude_DS-R1-7B,AQuA,8,"DS-R1-1.5B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.7381,0.0366
exclude_DS-R1-7B,CSQA,8,"DS-R1-1.5B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.2381,0.5702
exclude_DS-R1-7B,CSQA,8,"DS-R1-1.5B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.0,1.0
exclude_DS-R1-7B,CSQA,8,"DS-R1-1.5B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.3333,0.4198
exclude_DS-R1-7B,CSQA,8,"DS-R1-1.5B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.1667,0.6932
exclude_DS-R1-7B,GPQA,8,"DS-R1-1.5B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.5,0.207
exclude_DS-R1-7B,GPQA,8,"DS-R1-1.5B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.2619,0.5309
exclude_DS-R1-7B,GPQA,8,"DS-R1-1.5B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.4286,0.2894
exclude_DS-R1-7B,GPQA,8,"DS-R1-1.5B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.381,0.3518
exclude_DS-R1-7B,GSM8K,8,"DS-R1-1.5B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.9048,0.002
exclude_DS-R1-7B,GSM8K,8,"DS-R1-1.5B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,-0.0238,0.9554
exclude_DS-R1-7B,GSM8K,8,"DS-R1-1.5B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,-0.0714,0.8665
exclude_DS-R1-7B,GSM8K,8,"DS-R1-1.5B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.7381,0.0366
exclude_DS-R1-7B,MATH500,8,"DS-R1-1.5B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.5952,0.1195
exclude_DS-R1-7B,MATH500,8,"DS-R1-1.5B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.3095,0.4556
exclude_DS-R1-7B,MATH500,8,"DS-R1-1.5B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.0476,0.9108
exclude_DS-R1-7B,MATH500,8,"DS-R1-1.5B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.381,0.3518
exclude_DS-R1-7B,SVAMP,8,"DS-R1-1.5B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.5476,0.16
exclude_DS-R1-7B,SVAMP,8,"DS-R1-1.5B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.0476,0.9108
exclude_DS-R1-7B,SVAMP,8,"DS-R1-1.5B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,-0.0238,0.9554
exclude_DS-R1-7B,SVAMP,8,"DS-R1-1.5B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.8095,0.0149
exclude_DS-R1-1.5B,AQuA,8,"DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.7425,0.0349
exclude_DS-R1-1.5B,AQuA,8,"DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.2857,0.4927
exclude_DS-R1-1.5B,AQuA,8,"DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.5868,0.1262
exclude_DS-R1-1.5B,AQuA,8,"DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.5952,0.1195
exclude_DS-R1-1.5B,CSQA,8,"DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.5714,0.139
exclude_DS-R1-1.5B,CSQA,8,"DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.0714,0.8665
exclude_DS-R1-1.5B,CSQA,8,"DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.3571,0.3851
exclude_DS-R1-1.5B,CSQA,8,"DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.0952,0.8225
exclude_DS-R1-1.5B,GPQA,8,"DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.619,0.1017
exclude_DS-R1-1.5B,GPQA,8,"DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.5,0.207
exclude_DS-R1-1.5B,GPQA,8,"DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.6429,0.0856
exclude_DS-R1-1.5B,GPQA,8,"DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.4762,0.2329
exclude_DS-R1-1.5B,GSM8K,8,"DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.9048,0.002
exclude_DS-R1-1.5B,GSM8K,8,"DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.3095,0.4556
exclude_DS-R1-1.5B,GSM8K,8,"DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.1905,0.6514
exclude_DS-R1-1.5B,GSM8K,8,"DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.619,0.1017
exclude_DS-R1-1.5B,MATH500,8,"DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.5952,0.1195
exclude_DS-R1-1.5B,MATH500,8,"DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.5389,0.1681
exclude_DS-R1-1.5B,MATH500,8,"DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.4762,0.2329
exclude_DS-R1-1.5B,MATH500,8,"DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.2515,0.5479
exclude_DS-R1-1.5B,SVAMP,8,"DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.5476,0.16
exclude_DS-R1-1.5B,SVAMP,8,"DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.3095,0.4556
exclude_DS-R1-1.5B,SVAMP,8,"DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.2381,0.5702
exclude_DS-R1-1.5B,SVAMP,8,"DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.7619,0.028
exclude_both_DS-R1,AQuA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.6126,0.1436
exclude_both_DS-R1,AQuA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.2143,0.6445
exclude_both_DS-R1,AQuA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.5586,0.1925
exclude_both_DS-R1,AQuA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.6071,0.1482
exclude_both_DS-R1,CSQA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.3571,0.4316
exclude_both_DS-R1,CSQA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.0714,0.879
exclude_both_DS-R1,CSQA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.25,0.5887
exclude_both_DS-R1,CSQA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.1429,0.7599
exclude_both_DS-R1,GPQA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.4286,0.3374
exclude_both_DS-R1,GPQA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.2857,0.5345
exclude_both_DS-R1,GPQA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.6071,0.1482
exclude_both_DS-R1,GPQA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.5,0.2532
exclude_both_DS-R1,GSM8K,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.8571,0.0137
exclude_both_DS-R1,GSM8K,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.2143,0.6445
exclude_both_DS-R1,GSM8K,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.1429,0.7599
exclude_both_DS-R1,GSM8K,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.6071,0.1482
exclude_both_DS-R1,MATH500,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.3929,0.3833
exclude_both_DS-R1,MATH500,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.5,0.2532
exclude_both_DS-R1,MATH500,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.3214,0.4821
exclude_both_DS-R1,MATH500,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.1786,0.7017
exclude_both_DS-R1,SVAMP,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.3214,0.4821
exclude_both_DS-R1,SVAMP,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.3214,0.4821
exclude_both_DS-R1,SVAMP,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.2143,0.6445
exclude_both_DS-R1,SVAMP,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.7143,0.0713
leave_family_out_non_DS-R1_only,AQuA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.6126,0.1436
leave_family_out_non_DS-R1_only,AQuA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.2143,0.6445
leave_family_out_non_DS-R1_only,AQuA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.5586,0.1925
leave_family_out_non_DS-R1_only,AQuA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.6071,0.1482
leave_family_out_non_DS-R1_only,CSQA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.3571,0.4316
leave_family_out_non_DS-R1_only,CSQA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.0714,0.879
leave_family_out_non_DS-R1_only,CSQA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.25,0.5887
leave_family_out_non_DS-R1_only,CSQA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.1429,0.7599
leave_family_out_non_DS-R1_only,GPQA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.4286,0.3374
leave_family_out_non_DS-R1_only,GPQA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.2857,0.5345
leave_family_out_non_DS-R1_only,GPQA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.6071,0.1482
leave_family_out_non_DS-R1_only,GPQA,7,"Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.5,0.2532
