model,benchmark,jsonl_path,n_questions,n_trace0_slot,n_trace0_has_code,n_trace0_has_token_probs,n_trace0_correct,k1_accuracy_pct,trace0_correct_coverage,n_lines_trace_count_ne_16,frs_judge_path,has_frs_judge,n_questions_jsonl,n_frs_judged_trace0,trace0_judged_coverage,n_frs_judged_all_traces,n_frs_judged_trace0_all,frs_judge_trace0_fraction_of_judged,n_trace0_four_dims,k1_rs_mean_pct,k1_rs_n,top_bin_0_10_count,top_bin_other_count,mean_confidence_trace0_judged,n_unfiltered_judged_total,n_unfiltered_trace0,n_unfiltered_random_not_t0,bootstrap_k1_accuracy_pct_mean,bootstrap_k1_accuracy_pct_std,note
DS-R1-7B,MATH500,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_7B/math500__test_custom_custom_-1_seed42_t0.7_s0_e-1/math500__test_custom_custom_-1_seed42_t0.7_s0_e-1.jsonl,500,500.0,500.0,500.0,306.0,61.2,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-7B__MATH500.json,True,500.0,17.0,0.034,250.0,17.0,0.068,17.0,95.22058823529412,17.0,3.0,14.0,0.33214882169531934,8.0,8.0,0.0,59.0,49.18333050943175,
DS-R1-7B,SVAMP,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_7B/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_6ed5b75a-8fc3-4275-bd40-cd1c17a47eba_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_6ed5b75a-8fc3-4275-bd40-cd1c17a47eba_processed.jsonl,1000,1000.0,1000.0,1000.0,920.0,92.0,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-7B__SVAMP.json,True,1000.0,17.0,0.017,250.0,17.0,0.068,17.0,98.16176470588235,17.0,1.0,16.0,0.2988658139900638,5.0,5.0,0.0,91.4,28.03640490505157,
Gemma-7B,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/gemma_7b/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_bd56842f-fc4d-452d-9a35-3cf0a3ddfaf9/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_bd56842f-fc4d-452d-9a35-3cf0a3ddfaf9.jsonl,254,254.0,253.0,254.0,72.0,28.346456692913385,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_Gemma-7B__AQuA.json,True,254.0,11.0,0.04330708661417323,250.0,11.0,0.044,11.0,35.22727272727273,11.0,2.0,9.0,0.23202669691736172,4.0,4.0,0.0,25.984251968503933,43.85480414376164,
Gemma-7B,CommonsenseQA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/gemma_7b/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_9f780cde-c3a4-4b02-8fc0-562f7bb37bec_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_9f780cde-c3a4-4b02-8fc0-562f7bb37bec_processed.jsonl,1221,1221.0,1194.0,1221.0,228.0,18.673218673218674,1.0,0.0,,False,1221.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,19.41031941031941,39.55087156335898,
Gemma-7B,GPQA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/gemma_7b/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6209e00b-f801-4245-a20d-6b37d8addc6a_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6209e00b-f801-4245-a20d-6b37d8addc6a_processed.jsonl,448,448.0,334.0,448.0,93.0,20.758928571428573,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_Gemma-7B__GPQA.json,True,448.0,18.0,0.04017857142857143,250.0,18.0,0.072,18.0,34.02777777777778,18.0,4.0,14.0,0.17867249406234517,3.0,3.0,0.0,21.875,41.339864235384226,
Gemma-7B,GSM8K,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/gemma_7b/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_7e377118-9bc4-4b39-91f3-80a9f16f7d17_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_7e377118-9bc4-4b39-91f3-80a9f16f7d17_processed.jsonl,1319,1319.0,1290.0,1319.0,421.0,31.91811978771797,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_Gemma-7B__GSM8K.json,True,1319.0,15.0,0.011372251705837756,250.0,15.0,0.06,15.0,42.5,15.0,5.0,10.0,0.2816827988452632,5.0,5.0,0.0,34.11675511751327,47.41015220396323,
Gemma-7B,MATH500,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/gemma_7b/math500__test_math500_-1_seed42_t0.7_s0_e-1_bd430c2c-e789-45b4-84c5-8a328c0a23ed_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_bd430c2c-e789-45b4-84c5-8a328c0a23ed_processed.jsonl,500,500.0,494.0,500.0,69.0,13.8,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_Gemma-7B__MATH500.json,True,500.0,16.0,0.032,250.0,16.0,0.064,16.0,35.9375,16.0,4.0,12.0,0.32357600402806197,8.0,8.0,0.0,14.799999999999999,35.50999859194591,
Gemma-7B,SVAMP,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/gemma_7b/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_5bde6301-7dbe-4b50-acc1-4e917f1e1b87_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_5bde6301-7dbe-4b50-acc1-4e917f1e1b87_processed.jsonl,1000,1000.0,986.0,1000.0,420.0,42.0,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_Gemma-7B__SVAMP.json,True,1000.0,17.0,0.017,250.0,17.0,0.068,17.0,58.8235294117647,17.0,2.0,15.0,0.16020820540543967,6.0,6.0,0.0,40.8,49.146312170904544,
LLaMA-3.1-8B,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_8874434d-5e4f-4f6e-9ead-8800e058ffc9/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_8874434d-5e4f-4f6e-9ead-8800e058ffc9.jsonl,254,254.0,254.0,254.0,120.0,47.24409448818898,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_LLaMA-3.1-8B__AQuA.json,True,254.0,16.0,0.06299212598425197,250.0,16.0,0.064,16.0,42.1875,16.0,4.0,12.0,0.5059253894849298,6.0,6.0,0.0,44.881889763779526,49.73735967670475,
LLaMA-3.1-8B,CommonsenseQA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_4a6d4a5d-a682-47ab-9f4d-5e23bbfb767c_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_4a6d4a5d-a682-47ab-9f4d-5e23bbfb767c_processed.jsonl,1221,1221.0,1221.0,1221.0,799.0,65.43816543816544,1.0,0.0,,False,1221.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,65.1105651105651,47.662048026069684,
LLaMA-3.1-8B,GPQA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_f0740bfe-4ab3-483f-8968-0dda699f86a5_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_f0740bfe-4ab3-483f-8968-0dda699f86a5_processed.jsonl,448,448.0,448.0,448.0,154.0,34.375,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_LLaMA-3.1-8B__GPQA.json,True,448.0,19.0,0.04241071428571429,250.0,19.0,0.076,19.0,52.63157894736842,19.0,3.0,16.0,0.31870097340292486,9.0,9.0,0.0,36.38392857142857,48.11031696894171,
LLaMA-3.1-8B,GSM8K,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_7dd52404-3d70-4ca0-9ac8-e2d862b86a32_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_7dd52404-3d70-4ca0-9ac8-e2d862b86a32_processed.jsonl,1319,1319.0,1319.0,1319.0,1000.0,75.8150113722517,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_LLaMA-3.1-8B__GSM8K.json,True,1319.0,15.0,0.011372251705837756,250.0,15.0,0.06,15.0,78.33333333333333,15.0,6.0,9.0,0.5091902859815839,5.0,5.0,0.0,74.90523123578468,43.355846861664396,
LLaMA-3.1-8B,MATH500,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Llama_3.1_8B_Instruct/math500__test_math500_-1_seed42_t0.7_s0_e-1_bc04473f-7046-4520-9fdf-6f7d75bea95c_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_bc04473f-7046-4520-9fdf-6f7d75bea95c_processed.jsonl,500,500.0,500.0,500.0,163.0,32.6,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_LLaMA-3.1-8B__MATH500.json,True,500.0,13.0,0.026,250.0,13.0,0.052,13.0,49.51923076923077,13.0,0.0,13.0,0.3554459202925243,10.0,10.0,0.0,33.0,47.02127178203499,
LLaMA-3.1-8B,SVAMP,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Llama_3.1_8B_Instruct/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_391c908a-0d8a-481d-a180-18c378302070_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_391c908a-0d8a-481d-a180-18c378302070_processed.jsonl,1000,1000.0,1000.0,1000.0,809.0,80.9,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_LLaMA-3.1-8B__SVAMP.json,True,1000.0,19.0,0.019,250.0,19.0,0.076,19.0,83.55263157894737,19.0,2.0,17.0,0.3483435979285502,9.0,9.0,0.0,80.60000000000001,39.542888108988706,
Phi-4,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_756b5145-0654-462e-aa33-768a98301a8f/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_756b5145-0654-462e-aa33-768a98301a8f.jsonl,254,254.0,254.0,254.0,139.0,54.724409448818896,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_Phi-4__AQuA.json,True,254.0,17.0,0.06692913385826772,250.0,17.0,0.068,17.0,78.67647058823529,17.0,4.0,13.0,0.3446742852516358,6.0,6.0,0.0,56.69291338582677,49.55002432299928,
Phi-4,CommonsenseQA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_a90b3a6b-e2b2-4095-8b70-1d2e9277dd9f_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_a90b3a6b-e2b2-4095-8b70-1d2e9277dd9f_processed.jsonl,1221,1221.0,923.0,1221.0,639.0,52.334152334152336,1.0,0.0,,False,1221.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,51.269451269451274,49.98388233695427,
Phi-4,GPQA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_5bc15176-5547-480c-9564-745432b49c77_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_5bc15176-5547-480c-9564-745432b49c77_processed.jsonl,448,448.0,271.0,448.0,116.0,25.892857142857142,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_Phi-4__GPQA.json,True,448.0,14.0,0.03125,250.0,14.0,0.056,14.0,51.785714285714285,14.0,2.0,12.0,0.3407193178139684,4.0,4.0,0.0,23.660714285714285,42.49990621238151,
Phi-4,GSM8K,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_d88e9681-c896-4be9-9048-1b1ad641133f/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_d88e9681-c896-4be9-9048-1b1ad641133f.jsonl,1319,1319.0,1319.0,1319.0,872.0,66.11068991660349,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_Phi-4__GSM8K.json,True,1319.0,22.0,0.016679302501895376,250.0,22.0,0.088,22.0,82.95454545454545,22.0,3.0,19.0,0.32497059179221766,6.0,6.0,0.0,65.20090978013646,47.63331126277231,
Phi-4,MATH500,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/math500__test_math500_-1_seed42_t0.7_s0_e-1_f926bfb2-8236-4810-8b45-d26b70420256_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_f926bfb2-8236-4810-8b45-d26b70420256_processed.jsonl,500,500.0,500.0,500.0,285.0,57.0,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_Phi-4__MATH500.json,True,500.0,13.0,0.026,250.0,13.0,0.052,13.0,77.88461538461539,13.0,1.0,12.0,0.4818429573083178,6.0,6.0,0.0,54.800000000000004,49.769066698100744,
Phi-4,SVAMP,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_5e3c0aba-f95c-4169-b2be-93598c09d125_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_5e3c0aba-f95c-4169-b2be-93598c09d125_processed.jsonl,1000,1000.0,1000.0,1000.0,568.0,56.8,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_Phi-4__SVAMP.json,True,1000.0,10.0,0.01,250.0,10.0,0.04,10.0,86.25,10.0,2.0,8.0,0.34450659367168585,11.0,11.0,0.0,59.0,49.18333050943175,
Phi-4-Reas.,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/Phi_4_reasoning/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_dc396ca6-dfc4-414b-bd14-f3238f0fa5fa/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_dc396ca6-dfc4-414b-bd14-f3238f0fa5fa.jsonl,254,254.0,254.0,254.0,142.0,55.90551181102362,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_Phi-4-Reas.__AQuA.json,True,254.0,19.0,0.07480314960629922,250.0,19.0,0.076,19.0,84.21052631578948,19.0,3.0,16.0,0.2174015067604078,13.0,13.0,0.0,55.90551181102362,49.65002447380928,
Phi-4-Reas.,CommonsenseQA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Phi_4_reasoning/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_8ff20c7d-8036-43e0-8cb4-7527d5dbfe3e_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_8ff20c7d-8036-43e0-8cb4-7527d5dbfe3e_processed.jsonl,1221,1221.0,1221.0,1221.0,922.0,75.51187551187552,1.0,0.0,,False,1221.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,75.02047502047502,43.28944247446236,
Phi-4-Reas.,GPQA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Phi_4_reasoning/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6162977f-1de8-4882-aaa9-00e145e15972_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6162977f-1de8-4882-aaa9-00e145e15972_processed.jsonl,448,448.0,448.0,448.0,207.0,46.205357142857146,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_Phi-4-Reas.__GPQA.json,True,448.0,21.0,0.046875,250.0,21.0,0.084,21.0,74.70238095238095,21.0,5.0,16.0,0.18057773589046355,11.0,11.0,0.0,48.214285714285715,49.96810207011865,
Phi-4-Reas.,GSM8K,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Phi_4_reasoning/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_21f83e35-c179-42f4-a76d-7d90d9098a27_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_21f83e35-c179-42f4-a76d-7d90d9098a27_processed.jsonl,1319,1319.0,1315.0,1319.0,1256.0,95.22365428354814,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_Phi-4-Reas.__GSM8K.json,True,1319.0,17.0,0.01288855193328279,250.0,17.0,0.068,17.0,95.95588235294117,17.0,2.0,15.0,0.23228931939818476,5.0,5.0,0.0,95.1478392721759,21.48656810786153,
Phi-4-Reas.,MATH500,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Phi_4_reasoning/math500__test_math500_-1_seed42_t0.7_s0_e-1_1cdfdbe8-a4a2-435f-98aa-3c0e4b0bdbaa_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_1cdfdbe8-a4a2-435f-98aa-3c0e4b0bdbaa_processed.jsonl,500,500.0,498.0,500.0,416.0,83.2,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_Phi-4-Reas.__MATH500.json,True,500.0,17.0,0.034,250.0,17.0,0.068,17.0,75.0,17.0,4.0,13.0,0.3345531447231778,7.0,7.0,0.0,83.2,37.386628625753346,
