model,benchmark,jsonl_path,n_pool_traces,n_top10_selected_traces,n_total_problems,n_problems_represented,pct_problems_represented,mean_selected_traces_per_problem,max_selected_traces_one_problem,gini_selected_count_across_problems,entropy_selected_count_across_problems,frac_selected_from_pass16_16of16,frac_selected_from_pass16_ge12of16,frac_selected_from_pass16_le4of16,spearman_n_selected_vs_pass16_acc,spearman_p,n_problems_in_correlation,pair_frs_pct,n_problems_with_zero_in_top10
Phi-4,GPQA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_5bc15176-5547-480c-9564-745432b49c77_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_5bc15176-5547-480c-9564-745432b49c77_processed.jsonl,7168,717,448,185,41.29,3.876,16,0.56,4.619,0.0,0.007,0.7866,-0.3919,0.0,185,48.4,263
Phi-4,GSM8K,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_d88e9681-c896-4be9-9048-1b1ad641133f/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_d88e9681-c896-4be9-9048-1b1ad641133f.jsonl,21104,2111,1319,1013,76.8,2.084,11,0.3094,6.7535,0.0081,0.3875,0.0374,0.0117,0.7109,1013,91.5,306
Phi-4,MATH500,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/math500__test_math500_-1_seed42_t0.7_s0_e-1_f926bfb2-8236-4810-8b45-d26b70420256_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_f926bfb2-8236-4810-8b45-d26b70420256_processed.jsonl,8000,800,500,277,55.4,2.888,13,0.4101,5.344,0.0325,0.3713,0.2712,0.0246,0.6839,277,74.4,223
Phi-4,SVAMP,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_5e3c0aba-f95c-4169-b2be-93598c09d125_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_5e3c0aba-f95c-4169-b2be-93598c09d125_processed.jsonl,16000,1600,1000,798,79.8,2.005,10,0.3043,6.5203,0.0013,0.1775,0.0675,-0.0553,0.1182,798,75.5,202
Phi-4-Reas.,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/Phi_4_reasoning/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_dc396ca6-dfc4-414b-bd14-f3238f0fa5fa/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_dc396ca6-dfc4-414b-bd14-f3238f0fa5fa.jsonl,4064,407,254,155,61.02,2.626,11,0.3611,4.8173,0.0295,0.5332,0.0467,0.2571,0.0012,155,83.2,99
Phi-4-Reas.,CSQA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Phi_4_reasoning/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_8ff20c7d-8036-43e0-8cb4-7527d5dbfe3e_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_8ff20c7d-8036-43e0-8cb4-7527d5dbfe3e_processed.jsonl,19536,1954,1221,956,78.3,2.044,6,0.2848,6.7257,0.1648,0.8009,0.089,0.1268,0.0001,956,33.4,265
Phi-4-Reas.,GPQA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Phi_4_reasoning/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6162977f-1de8-4882-aaa9-00e145e15972_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6162977f-1de8-4882-aaa9-00e145e15972_processed.jsonl,7168,717,448,316,70.54,2.269,12,0.357,5.5266,0.0391,0.3431,0.2218,0.229,0.0,316,62.3,132
Phi-4-Reas.,GSM8K,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Phi_4_reasoning/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_21f83e35-c179-42f4-a76d-7d90d9098a27_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_21f83e35-c179-42f4-a76d-7d90d9098a27_processed.jsonl,21104,2111,1319,967,73.31,2.183,10,0.3288,6.6887,0.8261,0.9811,0.0142,0.0751,0.0195,967,84.5,352
Phi-4-Reas.,MATH500,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Phi_4_reasoning/math500__test_math500_-1_seed42_t0.7_s0_e-1_1cdfdbe8-a4a2-435f-98aa-3c0e4b0bdbaa_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_1cdfdbe8-a4a2-435f-98aa-3c0e4b0bdbaa_processed.jsonl,8000,800,500,296,59.2,2.703,13,0.3954,5.4185,0.6288,0.91,0.0512,-0.0133,0.8201,296,80.0,204
Phi-4-Reas.,SVAMP,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Phi_4_reasoning/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_e8897f09-a48b-41da-b17e-80ab70f50b90_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_e8897f09-a48b-41da-b17e-80ab70f50b90_processed.jsonl,16000,1600,1000,744,74.4,2.151,10,0.3225,6.4339,0.8,0.9725,0.0181,-0.011,0.7648,744,74.8,256
Qwen2.5-7B,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/Qwen2.5_7B_Instruct/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_99419048-ed0d-48bf-8841-7ced9d2a5bd9/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_99419048-ed0d-48bf-8841-7ced9d2a5bd9.jsonl,4064,407,254,142,55.91,2.866,10,0.3442,4.7604,0.0516,0.5676,0.0172,0.0459,0.5878,142,77.2,112
Qwen2.5-7B,CSQA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_7B_Instruct/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_55f65fad-5adf-4101-8d34-558d45cc1ee7_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_55f65fad-5adf-4101-8d34-558d45cc1ee7_processed.jsonl,19536,1954,1221,846,69.29,2.31,11,0.3544,6.523,0.632,0.7753,0.1126,0.0448,0.1932,846,70.1,375
Qwen2.5-7B,GPQA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_7B_Instruct/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6edb027b-33f3-4829-953d-d5d172771f99_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6edb027b-33f3-4829-953d-d5d172771f99_processed.jsonl,7168,717,448,226,50.45,3.173,13,0.4063,5.1475,0.0265,0.1869,0.5119,0.0621,0.3524,226,55.1,222
Qwen2.5-7B,GSM8K,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Qwen2.5_7B_Instruct/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_3e29bacf-70a3-4d2b-9320-4b7a5c8f25ac_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_3e29bacf-70a3-4d2b-9320-4b7a5c8f25ac_processed.jsonl,21104,2111,1319,871,66.03,2.424,14,0.3493,6.5611,0.063,0.8328,0.0185,-0.1027,0.0024,871,65.6,448
Qwen2.5-7B,MATH500,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_7B_Instruct/math500__test_math500_-1_seed42_t0.7_s0_e-1_912d17ef-947c-4554-a9fb-d2e2de688295_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_912d17ef-947c-4554-a9fb-d2e2de688295_processed.jsonl,8000,800,500,244,48.8,3.279,12,0.3722,5.2721,0.0063,0.3787,0.05,-0.0188,0.7701,244,75.6,256
Qwen2.5-7B,SVAMP,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Qwen2.5_7B_Instruct/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_9e43cdce-7f05-4b23-b911-5a4da43d5941_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_9e43cdce-7f05-4b23-b911-5a4da43d5941_processed.jsonl,16000,1600,1000,697,69.7,2.296,14,0.3458,6.3313,0.0688,0.8213,0.0231,-0.1543,0.0,697,64.9,303
Qwen2.5-Math,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_006cc445-ea42-4bd9-bffa-608c58883403/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_006cc445-ea42-4bd9-bffa-608c58883403.jsonl,4064,407,254,186,73.23,2.188,7,0.3134,5.0583,0.0344,0.3096,0.2408,-0.0031,0.9661,186,74.9,68
Qwen2.5-Math,CSQA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_2d85d3bd-1a27-4783-8b2e-85e02dd2bfce_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_2d85d3bd-1a27-4783-8b2e-85e02dd2bfce_processed.jsonl,19536,1954,1221,943,77.23,2.072,8,0.302,6.6938,0.0133,0.2825,0.2876,0.0605,0.0634,943,70.6,278
Qwen2.5-Math,GPQA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_f468c946-01e4-4069-bcf8-912b58e77bc2_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_f468c946-01e4-4069-bcf8-912b58e77bc2_processed.jsonl,7168,717,448,173,38.62,4.145,15,0.4375,4.8425,0.0,0.0962,0.4324,0.1328,0.0816,173,54.6,275
Qwen2.5-Math,GSM8K,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Qwen2.5_Math_7B/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_528e5291-b1f0-44c3-aebf-ab32978f6a62_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_528e5291-b1f0-44c3-aebf-ab32978f6a62_processed.jsonl,21104,2111,1319,954,72.33,2.213,11,0.3305,6.6716,0.0332,0.6016,0.0441,-0.0407,0.2087,954,90.8,365
Qwen2.5-Math,MATH500,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/math500__test_custom_custom_-1_seed42_t0.7_s0_e-1/math500__test_custom_custom_-1_seed42_t0.7_s0_e-1.jsonl,8000,800,500,224,44.8,3.571,14,0.4498,5.0717,0.3137,0.51,0.3162,0.0959,0.1527,224,77.5,276
Qwen2.5-Math,SVAMP,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen2.5_Math_7B/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_e973610b-dc1a-4a7c-9737-cd64dad3639c_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_e973610b-dc1a-4a7c-9737-cd64dad3639c_processed.jsonl,16000,1600,1000,739,73.9,2.165,8,0.3138,6.4391,0.0794,0.6856,0.0663,-0.0491,0.1824,739,74.5,261
Qwen3-4B,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/Qwen3_4B_Thinking_2507/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_07706ba0-2dc8-4c97-bc29-1a5dc653833f/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_07706ba0-2dc8-4c97-bc29-1a5dc653833f.jsonl,4064,407,254,108,42.52,3.769,15,0.4366,4.3641,0.0098,0.2482,0.2064,-0.12,0.216,108,78.5,146
Qwen3-4B,CSQA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/Qwen3_4B_Thinking_2507/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_be300247-2862-42c9-a305-36a1052ca7bf/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_be300247-2862-42c9-a305-36a1052ca7bf.jsonl,19536,1954,1221,720,58.97,2.714,11,0.376,6.3437,0.4314,0.8178,0.0727,0.2956,0.0,720,75.0,501
Qwen3-4B,GPQA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Qwen3_4B_Thinking_2507/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_7439075c-3a41-426f-9626-f83d8eded888_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_7439075c-3a41-426f-9626-f83d8eded888_processed.jsonl,7168,717,448,191,42.63,3.754,15,0.4459,4.9228,0.0139,0.4114,0.0642,0.0148,0.839,191,58.8,257
Qwen3-4B,GSM8K,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/Qwen3_4B_Thinking_2507/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_9f297c4b-51a9-4b62-a387-aed44015c1c5_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_9f297c4b-51a9-4b62-a387-aed44015c1c5_processed.jsonl,21104,2111,1319,829,62.85,2.546,14,0.3515,6.5145,0.0512,0.7991,0.0199,0.123,0.0004,829,90.9,490
